relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
anatomicalentity_anatomicalentity,1000,1000,-0.33758025127303715,-0.3234471615831369,0.705,0.161,0.5439999999999999,-0.3574941433850789,0.731,0.194
anatomicalentity_biologicalprocess,321,321,-0.412183507586564,-0.4105655511996533,0.8130841121495327,0.20249221183800623,0.6105919003115264,-0.4105655511996533,0.8130841121495327,0.20249221183800623
anatomicalentity_cellularcomponent,1000,1000,-0.39379171938026913,-0.4645982402571782,0.936,0.386,0.55,-0.2904534192270125,0.811,0.265
anatomicalentity_chemicalentity,9,9,-0.3673462432618001,-0.58605860083846,1.0,0.0,1.0,-0.58605860083846,1.0,0.0
anatomicalentity_gene,1000,1000,-0.06366617094979227,-0.12891992911421113,1.0,0.006,0.994,-0.09669045347462735,0.999,0.005
biologicalprocess_biologicalprocess,1000,1000,-0.18622928254934812,-0.1182486154098985,0.61,0.338,0.27199999999999996,-0.1182486154098985,0.61,0.338
biologicalprocess_cellularcomponent,1000,1000,-0.2667524605712731,-0.3830599101692673,0.879,0.589,0.29000000000000004,-0.16759286810767993,0.709,0.44
biologicalprocess_chemicalentity,1000,1000,-0.2644296663822716,-0.2646400120012653,0.73,0.517,0.21299999999999997,-0.16287909557911417,0.566,0.368
biologicalprocess_gene,1000,1000,-0.12441028237893559,-0.08444800425845056,0.911,0.099,0.812,-0.08444800425845056,0.911,0.099
biologicalprocess_molecularfunction,834,834,-0.22270362174792005,-0.14648999400808727,0.6462829736211031,0.3105515587529976,0.3357314148681055,-0.14648999400808727,0.6462829736211031,0.3105515587529976
biologicalprocess_protein,28,28,-0.3710581244929909,-0.4706482314060081,0.9285714285714286,0.17857142857142858,0.75,-0.37288068343496805,0.8928571428571429,0.14285714285714285
cellularcomponent_cellularcomponent,1000,1000,-0.1754179292537063,-0.03714913818670418,0.789,0.593,0.19600000000000006,-0.03714913818670418,0.789,0.593
cellularcomponent_chemicalentity,5,5,-0.1599722177381495,-0.2848952839984067,1.0,0.2,0.8,-0.14804456173325303,0.8,0.0
cellularcomponent_gene,1000,1000,-0.04602282716563409,-0.030883643857328558,0.969,0.164,0.8049999999999999,-0.030883643857328558,0.969,0.164
chemicalentity_biologicalprocess,1000,1000,-0.26615706115410925,-0.2731139026585172,0.966,0.016,0.95,-0.2731139026585172,0.966,0.016
chemicalentity_chemicalentity,1000,1000,-0.24265778523584972,-0.2358310709639575,0.944,0.012,0.9319999999999999,-0.2618630605079373,0.951,0.022
chemicalentity_disease,1000,1000,-0.28464388359756354,-0.3919549650160272,0.982,0.01,0.972,-0.43114482307721413,0.985,0.014
chemicalentity_gene,1000,1000,-0.24475957591585976,-0.20656358314375112,0.938,0.059,0.879,-0.20656358314375112,0.938,0.059
chemicalentity_inhibits_biologicalprocess,1000,1000,-0.7163624013807174,-0.7462257552943448,0.962,0.058,0.9039999999999999,-0.7260919533606769,0.958,0.054
chemicalentity_mutation,1000,1000,-0.2847625118372493,-0.2755401199157044,0.988,0.018,0.97,-0.2755401199157044,0.988,0.018
chemicalentity_negativelyassociatedwith_biologicalprocess,337,337,-0.5700417717636045,-0.5837182804085688,0.9347181008902077,0.03560830860534125,0.8991097922848664,-0.5837182804085688,0.9347181008902077,0.03560830860534125
chemicalentity_noeffect_biologicalprocess,1000,1000,-0.9297582468573955,-0.9866014073542013,0.998,0.004,0.994,-0.9653214213237091,0.997,0.003
chemicalentity_notassociatedwith_biologicalprocess,348,348,-0.6068498049531387,-0.645962413155881,0.9281609195402298,0.0603448275862069,0.867816091954023,-0.645962413155881,0.9281609195402298,0.0603448275862069
chemicalentity_pathway,1000,1000,-0.367859497561048,-0.4282682148943566,0.943,0.115,0.828,-0.30943251202197697,0.907,0.083
