head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
151138,chemicalentity_protein,O15375,-1.7525286674499512,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 6,[],False,False,False,False,,,
151138,chemicalentity_protein,O95907,-1.2355518341064453,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 3,[],False,False,False,False,,,
151138,chemicalentity_protein,B4DJ67,-1.8091471195220947,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 5,[],False,False,False,False,,,
151138,chemicalentity_protein,B4DPX7,-1.3014740943908691,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 5,[],False,False,False,False,,,
151138,chemicalentity_protein,Q9UPB3,-1.3764668703079224,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 2,[],False,False,False,False,,,
151138,chemicalentity_gene,YKL217W,-2.239183187484741,-0.2458965898096785,REJECT,4-hydroxycyclohexane-1-carboxylic acid,monocarboxylate/H+ symporter,[],False,False,False,False,,,
151138,chemicalentity_gene,CG3456,-1.8285435438156128,-0.2458965898096785,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Monocarboxylate transporter 1,[],False,False,False,False,,,
151138,chemicalentity_pathway,R-HSA-433692,-1.18974769115448,-0.3200630854546729,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Proton-coupled monocarboxylate transport,[],False,False,False,False,,,
151138,chemicalentity_disease,C4016684,-1.4157938957214355,-0.5678040704453142,REJECT,4-hydroxycyclohexane-1-carboxylic acid,"monocarboxylate transporter 1 deficiency, autosomal dominant",[],False,False,False,False,,,
151138,chemicalentity_biologicalprocess,GO:0009455,-1.2120362520217896,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,redox taxis,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009455,-0.9650004506111145,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.965, 'chemicalentity_noeffect_biologicalprocess': -2.468, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3189, 'chemicalentity_promotes_biologicalprocess': -2.1883, 'chemicalentity_inhibits_biologicalprocess': -1.8336, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1158}"
151138,chemicalentity_biologicalprocess,GO:0045852,-1.6793876886367798,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,pH elevation,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045852,-0.9230200052261353,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,pH elevation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.923, 'chemicalentity_noeffect_biologicalprocess': -2.3561, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2734, 'chemicalentity_promotes_biologicalprocess': -2.0908, 'chemicalentity_inhibits_biologicalprocess': -1.8448, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4544}"
151138,chemicalentity_biologicalprocess,GO:0045065,-1.7382696866989136,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,cytotoxic T cell differentiation,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045065,-0.9880130290985107,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,cytotoxic T cell differentiation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.988, 'chemicalentity_noeffect_biologicalprocess': -2.8977, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4945, 'chemicalentity_promotes_biologicalprocess': -2.3292, 'chemicalentity_inhibits_biologicalprocess': -2.0327, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4963}"
151138,chemicalentity_biologicalprocess,GO:0009060,-2.8391127586364746,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,aerobic respiration,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009060,-1.5121506452560425,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,aerobic respiration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.5122, 'chemicalentity_noeffect_biologicalprocess': -3.4818, 'chemicalentity_notassociatedwith_biologicalprocess': -2.1492, 'chemicalentity_promotes_biologicalprocess': -2.9108, 'chemicalentity_inhibits_biologicalprocess': -2.6606, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -2.1345}"
151138,chemicalentity_biologicalprocess,GO:0045333,-2.903810739517212,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,cellular respiration,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045333,-1.4576776027679443,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,cellular respiration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.4577, 'chemicalentity_noeffect_biologicalprocess': -3.4123, 'chemicalentity_notassociatedwith_biologicalprocess': -2.4253, 'chemicalentity_promotes_biologicalprocess': -2.9098, 'chemicalentity_inhibits_biologicalprocess': -2.6542, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -2.0732}"
151138,chemicalentity_biologicalprocess,GO:0009061,-2.3521909713745117,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,anaerobic respiration,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009061,-1.5016424655914307,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,anaerobic respiration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.5016, 'chemicalentity_noeffect_biologicalprocess': -3.1837, 'chemicalentity_notassociatedwith_biologicalprocess': -2.034, 'chemicalentity_promotes_biologicalprocess': -2.9075, 'chemicalentity_inhibits_biologicalprocess': -2.7572, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -2.0438}"
151138,chemicalentity_biologicalprocess,GO:0010230,-1.362107515335083,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,alternative respiration,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010230,-0.9947534203529358,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,alternative respiration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9948, 'chemicalentity_noeffect_biologicalprocess': -2.6045, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2231, 'chemicalentity_promotes_biologicalprocess': -2.3105, 'chemicalentity_inhibits_biologicalprocess': -1.9317, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3291}"
151138,chemicalentity_protein,D3VVE9,-1.2161285877227783,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
151138,chemicalentity_protein,Q5STF9,-1.5665404796600342,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
151138,chemicalentity_pathway,R-HSA-2559582,-1.2438609600067139,-0.3200630854546729,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
151138,chemicalentity_protein,P54379,-1.3278021812438965,-0.3552259656009227,REJECT,4-hydroxycyclohexane-1-carboxylic acid,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
151138,chemicalentity_biologicalprocess,GO:0009819,-1.3597300052642822,-0.232143107153421,REJECT,4-hydroxycyclohexane-1-carboxylic acid,drought recovery,[],False,False,False,False,,,
151138,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009819,-0.9427996873855591,-0.596142909254255,REJECT,4-hydroxycyclohexane-1-carboxylic acid,drought recovery,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9428, 'chemicalentity_noeffect_biologicalprocess': -2.57, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3433, 'chemicalentity_promotes_biologicalprocess': -2.3557, 'chemicalentity_inhibits_biologicalprocess': -1.9948, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2382}"
O15375,protein_protein,O95907,-0.14515484869480133,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 6,Monocarboxylate transporter 3,[],False,False,False,False,,,
O15375,protein_protein,B4DJ67,-0.11406845599412918,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 6,Monocarboxylate transporter 5,[],False,False,False,False,,,
O15375,protein_protein,B4DPX7,-0.12707804143428802,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 6,Monocarboxylate transporter 5,[],False,False,False,False,,,
O15375,protein_protein,Q9UPB3,-0.23550741374492645,-0.2036837140803804,REJECT,Monocarboxylate transporter 6,Monocarboxylate transporter 2,[],False,False,False,False,,,
O15375,protein_pathway,R-HSA-433692,-0.05213915556669235,-0.0332625891724323,REJECT,Monocarboxylate transporter 6,Proton-coupled monocarboxylate transport,[],False,False,False,False,,,
O15375,protein_disease,C4016684,-0.49408403038978577,-0.1452060252739286,REJECT,Monocarboxylate transporter 6,"monocarboxylate transporter 1 deficiency, autosomal dominant",[],False,False,False,False,,,
O15375,protein_molecularfunction,GO:0015355,-0.03514055535197258,-0.5690634813738988,ACCEPT,Monocarboxylate transporter 6,secondary active monocarboxylate transmembrane transporter activity,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0009455,-0.20348981022834778,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,redox taxis,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0045852,-0.0765504539012909,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,pH elevation,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0045065,-0.02588346041738987,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,cytotoxic T cell differentiation,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0009060,-0.006237979047000408,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,aerobic respiration,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0045333,-0.009056968614459038,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,cellular respiration,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0009061,-0.017893780022859573,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,anaerobic respiration,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0010230,-0.05742128565907478,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,alternative respiration,[],False,False,False,False,,,
O15375,protein_protein,D3VVE9,-0.4063567519187927,-0.2036837140803804,REJECT,Monocarboxylate transporter 6,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
O15375,protein_protein,Q5STF9,-0.15881764888763428,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 6,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
O15375,protein_pathway,R-HSA-2559582,-0.0578354150056839,-0.0332625891724323,REJECT,Monocarboxylate transporter 6,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
O15375,protein_protein,P54379,-0.2640475034713745,-0.2036837140803804,REJECT,Monocarboxylate transporter 6,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
O15375,protein_biologicalprocess,GO:0009819,-0.07668431848287582,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 6,drought recovery,[],False,False,False,False,,,
O95907,protein_protein,B4DJ67,-0.054521407932043076,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 3,Monocarboxylate transporter 5,[],False,False,False,False,,,
O95907,protein_protein,B4DPX7,-0.06181210279464722,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 3,Monocarboxylate transporter 5,[],False,False,False,False,,,
O95907,protein_protein,Q9UPB3,-0.16451452672481537,-0.2036837140803804,ACCEPT,Monocarboxylate transporter 3,Monocarboxylate transporter 2,[],False,False,False,False,,,
O95907,protein_pathway,R-HSA-433692,-0.027897415682673454,-0.0332625891724323,ACCEPT,Monocarboxylate transporter 3,Proton-coupled monocarboxylate transport,['Protein_Pathway'],False,True,True,False,Protein_Pathway,,
O95907,protein_disease,C4016684,-0.47134363651275635,-0.1452060252739286,REJECT,Monocarboxylate transporter 3,"monocarboxylate transporter 1 deficiency, autosomal dominant",[],False,False,False,False,,,
O95907,protein_molecularfunction,GO:0015355,-0.024359172210097313,-0.5690634813738988,ACCEPT,Monocarboxylate transporter 3,secondary active monocarboxylate transmembrane transporter activity,[],False,False,False,False,,,
O95907,protein_biologicalprocess,GO:0009455,-0.15049652755260468,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 3,redox taxis,[],False,False,False,False,,,
O95907,protein_biologicalprocess,GO:0045852,-0.05707937851548195,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 3,pH elevation,[],False,False,False,False,,,
O95907,protein_biologicalprocess,GO:0045065,-0.01752876490354538,-0.5776643345681309,ACCEPT,Monocarboxylate transporter 3,cytotoxic T cell differentiation,[],False,False,False,False,,,
