head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
9727,chemicalentity_protein,PR:000001193,-0.685619592666626,-0.3552259656009227,REJECT,4-[2-(methylamino)ethyl]phenol,beta-2 adrenergic receptor,[],False,False,False,False,
9727,chemicalentity_protein,Q4JFT4,-0.12404181808233261,-0.3552259656009227,ACCEPT,4-[2-(methylamino)ethyl]phenol,Beta-3 adrenergic receptor,[],False,False,False,False,
9727,chemicalentity_protein,Q4JG18,-0.08720552921295166,-0.3552259656009227,ACCEPT,4-[2-(methylamino)ethyl]phenol,Beta-2 adrenergic receptor,[],False,False,False,False,
9727,chemicalentity_protein,Q95252,-0.615471601486206,-0.3552259656009227,REJECT,4-[2-(methylamino)ethyl]phenol,Beta-3 adrenergic receptor,[],False,False,False,False,
9727,chemicalentity_protein,O02662,-0.6399629712104797,-0.3552259656009227,REJECT,4-[2-(methylamino)ethyl]phenol,Beta-3 adrenergic receptor,[],False,False,False,False,
9727,chemicalentity_protein,D3VVE9,-0.9047908782958984,-0.3552259656009227,REJECT,4-[2-(methylamino)ethyl]phenol,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
9727,chemicalentity_protein,Q5STF9,-0.1764213889837265,-0.3552259656009227,ACCEPT,4-[2-(methylamino)ethyl]phenol,Ribonuclease P protein subunit p21,[],False,False,False,False,
PR:000001193,protein_protein,Q4JFT4,-4.791983127593994,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
PR:000001193,protein_protein,Q4JG18,-6.02007532119751,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Beta-2 adrenergic receptor,[],False,False,False,False,
PR:000001193,protein_protein,Q95252,-0.6323268413543701,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
PR:000001193,protein_protein,O02662,-0.8557960391044617,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
PR:000001193,protein_protein,D3VVE9,-0.4124116003513336,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
PR:000001193,protein_protein,Q5STF9,-3.859806537628174,-0.2036837140803804,REJECT,beta-2 adrenergic receptor,Ribonuclease P protein subunit p21,[],False,False,False,False,
Q4JFT4,protein_protein,Q4JG18,-0.03179033845663071,-0.2036837140803804,ACCEPT,Beta-3 adrenergic receptor,Beta-2 adrenergic receptor,['Protein_Protein'],False,True,True,False,Protein_Protein
Q4JFT4,protein_protein,Q95252,-0.36385151743888855,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
Q4JFT4,protein_protein,O02662,-0.22800174355506897,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
Q4JFT4,protein_protein,D3VVE9,-0.4179808497428894,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
Q4JFT4,protein_protein,Q5STF9,-0.05838676914572716,-0.2036837140803804,ACCEPT,Beta-3 adrenergic receptor,Ribonuclease P protein subunit p21,[],False,False,False,False,
Q4JG18,protein_protein,Q95252,-0.33227792382240295,-0.2036837140803804,REJECT,Beta-2 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
Q4JG18,protein_protein,O02662,-0.19166702032089233,-0.2036837140803804,ACCEPT,Beta-2 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
Q4JG18,protein_protein,D3VVE9,-0.3854769170284271,-0.2036837140803804,REJECT,Beta-2 adrenergic receptor,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
Q4JG18,protein_protein,Q5STF9,-0.038721341639757156,-0.2036837140803804,ACCEPT,Beta-2 adrenergic receptor,Ribonuclease P protein subunit p21,[],False,False,False,False,
Q95252,protein_protein,O02662,-0.719351053237915,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Beta-3 adrenergic receptor,[],False,False,False,False,
Q95252,protein_protein,D3VVE9,-0.5082679390907288,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
Q95252,protein_protein,Q5STF9,-2.0012049674987793,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Ribonuclease P protein subunit p21,[],False,False,False,False,
O02662,protein_protein,D3VVE9,-0.445439875125885,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
O02662,protein_protein,Q5STF9,-2.7420809268951416,-0.2036837140803804,REJECT,Beta-3 adrenergic receptor,Ribonuclease P protein subunit p21,[],False,False,False,False,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,
