head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ADSS1,gene_gene,ADSS2,-0.014063912443816662,-0.071739344080056,ACCEPT,adenylosuccinate synthase 1,adenylosuccinate synthase 2,['Gene_Gene'],False,True,True,False,Gene_Gene,,
ADSS1,gene_gene,ADSS,-0.1418517827987671,-0.071739344080056,REJECT,adenylosuccinate synthase 1,adenylosuccinate synthase 2,[],False,False,False,False,,,
ADSS1,gene_gene,ADSSL1,-0.12413334846496582,-0.071739344080056,REJECT,adenylosuccinate synthase 1,adenylosuccinate synthase 1,[],False,False,False,False,,,
ADSS1,gene_gene,adssl,-0.012100489810109138,-0.071739344080056,ACCEPT,adenylosuccinate synthase 1,"adenylosuccinate synthase, like",['Gene_Gene'],False,True,True,False,Gene_Gene,,
ADSS1,gene_protein,G3V370,-0.021680939942598343,-0.0280984394514378,ACCEPT,adenylosuccinate synthase 1,Adenylosuccinate synthase 1 {ECO:0000313|Ensembl:ENSP00000450759.1},[],False,False,False,False,,,
ADSS1,gene_biologicalprocess,GO:0070370,-0.014813560992479324,-0.0356325677219588,ACCEPT,adenylosuccinate synthase 1,cellular heat acclimation,[],False,False,False,False,,,
ADSS1,gene_promotes_biologicalprocess,GO:0070370,-0.23000557720661163,-0.0617563253450388,REJECT,adenylosuccinate synthase 1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3137, 'gene_promotes_biologicalprocess': -0.23, 'gene_negativelyassociatedwith_biologicalprocess': -0.3973, 'gene_positivelyassociatedwith_biologicalprocess': -0.3644, 'gene_notassociatedwith_biologicalprocess': -0.3053}"
ADSS2,gene_gene,ADSS,-0.14402958750724792,-0.071739344080056,REJECT,adenylosuccinate synthase 2,adenylosuccinate synthase 2,[],False,False,False,False,,,
ADSS2,gene_gene,ADSSL1,-0.12750007212162018,-0.071739344080056,REJECT,adenylosuccinate synthase 2,adenylosuccinate synthase 1,[],False,False,False,False,,,
ADSS2,gene_gene,adssl,-0.0123389707878232,-0.071739344080056,ACCEPT,adenylosuccinate synthase 2,"adenylosuccinate synthase, like",['Gene_Gene'],False,True,True,False,Gene_Gene,,
