head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q4L7L1,protein_cellularcomponent,GO:0005886,-1.7433619499206543,-0.143767219171222,REJECT,Diacylglycerol kinase,plasma membrane,[],False,False,False,False,,,
Q4L7L1,protein_biologicalprocess,GO:0030258,-1.5346473455429077,-0.5776643345681309,REJECT,Diacylglycerol kinase,lipid modification,[],False,False,False,False,,,
Q4L7L1,protein_biologicalprocess,GO:0072344,-1.7945014238357544,-0.5776643345681309,REJECT,Diacylglycerol kinase,rescue of stalled ribosome,[],False,False,False,False,,,
F42A9.1,gene_protein,Q4L7L1,-0.9035787582397461,-0.0280984394514378,REJECT,Diacylglycerol kinase,Diacylglycerol kinase,[],False,False,False,False,,,
F42A9.1,gene_gene,YOR311C,-1.7764453887939453,-0.071739344080056,REJECT,Diacylglycerol kinase,diacylglycerol kinase,[],False,False,False,False,,,
F42A9.1,gene_gene,DGKH,-2.0283493995666504,-0.071739344080056,REJECT,Diacylglycerol kinase,diacylglycerol kinase eta,[],False,False,False,False,,,
F42A9.1,gene_gene,DGKI,-2.0405406951904297,-0.071739344080056,REJECT,Diacylglycerol kinase,diacylglycerol kinase iota,[],False,False,False,False,,,
F42A9.1,gene_gene,DGKB,-2.049276828765869,-0.071739344080056,REJECT,Diacylglycerol kinase,diacylglycerol kinase beta,[],False,False,False,False,,,
F42A9.1,gene_cellularcomponent,GO:0005886,-0.7339754700660706,-0.0358198597771757,REJECT,Diacylglycerol kinase,plasma membrane,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
F42A9.1,gene_biologicalprocess,GO:0030258,-1.475388526916504,-0.0356325677219588,REJECT,Diacylglycerol kinase,lipid modification,[],False,False,False,False,,,
F42A9.1,gene_positivelyassociatedwith_biologicalprocess,GO:0030258,-1.434860348701477,-0.0730086550790463,REJECT,Diacylglycerol kinase,lipid modification,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.5102, 'gene_promotes_biologicalprocess': -1.4353, 'gene_negativelyassociatedwith_biologicalprocess': -1.5324, 'gene_positivelyassociatedwith_biologicalprocess': -1.4349, 'gene_notassociatedwith_biologicalprocess': -1.5615}"
F42A9.1,gene_gene,CG10573,-1.6625347137451172,-0.071739344080056,REJECT,Diacylglycerol kinase,knockout,[],False,False,False,False,,,
F42A9.1,gene_gene,CG1619,-1.7543909549713135,-0.071739344080056,REJECT,Diacylglycerol kinase,Hybrid male rescue,[],False,False,False,False,,,
