head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
1176,chemicalentity_biologicalprocess,GO:0090400,-0.022128533571958542,-0.232143107153421,ACCEPT,urea,stress-induced premature senescence,[],False,False,False,False,,,
1176,chemicalentity_inhibits_biologicalprocess,GO:0090400,-0.11761093884706497,-0.7050372264239742,ACCEPT,urea,stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1434, 'chemicalentity_noeffect_biologicalprocess': -0.8162, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1411, 'chemicalentity_promotes_biologicalprocess': -0.2564, 'chemicalentity_inhibits_biologicalprocess': -0.1176, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1658}"
1176,chemicalentity_protein,P74088,-0.272316038608551,-0.3552259656009227,ACCEPT,urea,Carbonic anhydrase,[],False,False,False,False,,,
1176,chemicalentity_protein,O94255,-0.3000376224517822,-0.3552259656009227,ACCEPT,urea,Carbonic anhydrase,[],False,False,False,False,,,
1176,chemicalentity_gene,T28F2.3,-0.05560009926557541,-0.2458965898096785,ACCEPT,urea,Carbonic anhydrase,[],False,False,False,False,,,
1176,chemicalentity_gene,Y116A8C.28,-0.21954858303070068,-0.2458965898096785,ACCEPT,urea,Carbonic anhydrase,[],False,False,False,False,,,
1176,chemicalentity_gene,cahz,-0.05265719071030617,-0.2458965898096785,ACCEPT,urea,carbonic anhydrase,[],False,False,False,False,,,
1176,chemicalentity_gene,CA9,-0.008270123042166233,-0.2458965898096785,ACCEPT,urea,carbonic anhydrase 9,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
1176,chemicalentity_gene,CA4,-0.009289626032114029,-0.2458965898096785,ACCEPT,urea,carbonic anhydrase 4,[],False,False,False,False,,,
1176,chemicalentity_gene,P16,-0.5764175653457642,-0.2458965898096785,REJECT,urea,cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
1176,chemicalentity_protein,Q5STF9,-0.039642758667469025,-0.3552259656009227,ACCEPT,urea,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090400,biologicalprocess_protein,P74088,-0.20932354032993317,-0.4342587681103441,ACCEPT,stress-induced premature senescence,Carbonic anhydrase,[],False,False,False,False,,,
