head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
MTMR4,gene_chemicalentity,86289680,-0.13540396094322205,-0.0285922419958417,REJECT,myotubularin related protein 4,"[(1R,2R,3S,4R,5S,6S)-3-[[(2R)-2,3-di(octanoyloxy)propoxy]-oxidophosphoryl]oxy-2,4,5,6-tetrahydroxycyclohexyl] phosphate",[],False,False,False,False,,,
MTMR4,gene_chemicalentity,53480218,-0.015488055534660816,-0.0285922419958417,ACCEPT,myotubularin related protein 4,"[(2R)-2-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxy-3-[hydroxy-[(1S,5R)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl]oxyphosphoryl]oxypropyl] (10Z,13Z,16Z)-docosa-10,13,16-trienoate",[],False,False,False,False,,,
MTMR4,gene_chemicalentity,53480140,-0.0174135509878397,-0.0285922419958417,ACCEPT,myotubularin related protein 4,"[(2R)-1-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxy-3-[hydroxy-[(1S,5R)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl]oxyphosphoryl]oxypropan-2-yl] (10Z,13Z,16Z)-docosa-10,13,16-trienoate",[],False,False,False,False,,,
MTMR4,gene_chemicalentity,86289144,-0.045388173311948776,-0.0285922419958417,REJECT,myotubularin related protein 4,"[(2R)-3-[hydroxy-[(1R,2R,3R,4R,5S,6R)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl]oxyphosphoryl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] octadecanoate",[],False,False,False,False,,,
MTMR4,gene_chemicalentity,131750487,-0.018098250031471252,-0.0285922419958417,ACCEPT,myotubularin related protein 4,"[(2R)-2-hexadecanoyloxy-3-[hydroxy-[(1S,5R)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl]oxyphosphoryl]oxypropyl] octadecanoate",[],False,False,False,False,,,
MTMR4,gene_phenotype,embryo phenotype,-0.045622341334819794,-0.0347684314162952,REJECT,myotubularin related protein 4,embryo phenotype,[],False,False,False,False,,,
MTMR4,gene_phenotype,muscle phenotype,-0.02060152404010296,-0.0347684314162952,ACCEPT,myotubularin related protein 4,muscle phenotype,[],False,False,False,False,,,
MTMR4,gene_phenotype,terminal phenotype,-0.0625871792435646,-0.0347684314162952,REJECT,myotubularin related protein 4,terminal phenotype,[],False,False,False,False,,,
MTMR4,gene_phenotype,skeleton phenotype,-0.02888321503996849,-0.0347684314162952,ACCEPT,myotubularin related protein 4,skeleton phenotype,[],False,False,False,False,,,
MTMR4,gene_phenotype,cellular phenotype,-0.021034561097621918,-0.0347684314162952,ACCEPT,myotubularin related protein 4,cellular phenotype,[],False,False,False,False,,,
