head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
25246271,chemicalentity_biologicalprocess,GO:0090403,-1.5594210624694824,-0.232143107153421,REJECT,pyridoxamine 5'-phosphate(1-),oxidative stress-induced premature senescence,[],False,False,False,False,,,
25246271,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.1862270832061768,-0.596142909254255,REJECT,pyridoxamine 5'-phosphate(1-),oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.1862, 'chemicalentity_noeffect_biologicalprocess': -2.5821, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3516, 'chemicalentity_promotes_biologicalprocess': -2.0492, 'chemicalentity_inhibits_biologicalprocess': -1.8057, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2994}"
25246271,chemicalentity_chemicalentity,10243408,-0.6537911295890808,-0.2425281074611494,REJECT,pyridoxamine 5'-phosphate(1-),N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
25246271,chemicalentity_protein,D3VVE9,-1.1883151531219482,-0.3552259656009227,REJECT,pyridoxamine 5'-phosphate(1-),Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
25246271,chemicalentity_protein,Q5STF9,-1.0591737031936646,-0.3552259656009227,REJECT,pyridoxamine 5'-phosphate(1-),Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_chemicalentity,10243408,-0.10338792949914932,-0.03613698155982,REJECT,oxidative stress-induced premature senescence,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
10243408,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.571012258529663,-0.596142909254255,REJECT,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.571, 'chemicalentity_noeffect_biologicalprocess': -3.3294, 'chemicalentity_notassociatedwith_biologicalprocess': -1.7835, 'chemicalentity_promotes_biologicalprocess': -2.6925, 'chemicalentity_inhibits_biologicalprocess': -2.547, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.9074}"
GO:0090403,biologicalprocess_protein,D3VVE9,-0.38888129591941833,-0.4342587681103441,ACCEPT,oxidative stress-induced premature senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
10243408,chemicalentity_protein,D3VVE9,-1.326655626296997,-0.3552259656009227,REJECT,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
10243408,chemicalentity_protein,Q5STF9,-1.4394817352294922,-0.3552259656009227,REJECT,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
