head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
OPLAH,gene_biologicalprocess,GO:0051881,-0.010122206062078476,-0.0356325677219588,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",regulation of mitochondrial membrane potential,[],False,False,False,False,,,
OPLAH,gene_promotes_biologicalprocess,GO:0051881,-0.11168479919433594,-0.0617563253450388,REJECT,"5-oxoprolinase, ATP-hydrolysing",regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1256, 'gene_promotes_biologicalprocess': -0.1117, 'gene_negativelyassociatedwith_biologicalprocess': -0.2032, 'gene_positivelyassociatedwith_biologicalprocess': -0.1458, 'gene_notassociatedwith_biologicalprocess': -0.1582}"
OPLAH,gene_biologicalprocess,GO:0010918,-0.014782560057938099,-0.0356325677219588,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",positive regulation of mitochondrial membrane potential,[],False,False,False,False,,,
OPLAH,gene_notassociatedwith_biologicalprocess,GO:0010918,-0.193099707365036,-0.1941926147433079,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",positive regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1962, 'gene_promotes_biologicalprocess': -0.2437, 'gene_negativelyassociatedwith_biologicalprocess': -0.2283, 'gene_positivelyassociatedwith_biologicalprocess': -0.2353, 'gene_notassociatedwith_biologicalprocess': -0.1931}"
OPLAH,gene_biologicalprocess,GO:0010917,-0.020556528121232986,-0.0356325677219588,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",negative regulation of mitochondrial membrane potential,[],False,False,False,False,,,
OPLAH,gene_promotes_biologicalprocess,GO:0010917,-0.14765582978725433,-0.0617563253450388,REJECT,"5-oxoprolinase, ATP-hydrolysing",negative regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1628, 'gene_promotes_biologicalprocess': -0.1477, 'gene_negativelyassociatedwith_biologicalprocess': -0.2122, 'gene_positivelyassociatedwith_biologicalprocess': -0.1649, 'gene_notassociatedwith_biologicalprocess': -0.1846}"
OPLAH,gene_chemicalentity,5957,-0.022391831502318382,-0.0285922419958417,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",ATP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
OPLAH,gene_molecularfunction,GO:1903264,-0.21738804876804352,-0.0286995250249342,REJECT,"5-oxoprolinase, ATP-hydrolysing",nitrate reductase activity involved in anaerobic electron transport chain,[],False,False,False,False,,,
OPLAH,gene_biologicalprocess,GO:0033554,-0.02312692068517208,-0.0356325677219588,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",cellular response to stress,[],False,False,False,False,,,
OPLAH,gene_promotes_biologicalprocess,GO:0033554,-0.26440873742103577,-0.0617563253450388,REJECT,"5-oxoprolinase, ATP-hydrolysing",cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3057, 'gene_promotes_biologicalprocess': -0.2644, 'gene_negativelyassociatedwith_biologicalprocess': -0.4379, 'gene_positivelyassociatedwith_biologicalprocess': -0.3214, 'gene_notassociatedwith_biologicalprocess': -0.3146}"
OPLAH,gene_biologicalprocess,GO:0080136,-0.058369748294353485,-0.0356325677219588,REJECT,"5-oxoprolinase, ATP-hydrolysing",priming of cellular response to stress,[],False,False,False,False,,,
OPLAH,gene_negativelyassociatedwith_biologicalprocess,GO:0080136,-0.41981908679008484,-0.1070524565571329,REJECT,"5-oxoprolinase, ATP-hydrolysing",priming of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4959, 'gene_promotes_biologicalprocess': -0.5586, 'gene_negativelyassociatedwith_biologicalprocess': -0.4198, 'gene_positivelyassociatedwith_biologicalprocess': -0.425, 'gene_notassociatedwith_biologicalprocess': -0.4658}"
OPLAH,gene_biologicalprocess,GO:0080135,-0.019120527431368828,-0.0356325677219588,ACCEPT,"5-oxoprolinase, ATP-hydrolysing",regulation of cellular response to stress,[],False,False,False,False,,,
OPLAH,gene_inhibits_biologicalprocess,GO:0080135,-0.20152586698532104,-0.0559618705714699,REJECT,"5-oxoprolinase, ATP-hydrolysing",regulation of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2015, 'gene_promotes_biologicalprocess': -0.204, 'gene_negativelyassociatedwith_biologicalprocess': -0.3258, 'gene_positivelyassociatedwith_biologicalprocess': -0.2302, 'gene_notassociatedwith_biologicalprocess': -0.2314}"
GO:0051881,biologicalprocess_biologicalprocess,GO:0010918,-0.0019319725688546896,-0.0422867482620858,ACCEPT,regulation of mitochondrial membrane potential,positive regulation of mitochondrial membrane potential,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0051881,biologicalprocess_biologicalprocess,GO:0010917,-0.0028356616385281086,-0.0422867482620858,ACCEPT,regulation of mitochondrial membrane potential,negative regulation of mitochondrial membrane potential,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0051881,biologicalprocess_chemicalentity,5957,-0.0008759672055020928,-0.03613698155982,ACCEPT,regulation of mitochondrial membrane potential,ATP,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051881,-0.04796364903450012,-0.596142909254255,ACCEPT,ATP,regulation of mitochondrial membrane potential,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.048, 'chemicalentity_noeffect_biologicalprocess': -1.3911, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1603, 'chemicalentity_promotes_biologicalprocess': -0.2099, 'chemicalentity_inhibits_biologicalprocess': -0.0679, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0713}"
GO:0051881,biologicalprocess_molecularfunction,GO:1903264,-0.19965754449367523,-0.2123315010681272,ACCEPT,regulation of mitochondrial membrane potential,nitrate reductase activity involved in anaerobic electron transport chain,[],False,False,False,False,,,
