head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
DOLPP1,gene_biologicalprocess,GO:0070085,-0.005164022091776133,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,glycosylation,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
DOLPP1,gene_promotes_biologicalprocess,GO:0070085,-0.06618765741586685,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,glycosylation,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.0751, 'gene_promotes_biologicalprocess': -0.0662, 'gene_negativelyassociatedwith_biologicalprocess': -0.2, 'gene_positivelyassociatedwith_biologicalprocess': -0.1347, 'gene_notassociatedwith_biologicalprocess': -0.2837}"
DOLPP1,gene_biologicalprocess,GO:0006486,-0.00336748780682683,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,protein glycosylation,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
DOLPP1,gene_promotes_biologicalprocess,GO:0006486,-0.09662475436925888,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,protein glycosylation,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.1232, 'gene_promotes_biologicalprocess': -0.0966, 'gene_negativelyassociatedwith_biologicalprocess': -0.247, 'gene_positivelyassociatedwith_biologicalprocess': -0.1676, 'gene_notassociatedwith_biologicalprocess': -0.2517}"
DOLPP1,gene_biologicalprocess,GO:0030259,-0.028184540569782257,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,lipid glycosylation,[],False,False,False,False,,,
DOLPP1,gene_promotes_biologicalprocess,GO:0030259,-0.16071102023124695,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,lipid glycosylation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1914, 'gene_promotes_biologicalprocess': -0.1607, 'gene_negativelyassociatedwith_biologicalprocess': -0.2999, 'gene_positivelyassociatedwith_biologicalprocess': -0.2326, 'gene_notassociatedwith_biologicalprocess': -0.3306}"
DOLPP1,gene_biologicalprocess,GO:0043413,-0.008948150090873241,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,macromolecule glycosylation,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
DOLPP1,gene_promotes_biologicalprocess,GO:0043413,-0.17412203550338745,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,macromolecule glycosylation,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.1772, 'gene_promotes_biologicalprocess': -0.1741, 'gene_negativelyassociatedwith_biologicalprocess': -0.3185, 'gene_positivelyassociatedwith_biologicalprocess': -0.2696, 'gene_notassociatedwith_biologicalprocess': -0.3524}"
DOLPP1,gene_biologicalprocess,GO:0006950,-0.014377917163074017,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,response to stress,[],False,False,False,False,,,
DOLPP1,gene_promotes_biologicalprocess,GO:0006950,-0.20015543699264526,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2131, 'gene_promotes_biologicalprocess': -0.2002, 'gene_negativelyassociatedwith_biologicalprocess': -0.4186, 'gene_positivelyassociatedwith_biologicalprocess': -0.262, 'gene_notassociatedwith_biologicalprocess': -0.4037}"
