head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
452110,chemicalentity_chemicalentity,160339,-0.49130311608314514,-0.2425281074611494,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate","2-[[(2R)-2,3-di(hexadecanoyloxy)propoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium",[],False,False,False,False,,,
452110,chemicalentity_chemicalentity,3045268,-0.34340253472328186,-0.2425281074611494,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",(3-dodecanoyloxy-2-hydroxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,[],False,False,False,False,,,
452110,chemicalentity_chemicalentity,46891705,-0.3387607932090759,-0.2425281074611494,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate","[(2R)-2,3-bis(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-hentriacontadeuteriohexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",[],False,False,False,False,,,
452110,chemicalentity_gene,SDIM1,-0.5492772459983826,-0.2458965898096785,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",stress responsive DNAJB4 interacting membrane protein 1,[],False,False,False,False,,,
452110,chemicalentity_protein,Q6ZPB5,-0.2036600261926651,-0.3552259656009227,ACCEPT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",Stress-responsive DNAJB4-interacting membrane protein 1,[],False,False,False,False,,,
452110,chemicalentity_biologicalprocess,GO:0043129,-0.3679070472717285,-0.232143107153421,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",surfactant homeostasis,[],False,False,False,False,,,
452110,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0043129,-0.40149247646331787,-0.596142909254255,ACCEPT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",surfactant homeostasis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4015, 'chemicalentity_noeffect_biologicalprocess': -1.6358, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6283, 'chemicalentity_promotes_biologicalprocess': -0.9756, 'chemicalentity_inhibits_biologicalprocess': -0.5764, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.645}"
452110,chemicalentity_biologicalprocess,GO:0160069,-0.5901316404342651,-0.232143107153421,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",surfactant secretion,[],False,False,False,False,,,
452110,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0160069,-0.7984460592269897,-0.596142909254255,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",surfactant secretion,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7984, 'chemicalentity_noeffect_biologicalprocess': -1.9112, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0026, 'chemicalentity_promotes_biologicalprocess': -1.6093, 'chemicalentity_inhibits_biologicalprocess': -1.4082, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9036}"
452110,chemicalentity_biologicalprocess,GO:0090398,-0.24665467441082,-0.232143107153421,REJECT,"[(2R)-2,3-di(hexadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",cellular senescence,[],False,False,False,False,,,
