head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
7420,chemicalentity_chemicalentity,86,-0.8960393667221069,-0.2425281074611494,REJECT,3-hydroxybenzoic acid,2-amino-3-hydroxybenzoic acid,[],False,False,False,False,,,
7420,chemicalentity_chemicalentity,137566,-0.5575350522994995,-0.2425281074611494,REJECT,3-hydroxybenzoic acid,4-amino-3-hydroxybenzoic acid,[],False,False,False,False,,,
7420,chemicalentity_chemicalentity,23656593,-0.2564637064933777,-0.2425281074611494,REJECT,3-hydroxybenzoic acid,"4-(2,4-dichlorophenoxy)-3-hydroxybenzoic acid",[],False,False,False,False,,,
7420,chemicalentity_chemicalentity,151915,-0.1930055022239685,-0.2425281074611494,ACCEPT,3-hydroxybenzoic acid,"2,4,6-tribromo-3-hydroxybenzoic acid",[],False,False,False,False,,,
7420,chemicalentity_biologicalprocess,GO:0006954,-0.3060060441493988,-0.232143107153421,REJECT,3-hydroxybenzoic acid,inflammatory response,[],False,False,False,False,,,
7420,chemicalentity_inhibits_biologicalprocess,GO:0006954,-0.21731245517730713,-0.7050372264239742,ACCEPT,3-hydroxybenzoic acid,inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2781, 'chemicalentity_noeffect_biologicalprocess': -1.941, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4853, 'chemicalentity_promotes_biologicalprocess': -0.4828, 'chemicalentity_inhibits_biologicalprocess': -0.2173, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3812}"
7420,chemicalentity_pathway,R-HSA-2559582,-0.18983042240142822,-0.3200630854546729,ACCEPT,3-hydroxybenzoic acid,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
7420,chemicalentity_protein,E5RK50,-0.3384047746658325,-0.3552259656009227,ACCEPT,3-hydroxybenzoic acid,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
7420,chemicalentity_pathway,R-HSA-6788467,-0.2596210241317749,-0.3200630854546729,ACCEPT,3-hydroxybenzoic acid,IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
7420,chemicalentity_gene,IL-6,-0.3581928014755249,-0.2458965898096785,REJECT,3-hydroxybenzoic acid,interleukin 6,[],False,False,False,False,,,
7420,chemicalentity_protein,B2R4L8,-0.042639199644327164,-0.3552259656009227,ACCEPT,3-hydroxybenzoic acid,IL-8(9-77),[],False,False,False,False,,,
86,chemicalentity_chemicalentity,137566,-0.07785149663686752,-0.2425281074611494,ACCEPT,2-amino-3-hydroxybenzoic acid,4-amino-3-hydroxybenzoic acid,[],False,False,False,False,,,
86,chemicalentity_chemicalentity,23656593,-0.0809984803199768,-0.2425281074611494,ACCEPT,2-amino-3-hydroxybenzoic acid,"4-(2,4-dichlorophenoxy)-3-hydroxybenzoic acid",[],False,False,False,False,,,
86,chemicalentity_chemicalentity,151915,-0.0835389569401741,-0.2425281074611494,ACCEPT,2-amino-3-hydroxybenzoic acid,"2,4,6-tribromo-3-hydroxybenzoic acid",[],False,False,False,False,,,
86,chemicalentity_biologicalprocess,GO:0006954,-0.006962716579437256,-0.232143107153421,ACCEPT,2-amino-3-hydroxybenzoic acid,inflammatory response,[],False,False,False,False,,,
86,chemicalentity_inhibits_biologicalprocess,GO:0006954,-0.08179347962141037,-0.7050372264239742,ACCEPT,2-amino-3-hydroxybenzoic acid,inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0823, 'chemicalentity_noeffect_biologicalprocess': -1.4093, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1543, 'chemicalentity_promotes_biologicalprocess': -0.2109, 'chemicalentity_inhibits_biologicalprocess': -0.0818, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1218}"
86,chemicalentity_pathway,R-HSA-2559582,-0.00416546780616045,-0.3200630854546729,ACCEPT,2-amino-3-hydroxybenzoic acid,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
86,chemicalentity_protein,E5RK50,-0.17532728612422943,-0.3552259656009227,ACCEPT,2-amino-3-hydroxybenzoic acid,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
86,chemicalentity_pathway,R-HSA-6788467,-0.007283132057636976,-0.3200630854546729,ACCEPT,2-amino-3-hydroxybenzoic acid,IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
86,chemicalentity_gene,IL-6,-0.29354268312454224,-0.2458965898096785,REJECT,2-amino-3-hydroxybenzoic acid,interleukin 6,[],False,False,False,False,,,
86,chemicalentity_protein,B2R4L8,-0.011282626539468765,-0.3552259656009227,ACCEPT,2-amino-3-hydroxybenzoic acid,IL-8(9-77),[],False,False,False,False,,,
137566,chemicalentity_chemicalentity,23656593,-0.3776234984397888,-0.2425281074611494,REJECT,4-amino-3-hydroxybenzoic acid,"4-(2,4-dichlorophenoxy)-3-hydroxybenzoic acid",[],False,False,False,False,,,
137566,chemicalentity_chemicalentity,151915,-0.2996448874473572,-0.2425281074611494,REJECT,4-amino-3-hydroxybenzoic acid,"2,4,6-tribromo-3-hydroxybenzoic acid",[],False,False,False,False,,,
137566,chemicalentity_biologicalprocess,GO:0006954,-0.6042672991752625,-0.232143107153421,REJECT,4-amino-3-hydroxybenzoic acid,inflammatory response,[],False,False,False,False,,,
