head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
21124703,chemicalentity_biologicalprocess,GO:0090398,-2.1569581031799316,-0.232143107153421,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",cellular senescence,[],False,False,False,False,,,
21124703,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.5754672288894653,-0.7050372264239742,ACCEPT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.1729, 'chemicalentity_noeffect_biologicalprocess': -1.7768, 'chemicalentity_notassociatedwith_biologicalprocess': -1.65, 'chemicalentity_promotes_biologicalprocess': -1.0812, 'chemicalentity_inhibits_biologicalprocess': -0.5755, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.7877}"
21124703,chemicalentity_protein,Q96RI1,-1.4801816940307617,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Bile acid receptor,[],False,False,False,False,,,
21124703,chemicalentity_protein,A1L4K5,-1.1361991167068481,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Bile acid receptor,[],False,False,False,False,,,
21124703,chemicalentity_protein,B7Z412,-1.4733328819274902,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Bile acid receptor,[],False,False,False,False,,,
21124703,chemicalentity_protein,Q92943,-1.3158199787139893,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Bile acid receptor,[],False,False,False,False,,,
21124703,chemicalentity_protein,Q60641,-2.0221922397613525,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Bile acid receptor,[],False,False,False,False,,,
21124703,chemicalentity_gene,gpbar1,-1.279298186302185,-0.2458965898096785,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",G protein-coupled bile acid receptor 1,[],False,False,False,False,,,
21124703,chemicalentity_gene,GPBAR1,-4.800883769989014,-0.2458965898096785,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",G protein-coupled bile acid receptor 1,[],False,False,False,False,,,
21124703,chemicalentity_gene,P16,-1.610089898109436,-0.2458965898096785,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
21124703,chemicalentity_gene,P21,-1.3555575609207153,-0.2458965898096785,REJECT,"2-[[(4R)-4-[(3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",neuronal vesicle trafficking associated 1,[],False,False,False,False,,,
