head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PMVK,gene_gene,YMR220W,-0.030383145436644554,-0.071739344080056,ACCEPT,phosphomevalonate kinase,phosphomevalonate kinase,[],False,False,False,False,,,
PMVK,gene_protein,Q5TZW9,-0.02857382968068123,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
PMVK,gene_protein,Q29081,-0.06491640955209732,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
PMVK,gene_protein,Q97UL6,-0.013759579509496689,-0.0280984394514378,ACCEPT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
PMVK,gene_protein,Q2KIU2,-0.08222101628780365,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
PMVK,gene_protein,Q15126,-0.02138022892177105,-0.0280984394514378,ACCEPT,phosphomevalonate kinase,Phosphomevalonate kinase,['Gene_Protein'],False,True,True,False,Gene_Protein,,
PMVK,gene_protein,I1RZD0,-0.03706593066453934,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase ERG8 {ECO:0000303|PubMed:30874562},[],False,False,False,False,,,
PMVK,gene_cellularcomponent,GO:0016020,-0.008422242477536201,-0.0358198597771757,ACCEPT,phosphomevalonate kinase,membrane,['CellularComponent_Gene'],False,True,True,False,CellularComponent_Gene,,
PMVK,gene_biologicalprocess,GO:0090559,-0.019970916211605072,-0.0356325677219588,ACCEPT,phosphomevalonate kinase,regulation of membrane permeability,[],False,False,False,False,,,
PMVK,gene_inhibits_biologicalprocess,GO:0090559,-0.16059598326683044,-0.0559618705714699,REJECT,phosphomevalonate kinase,regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1606, 'gene_promotes_biologicalprocess': -0.1628, 'gene_negativelyassociatedwith_biologicalprocess': -0.2338, 'gene_positivelyassociatedwith_biologicalprocess': -0.1751, 'gene_notassociatedwith_biologicalprocess': -0.3379}"
PMVK,gene_biologicalprocess,GO:1905710,-0.06186535209417343,-0.0356325677219588,REJECT,phosphomevalonate kinase,positive regulation of membrane permeability,[],False,False,False,False,,,
PMVK,gene_inhibits_biologicalprocess,GO:1905710,-0.36086902022361755,-0.0559618705714699,REJECT,phosphomevalonate kinase,positive regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3609, 'gene_promotes_biologicalprocess': -0.3851, 'gene_negativelyassociatedwith_biologicalprocess': -0.53, 'gene_positivelyassociatedwith_biologicalprocess': -0.4511, 'gene_notassociatedwith_biologicalprocess': -0.513}"
PMVK,gene_biologicalprocess,GO:1905709,-0.05163000151515007,-0.0356325677219588,REJECT,phosphomevalonate kinase,negative regulation of membrane permeability,[],False,False,False,False,,,
PMVK,gene_positivelyassociatedwith_biologicalprocess,GO:1905709,-0.3172845244407654,-0.0730086550790463,REJECT,phosphomevalonate kinase,negative regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.345, 'gene_promotes_biologicalprocess': -0.3221, 'gene_negativelyassociatedwith_biologicalprocess': -0.3377, 'gene_positivelyassociatedwith_biologicalprocess': -0.3173, 'gene_notassociatedwith_biologicalprocess': -0.4788}"
PMVK,gene_biologicalprocess,GO:0015914,-0.012371373362839222,-0.0356325677219588,ACCEPT,phosphomevalonate kinase,phospholipid transport,[],False,False,False,False,,,
PMVK,gene_promotes_biologicalprocess,GO:0015914,-0.18077749013900757,-0.0617563253450388,REJECT,phosphomevalonate kinase,phospholipid transport,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2454, 'gene_promotes_biologicalprocess': -0.1808, 'gene_negativelyassociatedwith_biologicalprocess': -0.2765, 'gene_positivelyassociatedwith_biologicalprocess': -0.2059, 'gene_notassociatedwith_biologicalprocess': -0.3356}"
YMR220W,gene_protein,Q5TZW9,-0.04273320734500885,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
YMR220W,gene_protein,Q29081,-0.09017977863550186,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
YMR220W,gene_protein,Q97UL6,-0.02124638296663761,-0.0280984394514378,ACCEPT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
YMR220W,gene_protein,Q2KIU2,-0.10713473707437515,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
YMR220W,gene_protein,Q15126,-0.03361401706933975,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase,[],False,False,False,False,,,
YMR220W,gene_protein,I1RZD0,-0.05271729454398155,-0.0280984394514378,REJECT,phosphomevalonate kinase,Phosphomevalonate kinase ERG8 {ECO:0000303|PubMed:30874562},[],False,False,False,False,,,
YMR220W,gene_cellularcomponent,GO:0016020,-0.01167356688529253,-0.0358198597771757,ACCEPT,phosphomevalonate kinase,membrane,[],False,False,False,False,,,
YMR220W,gene_biologicalprocess,GO:0090559,-0.03134312108159065,-0.0356325677219588,ACCEPT,phosphomevalonate kinase,regulation of membrane permeability,[],False,False,False,False,,,
YMR220W,gene_positivelyassociatedwith_biologicalprocess,GO:0090559,-0.21765673160552979,-0.0730086550790463,REJECT,phosphomevalonate kinase,regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2591, 'gene_promotes_biologicalprocess': -0.2866, 'gene_negativelyassociatedwith_biologicalprocess': -0.271, 'gene_positivelyassociatedwith_biologicalprocess': -0.2177, 'gene_notassociatedwith_biologicalprocess': -0.2394}"
YMR220W,gene_biologicalprocess,GO:1905710,-0.07913696020841599,-0.0356325677219588,REJECT,phosphomevalonate kinase,positive regulation of membrane permeability,[],False,False,False,False,,,
YMR220W,gene_notassociatedwith_biologicalprocess,GO:1905710,-0.46172255277633667,-0.1941926147433079,REJECT,phosphomevalonate kinase,positive regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4814, 'gene_promotes_biologicalprocess': -0.5032, 'gene_negativelyassociatedwith_biologicalprocess': -0.5545, 'gene_positivelyassociatedwith_biologicalprocess': -0.4876, 'gene_notassociatedwith_biologicalprocess': -0.4617}"
YMR220W,gene_biologicalprocess,GO:1905709,-0.0676155835390091,-0.0356325677219588,REJECT,phosphomevalonate kinase,negative regulation of membrane permeability,[],False,False,False,False,,,
