head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P33303,protein_protein,O60475,-1.9600862264633179,-0.2036837140803804,REJECT,Succinate/fumarate mitochondrial transporter,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
P33303,protein_protein,Q96HL3,-1.9899013042449951,-0.2036837140803804,REJECT,Succinate/fumarate mitochondrial transporter,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
P33303,protein_protein,Q9N2I9,-0.5561191439628601,-0.2036837140803804,REJECT,Succinate/fumarate mitochondrial transporter,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
P33303,protein_protein,P56499,-0.6648404598236084,-0.2036837140803804,REJECT,Succinate/fumarate mitochondrial transporter,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
P33303,protein_chemicalentity,5359597,-0.9975132942199707,-0.1571110372511136,REJECT,Succinate/fumarate mitochondrial transporter,superoxide,[],False,False,False,False,
P33303,protein_chemicalentity,5460593,-0.8940830230712891,-0.1571110372511136,REJECT,Succinate/fumarate mitochondrial transporter,,[],False,False,False,False,
P33303,protein_phenotype,WBPhenotype:0001893,-0.6604610085487366,-0.0497034494975703,REJECT,Succinate/fumarate mitochondrial transporter,mitochondrial membrane potential reduced,[],False,False,False,False,
P33303,protein_phenotype,WBPhenotype:0002263,-0.5461840629577637,-0.0497034494975703,REJECT,Succinate/fumarate mitochondrial transporter,mitochondrial membrane potential increased,[],False,False,False,False,
O60475,protein_protein,Q96HL3,-0.05195898562669754,-0.2036837140803804,ACCEPT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
O60475,protein_protein,Q9N2I9,-0.24406100809574127,-0.2036837140803804,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
O60475,protein_protein,P56499,-0.14050592482089996,-0.2036837140803804,ACCEPT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
O60475,protein_chemicalentity,5359597,-0.15299077332019806,-0.1571110372511136,ACCEPT,Putative mitochondrial transporter UCP3 {ECO:0000305},superoxide,[],False,False,False,False,
O60475,protein_chemicalentity,5460593,-0.29502516984939575,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},,[],False,False,False,False,
O60475,protein_phenotype,WBPhenotype:0001893,-0.17237474024295807,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential reduced,[],False,False,False,False,
O60475,protein_phenotype,WBPhenotype:0002263,-0.04962378740310669,-0.0497034494975703,ACCEPT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential increased,[],False,False,False,False,
Q96HL3,protein_protein,Q9N2I9,-0.2707584500312805,-0.2036837140803804,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
Q96HL3,protein_protein,P56499,-0.16627947986125946,-0.2036837140803804,ACCEPT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
Q96HL3,protein_chemicalentity,5359597,-0.1807146668434143,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},superoxide,[],False,False,False,False,
Q96HL3,protein_chemicalentity,5460593,-0.2552843391895294,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},,[],False,False,False,False,
Q96HL3,protein_phenotype,WBPhenotype:0001893,-0.1984393298625946,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential reduced,[],False,False,False,False,
Q96HL3,protein_phenotype,WBPhenotype:0002263,-0.0690423920750618,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential increased,[],False,False,False,False,
Q9N2I9,protein_protein,P56499,-1.0501631498336792,-0.2036837140803804,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
Q9N2I9,protein_chemicalentity,5359597,-1.2146074771881104,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},superoxide,[],False,False,False,False,
Q9N2I9,protein_chemicalentity,5460593,-1.0124064683914185,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},,[],False,False,False,False,
Q9N2I9,protein_phenotype,WBPhenotype:0001893,-1.0068308115005493,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential reduced,[],False,False,False,False,
Q9N2I9,protein_phenotype,WBPhenotype:0002263,-1.1320035457611084,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential increased,[],False,False,False,False,
P56499,protein_chemicalentity,5359597,-0.7386645078659058,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},superoxide,[],False,False,False,False,
P56499,protein_chemicalentity,5460593,-0.8479081988334656,-0.1571110372511136,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},,[],False,False,False,False,
P56499,protein_phenotype,WBPhenotype:0001893,-0.6615847945213318,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential reduced,[],False,False,False,False,
P56499,protein_phenotype,WBPhenotype:0002263,-0.5295121669769287,-0.0497034494975703,REJECT,Putative mitochondrial transporter UCP3 {ECO:0000305},mitochondrial membrane potential increased,[],False,False,False,False,
T10F2.2,gene_protein,P33303,-0.2944701313972473,-0.0280984394514378,REJECT,Mitochondrial ornithine transporter 1,Succinate/fumarate mitochondrial transporter,[],False,False,False,False,
T10F2.2,gene_protein,O60475,-0.3680412471294403,-0.0280984394514378,REJECT,Mitochondrial ornithine transporter 1,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
T10F2.2,gene_protein,Q96HL3,-0.4524812698364258,-0.0280984394514378,REJECT,Mitochondrial ornithine transporter 1,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
T10F2.2,gene_protein,Q9N2I9,-0.33069202303886414,-0.0280984394514378,REJECT,Mitochondrial ornithine transporter 1,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
T10F2.2,gene_protein,P56499,-0.29913002252578735,-0.0280984394514378,REJECT,Mitochondrial ornithine transporter 1,Putative mitochondrial transporter UCP3 {ECO:0000305},[],False,False,False,False,
T10F2.2,gene_chemicalentity,5359597,-0.7461984157562256,-0.0285922419958417,REJECT,Mitochondrial ornithine transporter 1,superoxide,[],False,False,False,False,
