head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PISD,gene_gene,YGR170W,-0.021072249859571457,-0.071739344080056,ACCEPT,phosphatidylserine decarboxylase,phosphatidylserine decarboxylase 2,['Gene_Gene'],False,True,True,False,Gene_Gene,,
PISD,gene_protein,A4GNA8,-0.021826017647981644,-0.0280984394514378,ACCEPT,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase 3 alpha chain,[],False,False,False,False,,,
PISD,gene_protein,F4KAK5,-0.04035487025976181,-0.0280984394514378,REJECT,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase 2 alpha chain,[],False,False,False,False,,,
PISD,gene_protein,B1ANM0,-0.015157892368733883,-0.0280984394514378,ACCEPT,phosphatidylserine decarboxylase,phosphatidylserine decarboxylase {ECO:0000256|ARBA:ARBA00012243},[],False,False,False,False,,,
PISD,gene_protein,O14111,-0.045127540826797485,-0.0280984394514378,REJECT,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase 3 alpha chain {ECO:0000305},[],False,False,False,False,,,
PISD,gene_protein,Q9UTB5,-0.03352797403931618,-0.0280984394514378,REJECT,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase 2 alpha chain {ECO:0000305},[],False,False,False,False,,,
PISD,gene_cellularcomponent,golgi,-1.2026309967041016,-0.0358198597771757,REJECT,phosphatidylserine decarboxylase,golgi,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0005795,-0.0028583561070263386,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,Golgi stack,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0005796,-0.0030255881138145924,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,Golgi lumen,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0031985,-0.0030175705906003714,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,Golgi cisterna,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0000139,-0.002017773687839508,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,Golgi membrane,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0005774,-0.0020346655510365963,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,vacuolar membrane,[],False,False,False,False,,,
PISD,gene_cellularcomponent,GO:0005775,-0.003036722308024764,-0.0358198597771757,ACCEPT,phosphatidylserine decarboxylase,vacuolar lumen,[],False,False,False,False,,,
PISD,gene_biologicalprocess,GO:0097352,-0.004117918200790882,-0.0356325677219588,ACCEPT,phosphatidylserine decarboxylase,autophagosome maturation,[],False,False,False,False,,,
PISD,gene_inhibits_biologicalprocess,GO:0097352,-0.10042353719472885,-0.0559618705714699,REJECT,phosphatidylserine decarboxylase,autophagosome maturation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1004, 'gene_promotes_biologicalprocess': -0.1344, 'gene_negativelyassociatedwith_biologicalprocess': -0.1853, 'gene_positivelyassociatedwith_biologicalprocess': -0.1611, 'gene_notassociatedwith_biologicalprocess': -0.1597}"
PISD,gene_biologicalprocess,GO:0061906,-0.05204074829816818,-0.0356325677219588,REJECT,phosphatidylserine decarboxylase,autophagosome localization,[],False,False,False,False,,,
