head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
91,chemicalentity_pathway,R-HSA-9860927,-0.5359591245651245,-0.3200630854546729,REJECT,3-(3-hydroxyphenyl)propanoic acid,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",[],False,False,False,False,,,
91,chemicalentity_protein,Q8NG21,-1.0384469032287598,-0.3552259656009227,REJECT,3-(3-hydroxyphenyl)propanoic acid,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},[],False,False,False,False,,,
91,chemicalentity_chemicalentity,145068,-1.9782171249389648,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,nitric oxide,[],False,False,False,False,,,
91,chemicalentity_chemicalentity,3001380,-0.3907356560230255,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,nitroxyl anion,[],False,False,False,False,,,
91,chemicalentity_chemicalentity,6857661,-0.4027717709541321,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,N-oxonitrous amide,[],False,False,False,False,,,
91,chemicalentity_chemicalentity,135482068,-0.6252530217170715,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,(Z)-diethylamino-hydroxyimino-oxidoazanium;N-ethylethanamine,[],False,False,False,False,,,
91,chemicalentity_biologicalprocess,GO:0016310,-1.0953843593597412,-0.232143107153421,REJECT,3-(3-hydroxyphenyl)propanoic acid,phosphorylation,[],False,False,False,False,,,
91,chemicalentity_inhibits_biologicalprocess,GO:0016310,-0.5669456124305725,-0.7050372264239742,ACCEPT,3-(3-hydroxyphenyl)propanoic acid,phosphorylation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6168, 'chemicalentity_noeffect_biologicalprocess': -1.9364, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9748, 'chemicalentity_promotes_biologicalprocess': -0.6641, 'chemicalentity_inhibits_biologicalprocess': -0.5669, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0025}"
91,chemicalentity_chemicalentity,5359597,-1.5427273511886597,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,superoxide,[],False,False,False,False,,,
91,chemicalentity_chemicalentity,5460593,-0.8199357986450195,-0.2425281074611494,REJECT,3-(3-hydroxyphenyl)propanoic acid,,[],False,False,False,False,,,
91,chemicalentity_protein,Q5STF9,-0.1693461686372757,-0.3552259656009227,ACCEPT,3-(3-hydroxyphenyl)propanoic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,91,-0.3266294598579407,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,3-(3-hydroxyphenyl)propanoic acid,[],False,False,False,False,,,
HP:0011491,phenotype_protein,Q8NG21,-1.9991427659988403,-0.3155417705896823,REJECT,Reduced number of corneal endothelial cells,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,145068,-0.3933645486831665,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,nitric oxide,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,3001380,-0.9497369527816772,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,nitroxyl anion,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,6857661,-1.0076889991760254,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,N-oxonitrous amide,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,135482068,-0.6042494177818298,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,(Z)-diethylamino-hydroxyimino-oxidoazanium;N-ethylethanamine,[],False,False,False,False,,,
HP:0011491,phenotype_biologicalprocess,GO:0016310,-0.058029089123010635,-0.607891854730636,ACCEPT,Reduced number of corneal endothelial cells,phosphorylation,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,5359597,-0.5812133550643921,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,superoxide,[],False,False,False,False,,,
HP:0011491,phenotype_chemicalentity,5460593,-0.5493566393852234,-0.1369889979525682,REJECT,Reduced number of corneal endothelial cells,,[],False,False,False,False,,,
HP:0011491,phenotype_protein,Q5STF9,-0.17184410989284515,-0.3155417705896823,ACCEPT,Reduced number of corneal endothelial cells,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
Q8NG21,protein_pathway,R-HSA-9860927,-1.9914467334747314,-0.0332625891724323,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",[],False,False,False,False,,,
Q8NG21,protein_chemicalentity,145068,-1.9620957374572754,-0.1571110372511136,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},nitric oxide,[],False,False,False,False,,,
Q8NG21,protein_chemicalentity,3001380,-0.710661768913269,-0.1571110372511136,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},nitroxyl anion,[],False,False,False,False,,,
Q8NG21,protein_chemicalentity,6857661,-0.9859388470649719,-0.1571110372511136,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},N-oxonitrous amide,[],False,False,False,False,,,
Q8NG21,protein_chemicalentity,135482068,-0.9792027473449707,-0.1571110372511136,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},(Z)-diethylamino-hydroxyimino-oxidoazanium;N-ethylethanamine,[],False,False,False,False,,,
Q8NG21,protein_biologicalprocess,GO:0016310,-2.00679874420166,-0.5776643345681309,REJECT,Nitric oxide synthase 3 transcript variant eNOS-delta20 {ECO:0000313|EMBL:AFX88320.1},phosphorylation,[],False,False,False,False,,,
