head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
R-HSA-163200,pathway_gene,ATP5F1B,-0.3289593756198883,-0.0605865656309756,REJECT,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",ATP synthase F1 subunit beta,[],False,False,False,False,
ATP5F1B,gene_chemicalentity,5359597,-0.035587459802627563,-0.0285922419958417,REJECT,ATP synthase F1 subunit beta,superoxide,[],False,False,False,False,
ATP5F1B,gene_chemicalentity,14809,-0.014425382949411869,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit beta,hydrogen peroxide;zinc,[],False,False,False,False,
ATP5F1B,gene_chemicalentity,5460556,-0.028105001896619797,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit beta,,[],False,False,False,False,
ATP5F1B,gene_chemicalentity,9548897,-0.04124860465526581,-0.0285922419958417,REJECT,ATP synthase F1 subunit beta,,[],False,False,False,False,
ATP5F1B,gene_chemicalentity,5460593,-0.022437965497374535,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit beta,,[],False,False,False,False,
5359597,chemicalentity_pathway,R-HSA-163200,-0.12429755181074142,-0.3200630854546729,ACCEPT,superoxide,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,
5359597,chemicalentity_chemicalentity,14809,-0.12052535265684128,-0.2425281074611494,ACCEPT,superoxide,hydrogen peroxide;zinc,[],False,False,False,False,
5359597,chemicalentity_chemicalentity,5460556,-0.14922206103801727,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,
5359597,chemicalentity_chemicalentity,9548897,-0.17042967677116394,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,
5359597,chemicalentity_chemicalentity,5460593,-0.18592609465122223,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,
14809,chemicalentity_pathway,R-HSA-163200,-0.43563345074653625,-0.3200630854546729,REJECT,hydrogen peroxide;zinc,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,
14809,chemicalentity_chemicalentity,5460556,-0.4046822190284729,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,
14809,chemicalentity_chemicalentity,9548897,-0.3624131679534912,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,
14809,chemicalentity_chemicalentity,5460593,-0.578744113445282,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,
5460556,chemicalentity_pathway,R-HSA-163200,-0.7610129714012146,-0.3200630854546729,REJECT,,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,
5460556,chemicalentity_chemicalentity,9548897,-0.6305530071258545,-0.2425281074611494,REJECT,,,[],False,False,False,False,
5460556,chemicalentity_chemicalentity,5460593,-1.0793617963790894,-0.2425281074611494,REJECT,,,[],False,False,False,False,
9548897,chemicalentity_pathway,R-HSA-163200,-1.0614656209945679,-0.3200630854546729,REJECT,,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,
9548897,chemicalentity_chemicalentity,5460593,-1.3889758586883545,-0.2425281074611494,REJECT,,,[],False,False,False,False,
5460593,chemicalentity_pathway,R-HSA-163200,-0.3649093806743622,-0.3200630854546729,REJECT,,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,
