head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
A0A8V8TLW9,protein_chemicalentity,833,-0.5754398703575134,-0.1571110372511136,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},citrulline,[],False,False,False,False,
A0A8V8TLW9,protein_phenotype,HP:0031198,-0.494208961725235,-0.0497034494975703,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Renal tubular epithelial cell casts,[],False,False,False,False,
A0A8V8TLW9,protein_phenotype,HP:0032604,-0.6236708760261536,-0.0497034494975703,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Renal tubular epithelial cell mitosis,[],False,False,False,False,
A0A8V8TLW9,protein_phenotype,HP:0032607,-0.6964783072471619,-0.0497034494975703,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Renal tubular epithelial cell swelling,[],False,False,False,False,
A0A8V8TLW9,protein_phenotype,HP:0032597,-0.8859881162643433,-0.0497034494975703,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Renal tubular epithelial cell sloughing,[],False,False,False,False,
A0A8V8TLW9,protein_pathway,R-HSA-2559582,-0.9259452223777771,-0.0332625891724323,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,
A0A8V8TLW9,protein_pathway,R-MMU-2559582,-0.08314140886068344,-0.0332625891724323,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,
A0A8V8TLW9,protein_disease,C0011881,-0.8451060652732849,-0.1452060252739286,REJECT,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},Diabetic kidney disease,[],False,False,False,False,
NOS2,gene_protein,A0A8V8TLW9,-0.00015402694407384843,-0.0280984394514378,ACCEPT,nitric oxide synthase 2,Peptidyl-cysteine S-nitrosylase NOS2 {ECO:0000256|ARBA:ARBA00049812},[],False,False,False,False,
NOS2,gene_chemicalentity,833,-0.008393645286560059,-0.0285922419958417,ACCEPT,nitric oxide synthase 2,citrulline,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene
NOS2,gene_phenotype,HP:0031198,-0.02170698158442974,-0.0347684314162952,ACCEPT,nitric oxide synthase 2,Renal tubular epithelial cell casts,[],False,False,False,False,
NOS2,gene_phenotype,HP:0032604,-0.027474895119667053,-0.0347684314162952,ACCEPT,nitric oxide synthase 2,Renal tubular epithelial cell mitosis,[],False,False,False,False,
NOS2,gene_phenotype,HP:0032607,-0.019045259803533554,-0.0347684314162952,ACCEPT,nitric oxide synthase 2,Renal tubular epithelial cell swelling,[],False,False,False,False,
NOS2,gene_phenotype,HP:0032597,-0.011549348011612892,-0.0347684314162952,ACCEPT,nitric oxide synthase 2,Renal tubular epithelial cell sloughing,[],False,False,False,False,
