head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YMR169C,gene_molecularfunction,GO:0004029,-0.02072959579527378,-0.0286995250249342,ACCEPT,aldehyde dehydrogenase (NAD(+)) ALD3,aldehyde dehydrogenase (NAD+) activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
YMR169C,gene_phenotype,embryo phenotype,-0.05359640344977379,-0.0347684314162952,REJECT,aldehyde dehydrogenase (NAD(+)) ALD3,embryo phenotype,[],False,False,False,False,,,
YMR169C,gene_phenotype,muscle phenotype,-0.026633795350790024,-0.0347684314162952,ACCEPT,aldehyde dehydrogenase (NAD(+)) ALD3,muscle phenotype,[],False,False,False,False,,,
YMR169C,gene_phenotype,terminal phenotype,-0.07080624997615814,-0.0347684314162952,REJECT,aldehyde dehydrogenase (NAD(+)) ALD3,terminal phenotype,[],False,False,False,False,,,
YMR169C,gene_phenotype,skeleton phenotype,-0.03572065383195877,-0.0347684314162952,REJECT,aldehyde dehydrogenase (NAD(+)) ALD3,skeleton phenotype,[],False,False,False,False,,,
YMR169C,gene_phenotype,cellular phenotype,-0.02432543784379959,-0.0347684314162952,ACCEPT,aldehyde dehydrogenase (NAD(+)) ALD3,cellular phenotype,[],False,False,False,False,,,
YMR169C,gene_biologicalprocess,GO:0008152,-0.018780747428536415,-0.0356325677219588,ACCEPT,aldehyde dehydrogenase (NAD(+)) ALD3,metabolic process,[],False,False,False,False,,,
YMR169C,gene_promotes_biologicalprocess,GO:0008152,-0.30259162187576294,-0.0617563253450388,REJECT,aldehyde dehydrogenase (NAD(+)) ALD3,metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3834, 'gene_promotes_biologicalprocess': -0.3026, 'gene_negativelyassociatedwith_biologicalprocess': -0.4653, 'gene_positivelyassociatedwith_biologicalprocess': -0.3368, 'gene_notassociatedwith_biologicalprocess': -0.3894}"
GO:0004029,molecularfunction_biologicalprocess,GO:0008152,-0.001994083169847727,-0.0147993624499696,ACCEPT,aldehyde dehydrogenase (NAD+) activity,metabolic process,[],False,False,False,False,,,
embryo phenotype,phenotype_molecularfunction,GO:0004029,-0.2812434136867523,-0.4457983972888497,ACCEPT,embryo phenotype,aldehyde dehydrogenase (NAD+) activity,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,muscle phenotype,-2.5466511249542236,-0.150242852206178,REJECT,embryo phenotype,muscle phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,terminal phenotype,-1.143524169921875,-0.150242852206178,REJECT,embryo phenotype,terminal phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,skeleton phenotype,-2.262286424636841,-0.150242852206178,REJECT,embryo phenotype,skeleton phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,cellular phenotype,-1.927912950515747,-0.150242852206178,REJECT,embryo phenotype,cellular phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_biologicalprocess,GO:0008152,-0.5651592016220093,-0.607891854730636,ACCEPT,embryo phenotype,metabolic process,[],False,False,False,False,,,
muscle phenotype,phenotype_molecularfunction,GO:0004029,-0.33250272274017334,-0.4457983972888497,ACCEPT,muscle phenotype,aldehyde dehydrogenase (NAD+) activity,[],False,False,False,False,,,
muscle phenotype,phenotype_phenotype,terminal phenotype,-0.3060673773288727,-0.150242852206178,REJECT,muscle phenotype,terminal phenotype,[],False,False,False,False,,,
muscle phenotype,phenotype_phenotype,skeleton phenotype,-0.39636462926864624,-0.150242852206178,REJECT,muscle phenotype,skeleton phenotype,[],False,False,False,False,,,
muscle phenotype,phenotype_phenotype,cellular phenotype,-0.3275887668132782,-0.150242852206178,REJECT,muscle phenotype,cellular phenotype,[],False,False,False,False,,,
muscle phenotype,phenotype_biologicalprocess,GO:0008152,-0.11327172815799713,-0.607891854730636,ACCEPT,muscle phenotype,metabolic process,[],False,False,False,False,,,
terminal phenotype,phenotype_molecularfunction,GO:0004029,-0.38781246542930603,-0.4457983972888497,ACCEPT,terminal phenotype,aldehyde dehydrogenase (NAD+) activity,[],False,False,False,False,,,
terminal phenotype,phenotype_phenotype,skeleton phenotype,-2.512457847595215,-0.150242852206178,REJECT,terminal phenotype,skeleton phenotype,[],False,False,False,False,,,
terminal phenotype,phenotype_phenotype,cellular phenotype,-2.0944302082061768,-0.150242852206178,REJECT,terminal phenotype,cellular phenotype,[],False,False,False,False,,,
terminal phenotype,phenotype_biologicalprocess,GO:0008152,-1.0228350162506104,-0.607891854730636,REJECT,terminal phenotype,metabolic process,[],False,False,False,False,,,
skeleton phenotype,phenotype_molecularfunction,GO:0004029,-0.3216237723827362,-0.4457983972888497,ACCEPT,skeleton phenotype,aldehyde dehydrogenase (NAD+) activity,[],False,False,False,False,,,
skeleton phenotype,phenotype_phenotype,cellular phenotype,-0.6975116729736328,-0.150242852206178,REJECT,skeleton phenotype,cellular phenotype,[],False,False,False,False,,,
skeleton phenotype,phenotype_biologicalprocess,GO:0008152,-0.1664954572916031,-0.607891854730636,ACCEPT,skeleton phenotype,metabolic process,[],False,False,False,False,,,
cellular phenotype,phenotype_molecularfunction,GO:0004029,-0.39220893383026123,-0.4457983972888497,ACCEPT,cellular phenotype,aldehyde dehydrogenase (NAD+) activity,[],False,False,False,False,,,
cellular phenotype,phenotype_biologicalprocess,GO:0008152,-0.7329725623130798,-0.607891854730636,REJECT,cellular phenotype,metabolic process,[],False,False,False,False,,,
