head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
AAC3,gene_protein,P14197,-3.0593955516815186,-0.0280984394514378,REJECT,ADP/ATP carrier protein AAC3,WD repeat-containing protein AAC3,[],False,False,False,False,,,
AAC3,gene_chemicalentity,5957,-6.848529815673828,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,ATP,[],False,False,False,False,,,
AAC3,gene_chemicalentity,5461108,-5.639251708984375,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,ATP(4-),[],False,False,False,False,,,
AAC3,gene_chemicalentity,5486828,-4.974684238433838,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,[],False,False,False,False,,,
AAC3,gene_chemicalentity,65128,-3.2968719005584717,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,"[[(2R,3S,4S,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",[],False,False,False,False,,,
AAC3,gene_chemicalentity,440317,-7.041779041290283,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] dihydroxyphosphinothioyl hydrogen phosphate",[],False,False,False,False,,,
AAC3,gene_chemicalentity,5359597,-4.2595295906066895,-0.0285922419958417,REJECT,ADP/ATP carrier protein AAC3,superoxide,[],False,False,False,False,,,
AAC3,gene_biologicalprocess,GO:0071502,-3.469196319580078,-0.0356325677219588,REJECT,ADP/ATP carrier protein AAC3,cellular response to temperature stimulus,[],False,False,False,False,,,
AAC3,gene_positivelyassociatedwith_biologicalprocess,GO:0071502,-1.482919454574585,-0.0730086550790463,REJECT,ADP/ATP carrier protein AAC3,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.8732, 'gene_promotes_biologicalprocess': -2.1124, 'gene_negativelyassociatedwith_biologicalprocess': -2.0588, 'gene_positivelyassociatedwith_biologicalprocess': -1.4829, 'gene_notassociatedwith_biologicalprocess': -2.3194}"
P14197,protein_chemicalentity,5957,-0.4427505433559418,-0.1571110372511136,REJECT,WD repeat-containing protein AAC3,ATP,[],False,False,False,False,,,
