head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YMR083W,gene_cellularcomponent,GO:0005759,-0.008823994547128677,-0.0358198597771757,ACCEPT,alcohol dehydrogenase ADH3,mitochondrial matrix,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
YMR083W,gene_cellularcomponent,GO:0031966,-0.008157731965184212,-0.0358198597771757,ACCEPT,alcohol dehydrogenase ADH3,mitochondrial membrane,[],False,False,False,False,,,
YMR083W,gene_cellularcomponent,GO:0005740,-0.008808132261037827,-0.0358198597771757,ACCEPT,alcohol dehydrogenase ADH3,mitochondrial envelope,[],False,False,False,False,,,
YMR083W,gene_chemicalentity,5957,-0.03479332476854324,-0.0285922419958417,REJECT,alcohol dehydrogenase ADH3,ATP,[],False,False,False,False,,,
YMR083W,gene_chemicalentity,5461108,-0.018612058833241463,-0.0285922419958417,ACCEPT,alcohol dehydrogenase ADH3,ATP(4-),[],False,False,False,False,,,
YMR083W,gene_biologicalprocess,GO:0010286,-0.03856062889099121,-0.0356325677219588,REJECT,alcohol dehydrogenase ADH3,heat acclimation,[],False,False,False,False,,,
YMR083W,gene_inhibits_biologicalprocess,GO:0010286,-0.30802950263023376,-0.0559618705714699,REJECT,alcohol dehydrogenase ADH3,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.308, 'gene_promotes_biologicalprocess': -0.3736, 'gene_negativelyassociatedwith_biologicalprocess': -0.4591, 'gene_positivelyassociatedwith_biologicalprocess': -0.341, 'gene_notassociatedwith_biologicalprocess': -0.3843}"
YMR083W,gene_biologicalprocess,GO:0070370,-0.03259721398353577,-0.0356325677219588,ACCEPT,alcohol dehydrogenase ADH3,cellular heat acclimation,[],False,False,False,False,,,
YMR083W,gene_promotes_biologicalprocess,GO:0070370,-0.3405197262763977,-0.0617563253450388,REJECT,alcohol dehydrogenase ADH3,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3405, 'gene_promotes_biologicalprocess': -0.3405, 'gene_negativelyassociatedwith_biologicalprocess': -0.4709, 'gene_positivelyassociatedwith_biologicalprocess': -0.404, 'gene_notassociatedwith_biologicalprocess': -0.39}"
YMR083W,gene_phenotype,MP:0014244,-0.045781802386045456,-0.0347684314162952,REJECT,alcohol dehydrogenase ADH3,abnormal cellular ATP level,[],False,False,False,False,,,
YMR083W,gene_biologicalprocess,GO:0009266,-0.028821632266044617,-0.0356325677219588,ACCEPT,alcohol dehydrogenase ADH3,response to temperature stimulus,[],False,False,False,False,,,
YMR083W,gene_inhibits_biologicalprocess,GO:0009266,-0.13396023213863373,-0.0559618705714699,REJECT,alcohol dehydrogenase ADH3,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.134, 'gene_promotes_biologicalprocess': -0.176, 'gene_negativelyassociatedwith_biologicalprocess': -0.3654, 'gene_positivelyassociatedwith_biologicalprocess': -0.2174, 'gene_notassociatedwith_biologicalprocess': -0.3374}"
YMR083W,gene_biologicalprocess,GO:0071502,-0.03038933128118515,-0.0356325677219588,ACCEPT,alcohol dehydrogenase ADH3,cellular response to temperature stimulus,[],False,False,False,False,,,
YMR083W,gene_promotes_biologicalprocess,GO:0071502,-0.13433031737804413,-0.0617563253450388,REJECT,alcohol dehydrogenase ADH3,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1425, 'gene_promotes_biologicalprocess': -0.1343, 'gene_negativelyassociatedwith_biologicalprocess': -0.2131, 'gene_positivelyassociatedwith_biologicalprocess': -0.1875, 'gene_notassociatedwith_biologicalprocess': -0.2507}"
YMR083W,gene_biologicalprocess,GO:0033636,-0.16504712402820587,-0.0356325677219588,REJECT,alcohol dehydrogenase ADH3,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
YMR083W,gene_positivelyassociatedwith_biologicalprocess,GO:0033636,-0.43429771065711975,-0.0730086550790463,REJECT,alcohol dehydrogenase ADH3,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.484, 'gene_promotes_biologicalprocess': -0.4704, 'gene_negativelyassociatedwith_biologicalprocess': -0.4606, 'gene_positivelyassociatedwith_biologicalprocess': -0.4343, 'gene_notassociatedwith_biologicalprocess': -0.5714}"
GO:0005759,cellularcomponent_cellularcomponent,GO:0031966,-2.3375783086976298e-07,-0.0349261329401597,ACCEPT,mitochondrial matrix,mitochondrial membrane,[],False,False,False,False,,,
GO:0005759,cellularcomponent_cellularcomponent,GO:0005740,-2.6875741809817555e-07,-0.0349261329401597,ACCEPT,mitochondrial matrix,mitochondrial envelope,[],False,False,False,False,,,
GO:0005759,cellularcomponent_chemicalentity,5957,-0.2943098545074463,-0.1936719522778712,REJECT,mitochondrial matrix,ATP,[],False,False,False,False,,,
GO:0005759,cellularcomponent_chemicalentity,5461108,-0.03348400071263313,-0.1936719522778712,ACCEPT,mitochondrial matrix,ATP(4-),[],False,False,False,False,,,
GO:0031966,cellularcomponent_cellularcomponent,GO:0005740,-1.0358528470533201e-06,-0.0349261329401597,ACCEPT,mitochondrial membrane,mitochondrial envelope,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent,,
GO:0031966,cellularcomponent_chemicalentity,5957,-0.3177037239074707,-0.1936719522778712,REJECT,mitochondrial membrane,ATP,[],False,False,False,False,,,
GO:0031966,cellularcomponent_chemicalentity,5461108,-0.033161766827106476,-0.1936719522778712,ACCEPT,mitochondrial membrane,ATP(4-),[],False,False,False,False,,,
GO:0005740,cellularcomponent_chemicalentity,5957,-0.3018283545970917,-0.1936719522778712,REJECT,mitochondrial envelope,ATP,[],False,False,False,False,,,
GO:0005740,cellularcomponent_chemicalentity,5461108,-0.03028624691069126,-0.1936719522778712,ACCEPT,mitochondrial envelope,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,5461108,-0.016916025429964066,-0.2425281074611494,ACCEPT,ATP,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_biologicalprocess,GO:0010286,-0.029162496328353882,-0.232143107153421,ACCEPT,ATP,heat acclimation,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:0010286,-0.09521619975566864,-0.7050372264239742,ACCEPT,ATP,heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1839, 'chemicalentity_noeffect_biologicalprocess': -1.1719, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4067, 'chemicalentity_promotes_biologicalprocess': -0.236, 'chemicalentity_inhibits_biologicalprocess': -0.0952, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2958}"
5957,chemicalentity_biologicalprocess,GO:0070370,-0.016040006652474403,-0.232143107153421,ACCEPT,ATP,cellular heat acclimation,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.12818484008312225,-0.7050372264239742,ACCEPT,ATP,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2649, 'chemicalentity_noeffect_biologicalprocess': -0.9833, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4294, 'chemicalentity_promotes_biologicalprocess': -0.3409, 'chemicalentity_inhibits_biologicalprocess': -0.1282, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3861}"
5957,chemicalentity_biologicalprocess,GO:0009266,-0.010700790211558342,-0.232143107153421,ACCEPT,ATP,response to temperature stimulus,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009266,-0.07170549780130386,-0.596142909254255,ACCEPT,ATP,response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0717, 'chemicalentity_noeffect_biologicalprocess': -1.2549, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2014, 'chemicalentity_promotes_biologicalprocess': -0.3183, 'chemicalentity_inhibits_biologicalprocess': -0.0779, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1203}"
5957,chemicalentity_biologicalprocess,GO:0071502,-0.012440994381904602,-0.232143107153421,ACCEPT,ATP,cellular response to temperature stimulus,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0071502,-0.10959354043006897,-0.596142909254255,ACCEPT,ATP,cellular response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1096, 'chemicalentity_noeffect_biologicalprocess': -1.4615, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1625, 'chemicalentity_promotes_biologicalprocess': -0.4626, 'chemicalentity_inhibits_biologicalprocess': -0.179, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1359}"
5957,chemicalentity_biologicalprocess,GO:0033636,-0.11347836256027222,-0.232143107153421,ACCEPT,ATP,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:0033636,-0.3818710446357727,-0.7050372264239742,ACCEPT,ATP,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4388, 'chemicalentity_noeffect_biologicalprocess': -0.8698, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5493, 'chemicalentity_promotes_biologicalprocess': -0.6716, 'chemicalentity_inhibits_biologicalprocess': -0.3819, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.439}"
5461108,chemicalentity_biologicalprocess,GO:0010286,-0.5429723858833313,-0.232143107153421,REJECT,ATP(4-),heat acclimation,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010286,-0.6647204160690308,-0.596142909254255,REJECT,ATP(4-),heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6647, 'chemicalentity_noeffect_biologicalprocess': -2.2434, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2483, 'chemicalentity_promotes_biologicalprocess': -0.8804, 'chemicalentity_inhibits_biologicalprocess': -0.6929, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9006}"
5461108,chemicalentity_biologicalprocess,GO:0070370,-0.31441935896873474,-0.232143107153421,REJECT,ATP(4-),cellular heat acclimation,[],False,False,False,False,,,
5461108,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.7348363399505615,-0.7050372264239742,REJECT,ATP(4-),cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7532, 'chemicalentity_noeffect_biologicalprocess': -1.9035, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9946, 'chemicalentity_promotes_biologicalprocess': -1.0736, 'chemicalentity_inhibits_biologicalprocess': -0.7348, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.87}"
5461108,chemicalentity_biologicalprocess,GO:0009266,-0.36725834012031555,-0.232143107153421,REJECT,ATP(4-),response to temperature stimulus,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009266,-0.4919776916503906,-0.596142909254255,ACCEPT,ATP(4-),response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.492, 'chemicalentity_noeffect_biologicalprocess': -2.4388, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8636, 'chemicalentity_promotes_biologicalprocess': -1.2563, 'chemicalentity_inhibits_biologicalprocess': -0.7351, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6099}"
5461108,chemicalentity_biologicalprocess,GO:0071502,-0.18577216565608978,-0.232143107153421,ACCEPT,ATP(4-),cellular response to temperature stimulus,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0071502,-0.32966092228889465,-0.596142909254255,ACCEPT,ATP(4-),cellular response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3297, 'chemicalentity_noeffect_biologicalprocess': -2.4395, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5239, 'chemicalentity_promotes_biologicalprocess': -1.2566, 'chemicalentity_inhibits_biologicalprocess': -0.7947, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3787}"
5461108,chemicalentity_biologicalprocess,GO:0033636,-0.3970158100128174,-0.232143107153421,REJECT,ATP(4-),obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
5461108,chemicalentity_notassociatedwith_biologicalprocess,GO:0033636,-0.7004972100257874,-0.6726369886875827,REJECT,ATP(4-),obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8189, 'chemicalentity_noeffect_biologicalprocess': -1.4965, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7005, 'chemicalentity_promotes_biologicalprocess': -1.2859, 'chemicalentity_inhibits_biologicalprocess': -1.1198, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7688}"
GO:0010286,biologicalprocess_cellularcomponent,GO:0005759,-0.003915085922926664,-0.3461928175792534,ACCEPT,heat acclimation,mitochondrial matrix,[],False,False,False,False,,,
GO:0010286,biologicalprocess_cellularcomponent,GO:0031966,-0.005082071293145418,-0.3461928175792534,ACCEPT,heat acclimation,mitochondrial membrane,[],False,False,False,False,,,
GO:0010286,biologicalprocess_cellularcomponent,GO:0005740,-0.004907059948891401,-0.3461928175792534,ACCEPT,heat acclimation,mitochondrial envelope,[],False,False,False,False,,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0070370,-0.07091905921697617,-0.0422867482620858,REJECT,heat acclimation,cellular heat acclimation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0009266,-0.029399370774626732,-0.0422867482620858,ACCEPT,heat acclimation,response to temperature stimulus,[],False,False,False,False,,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0071502,-0.08984117954969406,-0.0422867482620858,REJECT,heat acclimation,cellular response to temperature stimulus,[],False,False,False,False,,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0033636,-0.16235986351966858,-0.0422867482620858,REJECT,heat acclimation,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
GO:0070370,biologicalprocess_cellularcomponent,GO:0005759,-0.0015465549658983946,-0.3461928175792534,ACCEPT,cellular heat acclimation,mitochondrial matrix,[],False,False,False,False,,,
GO:0070370,biologicalprocess_cellularcomponent,GO:0031966,-0.0019067070679739118,-0.3461928175792534,ACCEPT,cellular heat acclimation,mitochondrial membrane,[],False,False,False,False,,,
GO:0070370,biologicalprocess_cellularcomponent,GO:0005740,-0.001869451836682856,-0.3461928175792534,ACCEPT,cellular heat acclimation,mitochondrial envelope,[],False,False,False,False,,,
GO:0070370,biologicalprocess_biologicalprocess,GO:0009266,-0.012537522241473198,-0.0422867482620858,ACCEPT,cellular heat acclimation,response to temperature stimulus,[],False,False,False,False,,,
GO:0070370,biologicalprocess_biologicalprocess,GO:0071502,-0.044697608798742294,-0.0422867482620858,REJECT,cellular heat acclimation,cellular response to temperature stimulus,[],False,False,False,False,,,
