head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YML106W,gene_protein,Q8YSY4,-0.11935385316610336,-0.0280984394514378,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_protein,O13474,-0.1493469923734665,-0.0280984394514378,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_protein,O94331,-0.2991603910923004,-0.0280984394514378,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_protein,P0CS95,-0.16371797025203705,-0.0280984394514378,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_protein,Q1DNB0,-0.19922961294651031,-0.0280984394514378,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_gene,R12E2.11,-0.43072500824928284,-0.071739344080056,REJECT,orotate phosphoribosyltransferase URA5,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
YML106W,gene_gene,YMR271C,-0.2489066869020462,-0.071739344080056,REJECT,orotate phosphoribosyltransferase URA5,orotate phosphoribosyltransferase URA10,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YML106W,gene_phenotype,embryo phenotype,-0.20584462583065033,-0.0347684314162952,REJECT,orotate phosphoribosyltransferase URA5,embryo phenotype,[],False,False,False,False,,,
YML106W,gene_phenotype,muscle phenotype,-0.15167146921157837,-0.0347684314162952,REJECT,orotate phosphoribosyltransferase URA5,muscle phenotype,[],False,False,False,False,,,
YML106W,gene_phenotype,terminal phenotype,-0.23011350631713867,-0.0347684314162952,REJECT,orotate phosphoribosyltransferase URA5,terminal phenotype,[],False,False,False,False,,,
YML106W,gene_phenotype,skeleton phenotype,-0.17380526661872864,-0.0347684314162952,REJECT,orotate phosphoribosyltransferase URA5,skeleton phenotype,[],False,False,False,False,,,
YML106W,gene_biologicalprocess,GO:0009266,-0.14390085637569427,-0.0356325677219588,REJECT,orotate phosphoribosyltransferase URA5,response to temperature stimulus,[],False,False,False,False,,,
YML106W,gene_positivelyassociatedwith_biologicalprocess,GO:0009266,-0.39782026410102844,-0.0730086550790463,REJECT,orotate phosphoribosyltransferase URA5,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5054, 'gene_promotes_biologicalprocess': -0.4912, 'gene_negativelyassociatedwith_biologicalprocess': -0.6191, 'gene_positivelyassociatedwith_biologicalprocess': -0.3978, 'gene_notassociatedwith_biologicalprocess': -0.7569}"
YML106W,gene_biologicalprocess,GO:0071502,-0.11879823356866837,-0.0356325677219588,REJECT,orotate phosphoribosyltransferase URA5,cellular response to temperature stimulus,[],False,False,False,False,,,
YML106W,gene_positivelyassociatedwith_biologicalprocess,GO:0071502,-0.34447070956230164,-0.0730086550790463,REJECT,orotate phosphoribosyltransferase URA5,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4187, 'gene_promotes_biologicalprocess': -0.3606, 'gene_negativelyassociatedwith_biologicalprocess': -0.3872, 'gene_positivelyassociatedwith_biologicalprocess': -0.3445, 'gene_notassociatedwith_biologicalprocess': -0.6408}"
Q8YSY4,protein_protein,O13474,-0.6793258190155029,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
Q8YSY4,protein_protein,O94331,-0.7746222019195557,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
Q8YSY4,protein_protein,P0CS95,-0.6803774833679199,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
Q8YSY4,protein_protein,Q1DNB0,-0.5603214502334595,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
Q8YSY4,protein_phenotype,embryo phenotype,-1.1766343116760254,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
Q8YSY4,protein_phenotype,muscle phenotype,-0.9510239362716675,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
Q8YSY4,protein_phenotype,terminal phenotype,-1.1489856243133545,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
Q8YSY4,protein_phenotype,skeleton phenotype,-0.8931941986083984,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,skeleton phenotype,[],False,False,False,False,,,
Q8YSY4,protein_biologicalprocess,GO:0009266,-0.14270809292793274,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,response to temperature stimulus,[],False,False,False,False,,,
Q8YSY4,protein_biologicalprocess,GO:0071502,-0.24065972864627838,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,cellular response to temperature stimulus,[],False,False,False,False,,,
O13474,protein_protein,O94331,-0.8154361248016357,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
O13474,protein_protein,P0CS95,-0.7699432969093323,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
O13474,protein_protein,Q1DNB0,-0.6524945497512817,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
O13474,protein_phenotype,embryo phenotype,-1.007110357284546,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
O13474,protein_phenotype,muscle phenotype,-0.8122415542602539,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
O13474,protein_phenotype,terminal phenotype,-1.1088725328445435,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
O13474,protein_phenotype,skeleton phenotype,-0.8395391702651978,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,skeleton phenotype,[],False,False,False,False,,,
O13474,protein_biologicalprocess,GO:0009266,-0.22116662561893463,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,response to temperature stimulus,[],False,False,False,False,,,
O13474,protein_biologicalprocess,GO:0071502,-0.32795974612236023,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,cellular response to temperature stimulus,[],False,False,False,False,,,
O94331,protein_protein,P0CS95,-0.7583177089691162,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
O94331,protein_protein,Q1DNB0,-0.6740498542785645,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
O94331,protein_phenotype,embryo phenotype,-1.01784348487854,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
O94331,protein_phenotype,muscle phenotype,-0.9592999219894409,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
O94331,protein_phenotype,terminal phenotype,-1.0682233572006226,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
O94331,protein_phenotype,skeleton phenotype,-0.9830237627029419,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,skeleton phenotype,[],False,False,False,False,,,
O94331,protein_biologicalprocess,GO:0009266,-0.6528964638710022,-0.5776643345681309,REJECT,Orotate phosphoribosyltransferase,response to temperature stimulus,[],False,False,False,False,,,
O94331,protein_biologicalprocess,GO:0071502,-0.6953049898147583,-0.5776643345681309,REJECT,Orotate phosphoribosyltransferase,cellular response to temperature stimulus,[],False,False,False,False,,,
P0CS95,protein_protein,Q1DNB0,-0.6730028986930847,-0.2036837140803804,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
P0CS95,protein_phenotype,embryo phenotype,-1.2546663284301758,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
P0CS95,protein_phenotype,muscle phenotype,-1.0596809387207031,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
P0CS95,protein_phenotype,terminal phenotype,-1.2297736406326294,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
P0CS95,protein_phenotype,skeleton phenotype,-1.0805599689483643,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,skeleton phenotype,[],False,False,False,False,,,
P0CS95,protein_biologicalprocess,GO:0009266,-0.4808541536331177,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,response to temperature stimulus,[],False,False,False,False,,,
P0CS95,protein_biologicalprocess,GO:0071502,-0.5817181468009949,-0.5776643345681309,REJECT,Orotate phosphoribosyltransferase,cellular response to temperature stimulus,[],False,False,False,False,,,
Q1DNB0,protein_phenotype,embryo phenotype,-1.0622323751449585,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
Q1DNB0,protein_phenotype,muscle phenotype,-1.0104999542236328,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
Q1DNB0,protein_phenotype,terminal phenotype,-1.1711552143096924,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
Q1DNB0,protein_phenotype,skeleton phenotype,-0.9468600749969482,-0.0497034494975703,REJECT,Orotate phosphoribosyltransferase,skeleton phenotype,[],False,False,False,False,,,
Q1DNB0,protein_biologicalprocess,GO:0009266,-0.36119699478149414,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,response to temperature stimulus,[],False,False,False,False,,,
Q1DNB0,protein_biologicalprocess,GO:0071502,-0.47612565755844116,-0.5776643345681309,ACCEPT,Orotate phosphoribosyltransferase,cellular response to temperature stimulus,[],False,False,False,False,,,
R12E2.11,gene_protein,Q8YSY4,-0.7015453577041626,-0.0280984394514378,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
R12E2.11,gene_protein,O13474,-0.513761043548584,-0.0280984394514378,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
R12E2.11,gene_protein,O94331,-0.6468459367752075,-0.0280984394514378,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
R12E2.11,gene_protein,P0CS95,-0.626367449760437,-0.0280984394514378,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
R12E2.11,gene_protein,Q1DNB0,-0.7064597606658936,-0.0280984394514378,REJECT,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,[],False,False,False,False,,,
R12E2.11,gene_gene,YMR271C,-1.5953078269958496,-0.071739344080056,REJECT,Orotate phosphoribosyltransferase,orotate phosphoribosyltransferase URA10,[],False,False,False,False,,,
R12E2.11,gene_phenotype,embryo phenotype,-0.7387974262237549,-0.0347684314162952,REJECT,Orotate phosphoribosyltransferase,embryo phenotype,[],False,False,False,False,,,
R12E2.11,gene_phenotype,muscle phenotype,-0.8480919599533081,-0.0347684314162952,REJECT,Orotate phosphoribosyltransferase,muscle phenotype,[],False,False,False,False,,,
R12E2.11,gene_phenotype,terminal phenotype,-0.6687966585159302,-0.0347684314162952,REJECT,Orotate phosphoribosyltransferase,terminal phenotype,[],False,False,False,False,,,
