head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q12674,protein_cellularcomponent,GO:0005802,-1.8221478462219238,-0.143767219171222,REJECT,Probable phospholipid-transporting ATPase DNF3,trans-Golgi network,['Protein_CellularComponent'],False,True,True,False,Protein_CellularComponent,,
Q12674,protein_cellularcomponent,GO:0032588,-1.491002082824707,-0.143767219171222,REJECT,Probable phospholipid-transporting ATPase DNF3,trans-Golgi network membrane,[],False,False,False,False,,,
Q12674,protein_biologicalprocess,GO:0051673,-0.42007386684417725,-0.5776643345681309,ACCEPT,Probable phospholipid-transporting ATPase DNF3,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
Q12674,protein_biologicalprocess,GO:0030258,-0.4109119474887848,-0.5776643345681309,ACCEPT,Probable phospholipid-transporting ATPase DNF3,lipid modification,[],False,False,False,False,,,
Q12674,protein_biologicalprocess,GO:0009266,-0.43662339448928833,-0.5776643345681309,ACCEPT,Probable phospholipid-transporting ATPase DNF3,response to temperature stimulus,[],False,False,False,False,,,
Q12674,protein_biologicalprocess,GO:0071502,-0.5284872055053711,-0.5776643345681309,ACCEPT,Probable phospholipid-transporting ATPase DNF3,cellular response to temperature stimulus,[],False,False,False,False,,,
YMR162C,gene_protein,Q12674,-0.14872945845127106,-0.0280984394514378,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,Probable phospholipid-transporting ATPase DNF3,[],False,False,False,False,,,
YMR162C,gene_cellularcomponent,GO:0005802,-0.024929575622081757,-0.0358198597771757,ACCEPT,aminophospholipid-translocating P4-type ATPase DNF3,trans-Golgi network,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
YMR162C,gene_cellularcomponent,GO:0032588,-0.037907347083091736,-0.0358198597771757,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,trans-Golgi network membrane,[],False,False,False,False,,,
YMR162C,gene_biologicalprocess,GO:0051673,-0.08835787326097488,-0.0356325677219588,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
YMR162C,gene_positivelyassociatedwith_biologicalprocess,GO:0051673,-0.3414795398712158,-0.0730086550790463,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4655, 'gene_promotes_biologicalprocess': -0.4233, 'gene_negativelyassociatedwith_biologicalprocess': -0.3755, 'gene_positivelyassociatedwith_biologicalprocess': -0.3415, 'gene_notassociatedwith_biologicalprocess': -0.4865}"
YMR162C,gene_biologicalprocess,GO:0030258,-0.07718505710363388,-0.0356325677219588,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,lipid modification,[],False,False,False,False,,,
YMR162C,gene_promotes_biologicalprocess,GO:0030258,-0.38982582092285156,-0.0617563253450388,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,lipid modification,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4352, 'gene_promotes_biologicalprocess': -0.3898, 'gene_negativelyassociatedwith_biologicalprocess': -0.5798, 'gene_positivelyassociatedwith_biologicalprocess': -0.511, 'gene_notassociatedwith_biologicalprocess': -0.6456}"
YMR162C,gene_biologicalprocess,GO:0009266,-0.0713704526424408,-0.0356325677219588,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,response to temperature stimulus,[],False,False,False,False,,,
YMR162C,gene_inhibits_biologicalprocess,GO:0009266,-0.28069868683815,-0.0559618705714699,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2807, 'gene_promotes_biologicalprocess': -0.2947, 'gene_negativelyassociatedwith_biologicalprocess': -0.4531, 'gene_positivelyassociatedwith_biologicalprocess': -0.3009, 'gene_notassociatedwith_biologicalprocess': -0.3958}"
YMR162C,gene_biologicalprocess,GO:0071502,-0.06697123497724533,-0.0356325677219588,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,cellular response to temperature stimulus,[],False,False,False,False,,,
YMR162C,gene_promotes_biologicalprocess,GO:0071502,-0.22841499745845795,-0.0617563253450388,REJECT,aminophospholipid-translocating P4-type ATPase DNF3,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2603, 'gene_promotes_biologicalprocess': -0.2284, 'gene_negativelyassociatedwith_biologicalprocess': -0.2774, 'gene_positivelyassociatedwith_biologicalprocess': -0.2601, 'gene_notassociatedwith_biologicalprocess': -0.3961}"
GO:0005802,cellularcomponent_cellularcomponent,GO:0032588,-5.403474460763391e-06,-0.0349261329401597,ACCEPT,trans-Golgi network,trans-Golgi network membrane,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent,,
GO:0051673,biologicalprocess_cellularcomponent,GO:0005802,-0.0024846631567925215,-0.3461928175792534,ACCEPT,disruption of plasma membrane integrity in another organism,trans-Golgi network,[],False,False,False,False,,,
GO:0051673,biologicalprocess_cellularcomponent,GO:0032588,-0.005672411527484655,-0.3461928175792534,ACCEPT,disruption of plasma membrane integrity in another organism,trans-Golgi network membrane,[],False,False,False,False,,,
GO:0051673,biologicalprocess_biologicalprocess,GO:0030258,-0.0065250215120613575,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,lipid modification,[],False,False,False,False,,,
GO:0051673,biologicalprocess_biologicalprocess,GO:0009266,-0.00626877136528492,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,response to temperature stimulus,[],False,False,False,False,,,
GO:0051673,biologicalprocess_biologicalprocess,GO:0071502,-0.025339771062135696,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,cellular response to temperature stimulus,[],False,False,False,False,,,
GO:0030258,biologicalprocess_cellularcomponent,GO:0005802,-0.0008437306969426572,-0.3461928175792534,ACCEPT,lipid modification,trans-Golgi network,[],False,False,False,False,,,
GO:0030258,biologicalprocess_cellularcomponent,GO:0032588,-0.002248317003250122,-0.3461928175792534,ACCEPT,lipid modification,trans-Golgi network membrane,[],False,False,False,False,,,
GO:0030258,biologicalprocess_biologicalprocess,GO:0009266,-0.001588007784448564,-0.0422867482620858,ACCEPT,lipid modification,response to temperature stimulus,[],False,False,False,False,,,
GO:0030258,biologicalprocess_biologicalprocess,GO:0071502,-0.009524459950625896,-0.0422867482620858,ACCEPT,lipid modification,cellular response to temperature stimulus,[],False,False,False,False,,,
GO:0009266,biologicalprocess_cellularcomponent,GO:0005802,-0.0009745528805069625,-0.3461928175792534,ACCEPT,response to temperature stimulus,trans-Golgi network,[],False,False,False,False,,,
GO:0009266,biologicalprocess_cellularcomponent,GO:0032588,-0.003091100137680769,-0.3461928175792534,ACCEPT,response to temperature stimulus,trans-Golgi network membrane,[],False,False,False,False,,,
GO:0009266,biologicalprocess_biologicalprocess,GO:0071502,-0.017698802053928375,-0.0422867482620858,ACCEPT,response to temperature stimulus,cellular response to temperature stimulus,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0071502,biologicalprocess_cellularcomponent,GO:0005802,-0.003933026921004057,-0.3461928175792534,ACCEPT,cellular response to temperature stimulus,trans-Golgi network,[],False,False,False,False,,,
GO:0071502,biologicalprocess_cellularcomponent,GO:0032588,-0.009778343141078949,-0.3461928175792534,ACCEPT,cellular response to temperature stimulus,trans-Golgi network membrane,[],False,False,False,False,,,
