head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P33520,protein_molecularfunction,GO:0047279,-0.27810099720954895,-0.5690634813738988,ACCEPT,Cell division cycle-related protein res1/sct1,sn-glycerol-3-phosphate 1-galactosyltransferase activity,[],False,False,False,False,
P33520,protein_molecularfunction,GO:1902516,-0.7158110737800598,-0.5690634813738988,REJECT,Cell division cycle-related protein res1/sct1,sn-glycerol 3-phosphate binding,[],False,False,False,False,
P33520,protein_molecularfunction,GO:0043772,-0.6398139595985413,-0.5690634813738988,REJECT,Cell division cycle-related protein res1/sct1,acyl-phosphate glycerol-3-phosphate acyltransferase activity,[],False,False,False,False,
P33520,protein_molecularfunction,GO:0004366,-0.08582372963428497,-0.5690634813738988,ACCEPT,Cell division cycle-related protein res1/sct1,glycerol-3-phosphate O-acyltransferase activity,[],False,False,False,False,
P33520,protein_molecularfunction,GO:0090447,-0.3893442451953888,-0.5690634813738988,ACCEPT,Cell division cycle-related protein res1/sct1,glycerol-3-phosphate 2-O-acyltransferase activity,[],False,False,False,False,
P33520,protein_phenotype,WBPhenotype:0002484,-0.6002543568611145,-0.0497034494975703,REJECT,Cell division cycle-related protein res1/sct1,membrane fluidity variant,[],False,False,False,False,
P33520,protein_phenotype,WBPhenotype:0002361,-0.5142304301261902,-0.0497034494975703,REJECT,Cell division cycle-related protein res1/sct1,membrane fluidity increased,[],False,False,False,False,
P33520,protein_phenotype,abnormal survival,-0.4108763635158539,-0.0497034494975703,REJECT,Cell division cycle-related protein res1/sct1,abnormal survival,[],False,False,False,False,
YBL011W,gene_protein,P33520,-0.01283804327249527,-0.0280984394514378,ACCEPT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,Cell division cycle-related protein res1/sct1,[],False,False,False,False,
YBL011W,gene_molecularfunction,GO:0047279,-0.027030618861317635,-0.0286995250249342,ACCEPT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,sn-glycerol-3-phosphate 1-galactosyltransferase activity,[],False,False,False,False,
YBL011W,gene_molecularfunction,GO:1902516,-0.09054484218358994,-0.0286995250249342,REJECT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,sn-glycerol 3-phosphate binding,[],False,False,False,False,
YBL011W,gene_molecularfunction,GO:0043772,-0.09473133087158203,-0.0286995250249342,REJECT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,acyl-phosphate glycerol-3-phosphate acyltransferase activity,[],False,False,False,False,
YBL011W,gene_molecularfunction,GO:0004366,-0.005163285415619612,-0.0286995250249342,ACCEPT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,glycerol-3-phosphate O-acyltransferase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction
YBL011W,gene_molecularfunction,GO:0090447,-0.05090702697634697,-0.0286995250249342,REJECT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,glycerol-3-phosphate 2-O-acyltransferase activity,[],False,False,False,False,
YBL011W,gene_phenotype,WBPhenotype:0002484,-0.03334973379969597,-0.0347684314162952,ACCEPT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,membrane fluidity variant,[],False,False,False,False,
YBL011W,gene_phenotype,WBPhenotype:0002361,-0.051224853843450546,-0.0347684314162952,REJECT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,membrane fluidity increased,[],False,False,False,False,
YBL011W,gene_phenotype,abnormal survival,-0.011447535827755928,-0.0347684314162952,ACCEPT,bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1,abnormal survival,[],False,False,False,False,
GO:0047279,molecularfunction_molecularfunction,GO:1902516,-0.3455374836921692,-0.0413108806514266,REJECT,sn-glycerol-3-phosphate 1-galactosyltransferase activity,sn-glycerol 3-phosphate binding,[],False,False,False,False,
GO:0047279,molecularfunction_molecularfunction,GO:0043772,-0.3077707588672638,-0.0413108806514266,REJECT,sn-glycerol-3-phosphate 1-galactosyltransferase activity,acyl-phosphate glycerol-3-phosphate acyltransferase activity,[],False,False,False,False,
GO:0047279,molecularfunction_molecularfunction,GO:0004366,-0.08815214782953262,-0.0413108806514266,REJECT,sn-glycerol-3-phosphate 1-galactosyltransferase activity,glycerol-3-phosphate O-acyltransferase activity,[],False,False,False,False,
GO:0047279,molecularfunction_molecularfunction,GO:0090447,-0.2756674587726593,-0.0413108806514266,REJECT,sn-glycerol-3-phosphate 1-galactosyltransferase activity,glycerol-3-phosphate 2-O-acyltransferase activity,[],False,False,False,False,
GO:1902516,molecularfunction_molecularfunction,GO:0043772,-0.6019570827484131,-0.0413108806514266,REJECT,sn-glycerol 3-phosphate binding,acyl-phosphate glycerol-3-phosphate acyltransferase activity,[],False,False,False,False,
GO:1902516,molecularfunction_molecularfunction,GO:0004366,-0.45272117853164673,-0.0413108806514266,REJECT,sn-glycerol 3-phosphate binding,glycerol-3-phosphate O-acyltransferase activity,[],False,False,False,False,
GO:1902516,molecularfunction_molecularfunction,GO:0090447,-0.6270560026168823,-0.0413108806514266,REJECT,sn-glycerol 3-phosphate binding,glycerol-3-phosphate 2-O-acyltransferase activity,[],False,False,False,False,
GO:0043772,molecularfunction_molecularfunction,GO:0004366,-0.7556248307228088,-0.0413108806514266,REJECT,acyl-phosphate glycerol-3-phosphate acyltransferase activity,glycerol-3-phosphate O-acyltransferase activity,[],False,False,False,False,
