head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YNL280C,gene_protein,P38670,-0.040348783135414124,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
YNL280C,gene_protein,Q54PP1,-0.04877361282706261,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
YNL280C,gene_protein,Q9LDR4,-0.0750022828578949,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
YNL280C,gene_protein,Q53GU7,-0.07517846673727036,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
YNL280C,gene_protein,B2R5P3,-0.02535994164645672,-0.0280984394514378,ACCEPT,delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
YNL280C,gene_gene,ERG28,-0.03774556517601013,-0.071739344080056,ACCEPT,delta(14)-sterol reductase,ergosterol biosynthesis 28 homolog,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YNL280C,gene_protein,P40207,-0.07069093734025955,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Ergosterol biosynthesis protein 29 {ECO:0000303|PubMed:23892078},[],False,False,False,False,,,
YNL280C,gene_biologicalprocess,GO:0001778,-0.01485739927738905,-0.0356325677219588,ACCEPT,delta(14)-sterol reductase,plasma membrane repair,[],False,False,False,False,,,
YNL280C,gene_inhibits_biologicalprocess,GO:0001778,-0.17946936190128326,-0.0559618705714699,REJECT,delta(14)-sterol reductase,plasma membrane repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1795, 'gene_promotes_biologicalprocess': -0.2282, 'gene_negativelyassociatedwith_biologicalprocess': -0.2676, 'gene_positivelyassociatedwith_biologicalprocess': -0.2234, 'gene_notassociatedwith_biologicalprocess': -0.2561}"
YNL280C,gene_biologicalprocess,GO:1905684,-0.05149406939744949,-0.0356325677219588,REJECT,delta(14)-sterol reductase,regulation of plasma membrane repair,[],False,False,False,False,,,
YNL280C,gene_inhibits_biologicalprocess,GO:1905684,-0.12655863165855408,-0.0559618705714699,REJECT,delta(14)-sterol reductase,regulation of plasma membrane repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1266, 'gene_promotes_biologicalprocess': -0.1694, 'gene_negativelyassociatedwith_biologicalprocess': -0.242, 'gene_positivelyassociatedwith_biologicalprocess': -0.2154, 'gene_notassociatedwith_biologicalprocess': -0.2718}"
YNL280C,gene_protein,P32462,-0.0602765791118145,-0.0280984394514378,REJECT,delta(14)-sterol reductase,Delta(14)-sterol reductase ERG24 {ECO:0000303|PubMed:8125337},[],False,False,False,False,,,
YNL280C,gene_molecularfunction,GO:0005215,-0.02011977881193161,-0.0286995250249342,ACCEPT,delta(14)-sterol reductase,transporter activity,[],False,False,False,False,,,
YNL280C,gene_molecularfunction,GO:0005319,-0.01120754610747099,-0.0286995250249342,ACCEPT,delta(14)-sterol reductase,lipid transporter activity,[],False,False,False,False,,,
YNL280C,gene_molecularfunction,GO:0015248,-0.04119609296321869,-0.0286995250249342,REJECT,delta(14)-sterol reductase,sterol transporter activity,[],False,False,False,False,,,
P38670,protein_protein,Q54PP1,-1.1946159601211548,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
P38670,protein_protein,Q9LDR4,-0.8390406370162964,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
P38670,protein_protein,Q53GU7,-2.1319918632507324,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
P38670,protein_protein,B2R5P3,-4.0842390060424805,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
P38670,protein_protein,P40207,-0.6937687993049622,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Ergosterol biosynthesis protein 29 {ECO:0000303|PubMed:23892078},[],False,False,False,False,,,
P38670,protein_biologicalprocess,GO:0001778,-0.3808209002017975,-0.5776643345681309,ACCEPT,Delta(14)-sterol reductase,plasma membrane repair,[],False,False,False,False,,,
P38670,protein_biologicalprocess,GO:1905684,-0.42209163308143616,-0.5776643345681309,ACCEPT,Delta(14)-sterol reductase,regulation of plasma membrane repair,[],False,False,False,False,,,
P38670,protein_protein,P32462,-0.7855675220489502,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase ERG24 {ECO:0000303|PubMed:8125337},[],False,False,False,False,,,
P38670,protein_molecularfunction,GO:0005215,-0.12571528553962708,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,transporter activity,[],False,False,False,False,,,
P38670,protein_molecularfunction,GO:0005319,-0.1548478603363037,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,lipid transporter activity,[],False,False,False,False,,,
P38670,protein_molecularfunction,GO:0015248,-0.2551019489765167,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,sterol transporter activity,[],False,False,False,False,,,
Q54PP1,protein_protein,Q9LDR4,-0.6384977698326111,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase,[],False,False,False,False,,,
Q54PP1,protein_protein,Q53GU7,-1.4062424898147583,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
Q54PP1,protein_protein,B2R5P3,-2.643367052078247,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
Q54PP1,protein_protein,P40207,-0.5532559752464294,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Ergosterol biosynthesis protein 29 {ECO:0000303|PubMed:23892078},[],False,False,False,False,,,
Q54PP1,protein_biologicalprocess,GO:0001778,-0.30841243267059326,-0.5776643345681309,ACCEPT,Delta(14)-sterol reductase,plasma membrane repair,[],False,False,False,False,,,
Q54PP1,protein_biologicalprocess,GO:1905684,-0.360097199678421,-0.5776643345681309,ACCEPT,Delta(14)-sterol reductase,regulation of plasma membrane repair,[],False,False,False,False,,,
Q54PP1,protein_protein,P32462,-0.6190277338027954,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase ERG24 {ECO:0000303|PubMed:8125337},['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q54PP1,protein_molecularfunction,GO:0005215,-0.16415353119373322,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,transporter activity,[],False,False,False,False,,,
Q54PP1,protein_molecularfunction,GO:0005319,-0.19457292556762695,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,lipid transporter activity,[],False,False,False,False,,,
Q54PP1,protein_molecularfunction,GO:0015248,-0.30385109782218933,-0.5690634813738988,ACCEPT,Delta(14)-sterol reductase,sterol transporter activity,[],False,False,False,False,,,
Q9LDR4,protein_protein,Q53GU7,-1.5409419536590576,-0.2036837140803804,REJECT,Delta(14)-sterol reductase,Delta(14)-sterol reductase LBR,[],False,False,False,False,,,
