head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
I1RY81,protein_protein,P14610,-0.9180333018302917,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetyl-CoA acetyltransferase,[],False,False,False,False,,,
I1RY81,protein_protein,L7P4C4,-0.9942448139190674,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
I1RY81,protein_protein,A0A5H2UZ80,-0.5859991908073425,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
I1RY81,protein_protein,A0A141PNN3,-0.6305315494537354,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
I1RY81,protein_protein,A0A514YDS7,-0.6188353896141052,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
I1RY81,protein_protein,A0A5F9ZHP1,-2.327582836151123,-0.2036837140803804,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
I1RY81,protein_biologicalprocess,GO:0070370,-0.7696167230606079,-0.5776643345681309,REJECT,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",cellular heat acclimation,[],False,False,False,False,,,
P14610,protein_protein,L7P4C4,-0.819862425327301,-0.2036837140803804,REJECT,Acetyl-CoA acetyltransferase,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
P14610,protein_protein,A0A5H2UZ80,-0.5568988919258118,-0.2036837140803804,REJECT,Acetyl-CoA acetyltransferase,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
P14610,protein_protein,A0A141PNN3,-0.5613518357276917,-0.2036837140803804,REJECT,Acetyl-CoA acetyltransferase,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
P14610,protein_protein,A0A514YDS7,-0.5826700329780579,-0.2036837140803804,REJECT,Acetyl-CoA acetyltransferase,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
P14610,protein_protein,A0A5F9ZHP1,-1.6842318773269653,-0.2036837140803804,REJECT,Acetyl-CoA acetyltransferase,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
P14610,protein_biologicalprocess,GO:0070370,-0.44939544796943665,-0.5776643345681309,ACCEPT,Acetyl-CoA acetyltransferase,cellular heat acclimation,[],False,False,False,False,,,
L7P4C4,protein_protein,A0A5H2UZ80,-0.5688238143920898,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
L7P4C4,protein_protein,A0A141PNN3,-0.6042852997779846,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
L7P4C4,protein_protein,A0A514YDS7,-0.6071751117706299,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
L7P4C4,protein_protein,A0A5F9ZHP1,-2.517343044281006,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
L7P4C4,protein_biologicalprocess,GO:0070370,-1.1866072416305542,-0.5776643345681309,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},cellular heat acclimation,[],False,False,False,False,,,
A0A5H2UZ80,protein_protein,A0A141PNN3,-0.6829037666320801,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A5H2UZ80,protein_protein,A0A514YDS7,-0.6515668034553528,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A5H2UZ80,protein_protein,A0A5F9ZHP1,-3.072296619415283,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A5H2UZ80,protein_biologicalprocess,GO:0070370,-1.6637119054794312,-0.5776643345681309,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},cellular heat acclimation,[],False,False,False,False,,,
A0A141PNN3,protein_protein,A0A514YDS7,-0.638033926486969,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A141PNN3,protein_protein,A0A5F9ZHP1,-3.310938596725464,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A141PNN3,protein_biologicalprocess,GO:0070370,-1.6047524213790894,-0.5776643345681309,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},cellular heat acclimation,[],False,False,False,False,,,
A0A514YDS7,protein_protein,A0A5F9ZHP1,-3.492036819458008,-0.2036837140803804,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
A0A514YDS7,protein_biologicalprocess,GO:0070370,-2.4233713150024414,-0.5776643345681309,REJECT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},cellular heat acclimation,[],False,False,False,False,,,
A0A5F9ZHP1,protein_biologicalprocess,GO:0070370,-0.16572344303131104,-0.5776643345681309,ACCEPT,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},cellular heat acclimation,[],False,False,False,False,,,
GO:0070370,biologicalprocess_gene,CG10573,-0.1109454408288002,-0.085789182677173,REJECT,cellular heat acclimation,knockout,[],False,False,False,False,,,
CG10573,gene_notassociatedwith_biologicalprocess,GO:0070370,-0.4710456132888794,-0.1941926147433079,REJECT,knockout,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.7592, 'gene_promotes_biologicalprocess': -0.6533, 'gene_negativelyassociatedwith_biologicalprocess': -0.7742, 'gene_positivelyassociatedwith_biologicalprocess': -0.6547, 'gene_notassociatedwith_biologicalprocess': -0.471}"
CG10573,gene_protein,I1RY81,-0.10999780893325806,-0.0280984394514378,REJECT,knockout,"Acetyl-CoA acetyltransferase ERG10, cytosolic {ECO:0000303|PubMed:30874562}",[],False,False,False,False,,,
CG10573,gene_protein,P14610,-0.1215600073337555,-0.0280984394514378,REJECT,knockout,Acetyl-CoA acetyltransferase,[],False,False,False,False,,,
CG10573,gene_protein,L7P4C4,-0.12557567656040192,-0.0280984394514378,REJECT,knockout,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
CG10573,gene_protein,A0A5H2UZ80,-0.25348591804504395,-0.0280984394514378,REJECT,knockout,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
CG10573,gene_protein,A0A141PNN3,-0.14370134472846985,-0.0280984394514378,REJECT,knockout,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
CG10573,gene_protein,A0A514YDS7,-0.25410953164100647,-0.0280984394514378,REJECT,knockout,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
CG10573,gene_protein,A0A5F9ZHP1,-0.03183669224381447,-0.0280984394514378,REJECT,knockout,Acetoacetyl-CoA thiolase {ECO:0000256|ARBA:ARBA00030755},[],False,False,False,False,,,
