head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q08409,protein_cellularcomponent,GO:0005886,-0.9479848742485046,-0.143767219171222,REJECT,ATP-dependent permease AUS1,plasma membrane,['Protein_CellularComponent'],False,True,True,False,Protein_CellularComponent,,
Q08409,protein_protein,Q10185,-0.9235471487045288,-0.2036837140803804,REJECT,ATP-dependent permease AUS1,ATP-binding cassette transporter abc2,[],False,False,False,False,,,
Q08409,protein_protein,Q9P7V2,-0.7806329727172852,-0.2036837140803804,REJECT,ATP-dependent permease AUS1,ATP-binding cassette transporter abc4,[],False,False,False,False,,,
Q08409,protein_protein,Q92337,-0.7462355494499207,-0.2036837140803804,REJECT,ATP-dependent permease AUS1,ATP-binding cassette transporter abc1,[],False,False,False,False,,,
Q08409,protein_protein,Q9C0Y5,-0.7820767164230347,-0.2036837140803804,REJECT,ATP-dependent permease AUS1,ATP-binding cassette transporter pdr1,[],False,False,False,False,,,
Q08409,protein_cellularcomponent,GO:0043190,-2.0962953567504883,-0.143767219171222,REJECT,ATP-dependent permease AUS1,ATP-binding cassette (ABC) transporter complex,[],False,False,False,False,,,
Q08409,protein_biologicalprocess,GO:0031653,-0.6865004897117615,-0.5776643345681309,REJECT,ATP-dependent permease AUS1,heat dissipation,[],False,False,False,False,,,
Q08409,protein_biologicalprocess,GO:0010286,-0.39362695813179016,-0.5776643345681309,ACCEPT,ATP-dependent permease AUS1,heat acclimation,[],False,False,False,False,,,
YOR011W,gene_protein,Q08409,-0.08511532843112946,-0.0280984394514378,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-dependent permease AUS1,[],False,False,False,False,,,
YOR011W,gene_cellularcomponent,GO:0005886,-0.005014737602323294,-0.0358198597771757,ACCEPT,ATP-binding cassette sterol transporter AUS1,plasma membrane,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
YOR011W,gene_gene,YLR188W,-0.047750674188137054,-0.071739344080056,ACCEPT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette permease MDL1,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YOR011W,gene_gene,YPL270W,-0.062008462846279144,-0.071739344080056,ACCEPT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette permease MDL2,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YOR011W,gene_gene,YOR1,-0.3957449793815613,-0.071739344080056,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter YOR1,[],False,False,False,False,,,
YOR011W,gene_gene,YDR011W,-0.0798584446310997,-0.071739344080056,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter SNQ2,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YOR011W,gene_gene,YGR281W,-0.049815431237220764,-0.071739344080056,ACCEPT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter YOR1,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YOR011W,gene_protein,Q10185,-0.1026124656200409,-0.0280984394514378,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter abc2,[],False,False,False,False,,,
YOR011W,gene_protein,Q9P7V2,-0.053384602069854736,-0.0280984394514378,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter abc4,[],False,False,False,False,,,
YOR011W,gene_protein,Q92337,-0.07695750892162323,-0.0280984394514378,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter abc1,[],False,False,False,False,,,
YOR011W,gene_protein,Q9C0Y5,-0.04655905440449715,-0.0280984394514378,REJECT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette transporter pdr1,[],False,False,False,False,,,
YOR011W,gene_cellularcomponent,GO:0043190,-0.009644564241170883,-0.0358198597771757,ACCEPT,ATP-binding cassette sterol transporter AUS1,ATP-binding cassette (ABC) transporter complex,[],False,False,False,False,,,
YOR011W,gene_biologicalprocess,GO:0031653,-0.15684489905834198,-0.0356325677219588,REJECT,ATP-binding cassette sterol transporter AUS1,heat dissipation,[],False,False,False,False,,,
YOR011W,gene_inhibits_biologicalprocess,GO:0031653,-0.43209409713745117,-0.0559618705714699,REJECT,ATP-binding cassette sterol transporter AUS1,heat dissipation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4321, 'gene_promotes_biologicalprocess': -0.4539, 'gene_negativelyassociatedwith_biologicalprocess': -0.4844, 'gene_positivelyassociatedwith_biologicalprocess': -0.4334, 'gene_notassociatedwith_biologicalprocess': -0.541}"
YOR011W,gene_biologicalprocess,GO:0010286,-0.028886839747428894,-0.0356325677219588,ACCEPT,ATP-binding cassette sterol transporter AUS1,heat acclimation,[],False,False,False,False,,,
YOR011W,gene_positivelyassociatedwith_biologicalprocess,GO:0010286,-0.3474940061569214,-0.0730086550790463,REJECT,ATP-binding cassette sterol transporter AUS1,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4441, 'gene_promotes_biologicalprocess': -0.4088, 'gene_negativelyassociatedwith_biologicalprocess': -0.4543, 'gene_positivelyassociatedwith_biologicalprocess': -0.3475, 'gene_notassociatedwith_biologicalprocess': -0.4218}"
GO:0005886,cellularcomponent_gene,YLR188W,-0.0010081850923597813,-0.0325983804673724,ACCEPT,plasma membrane,ATP-binding cassette permease MDL1,[],False,False,False,False,,,
