head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YOL143C,gene_biologicalprocess,GO:0090442,-0.22427013516426086,-0.0356325677219588,REJECT,lumazine synthase RIB4,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
YOL143C,gene_notassociatedwith_biologicalprocess,GO:0090442,-0.479582279920578,-0.1941926147433079,REJECT,lumazine synthase RIB4,trehalose catabolism in response to heat stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6107, 'gene_promotes_biologicalprocess': -0.5433, 'gene_negativelyassociatedwith_biologicalprocess': -0.5518, 'gene_positivelyassociatedwith_biologicalprocess': -0.5123, 'gene_notassociatedwith_biologicalprocess': -0.4796}"
YOL143C,gene_biologicalprocess,GO:1990603,-0.16179433465003967,-0.0356325677219588,REJECT,lumazine synthase RIB4,dark adaptation,[],False,False,False,False,,,
YOL143C,gene_positivelyassociatedwith_biologicalprocess,GO:1990603,-0.5559477806091309,-0.0730086550790463,REJECT,lumazine synthase RIB4,dark adaptation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6411, 'gene_promotes_biologicalprocess': -0.7611, 'gene_negativelyassociatedwith_biologicalprocess': -0.6565, 'gene_positivelyassociatedwith_biologicalprocess': -0.5559, 'gene_notassociatedwith_biologicalprocess': -0.6427}"
YOL143C,gene_biologicalprocess,GO:0043500,-0.1778126060962677,-0.0356325677219588,REJECT,lumazine synthase RIB4,muscle adaptation,[],False,False,False,False,,,
YOL143C,gene_positivelyassociatedwith_biologicalprocess,GO:0043500,-0.705386221408844,-0.0730086550790463,REJECT,lumazine synthase RIB4,muscle adaptation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.8333, 'gene_promotes_biologicalprocess': -0.9605, 'gene_negativelyassociatedwith_biologicalprocess': -0.7871, 'gene_positivelyassociatedwith_biologicalprocess': -0.7054, 'gene_notassociatedwith_biologicalprocess': -0.7853}"
YOL143C,gene_biologicalprocess,GO:0010286,-0.12284320592880249,-0.0356325677219588,REJECT,lumazine synthase RIB4,heat acclimation,[],False,False,False,False,,,
YOL143C,gene_positivelyassociatedwith_biologicalprocess,GO:0010286,-0.5220927000045776,-0.0730086550790463,REJECT,lumazine synthase RIB4,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6901, 'gene_promotes_biologicalprocess': -0.6888, 'gene_negativelyassociatedwith_biologicalprocess': -0.726, 'gene_positivelyassociatedwith_biologicalprocess': -0.5221, 'gene_notassociatedwith_biologicalprocess': -0.6395}"
YOL143C,gene_chemicalentity,71285,-0.2631346583366394,-0.0285922419958417,REJECT,lumazine synthase RIB4,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",[],False,False,False,False,,,
YOL143C,gene_biologicalprocess,GO:0070370,-0.10462744534015656,-0.0356325677219588,REJECT,lumazine synthase RIB4,cellular heat acclimation,[],False,False,False,False,,,
YOL143C,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-0.4750320017337799,-0.0730086550790463,REJECT,lumazine synthase RIB4,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6482, 'gene_promotes_biologicalprocess': -0.588, 'gene_negativelyassociatedwith_biologicalprocess': -0.7163, 'gene_positivelyassociatedwith_biologicalprocess': -0.475, 'gene_notassociatedwith_biologicalprocess': -0.4869}"
GO:0090442,biologicalprocess_biologicalprocess,GO:1990603,-0.40360191464424133,-0.0422867482620858,REJECT,trehalose catabolism in response to heat stress,dark adaptation,[],False,False,False,False,,,
GO:0090442,biologicalprocess_biologicalprocess,GO:0043500,-0.2698337733745575,-0.0422867482620858,REJECT,trehalose catabolism in response to heat stress,muscle adaptation,[],False,False,False,False,,,
GO:0090442,biologicalprocess_biologicalprocess,GO:0010286,-0.37370309233665466,-0.0422867482620858,REJECT,trehalose catabolism in response to heat stress,heat acclimation,[],False,False,False,False,,,
GO:0090442,biologicalprocess_chemicalentity,71285,-0.5507811307907104,-0.03613698155982,REJECT,trehalose catabolism in response to heat stress,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",[],False,False,False,False,,,
71285,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090442,-1.1023778915405273,-0.596142909254255,REJECT,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",trehalose catabolism in response to heat stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.1024, 'chemicalentity_noeffect_biologicalprocess': -2.5645, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2368, 'chemicalentity_promotes_biologicalprocess': -2.4438, 'chemicalentity_inhibits_biologicalprocess': -2.2094, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1377}"
GO:0090442,biologicalprocess_biologicalprocess,GO:0070370,-0.4091571867465973,-0.0422867482620858,REJECT,trehalose catabolism in response to heat stress,cellular heat acclimation,[],False,False,False,False,,,
GO:1990603,biologicalprocess_biologicalprocess,GO:0043500,-0.14423836767673492,-0.0422867482620858,REJECT,dark adaptation,muscle adaptation,[],False,False,False,False,,,
GO:1990603,biologicalprocess_biologicalprocess,GO:0010286,-0.20065128803253174,-0.0422867482620858,REJECT,dark adaptation,heat acclimation,[],False,False,False,False,,,
GO:1990603,biologicalprocess_chemicalentity,71285,-0.41628575325012207,-0.03613698155982,REJECT,dark adaptation,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",[],False,False,False,False,,,
71285,chemicalentity_notassociatedwith_biologicalprocess,GO:1990603,-1.2917319536209106,-0.6726369886875827,REJECT,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",dark adaptation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.3117, 'chemicalentity_noeffect_biologicalprocess': -2.6911, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2917, 'chemicalentity_promotes_biologicalprocess': -2.4442, 'chemicalentity_inhibits_biologicalprocess': -2.3243, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3903}"
GO:1990603,biologicalprocess_biologicalprocess,GO:0070370,-0.22303251922130585,-0.0422867482620858,REJECT,dark adaptation,cellular heat acclimation,[],False,False,False,False,,,
GO:0043500,biologicalprocess_biologicalprocess,GO:0010286,-0.35351288318634033,-0.0422867482620858,REJECT,muscle adaptation,heat acclimation,[],False,False,False,False,,,
GO:0043500,biologicalprocess_chemicalentity,71285,-0.5186278820037842,-0.03613698155982,REJECT,muscle adaptation,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine;hydrochloride",[],False,False,False,False,,,
