head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
5962,chemicalentity_protein,E5RK50,-0.08783169090747833,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
5962,chemicalentity_pathway,R-HSA-6788467,-0.0008115200325846672,-0.3200630854546729,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
5962,chemicalentity_gene,IL-6,-0.2511836588382721,-0.2458965898096785,REJECT,"(2S)-2,6-diaminohexanoic acid",interleukin 6,[],False,False,False,False,,,
5962,chemicalentity_protein,B2R4L8,-0.0021587074734270573,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-8(9-77),[],False,False,False,False,,,
5962,chemicalentity_protein,P10145,-0.0019460746552795172,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-8(9-77),[],False,False,False,False,,,
5962,chemicalentity_protein,Q6LAE6,-0.001979957101866603,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-8(9-77),[],False,False,False,False,,,
5962,chemicalentity_protein,Q9UCR8,-0.0021290478762239218,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-8(9-77),[],False,False,False,False,,,
5962,chemicalentity_protein,Q9UCS0,-0.0021110735833644867,-0.3552259656009227,ACCEPT,"(2S)-2,6-diaminohexanoic acid",IL-8(9-77),[],False,False,False,False,,,
5962,chemicalentity_biologicalprocess,GO:0006954,-0.0012926155468448997,-0.232143107153421,ACCEPT,"(2S)-2,6-diaminohexanoic acid",inflammatory response,[],False,False,False,False,,,
5962,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-0.034441154450178146,-0.596142909254255,ACCEPT,"(2S)-2,6-diaminohexanoic acid",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0344, 'chemicalentity_noeffect_biologicalprocess': -1.5007, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0675, 'chemicalentity_promotes_biologicalprocess': -0.1997, 'chemicalentity_inhibits_biologicalprocess': -0.0457, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0542}"
5962,chemicalentity_pathway,R-HSA-2559582,-0.00040276304935105145,-0.3200630854546729,ACCEPT,"(2S)-2,6-diaminohexanoic acid",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
