head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
GO:0006457,biologicalprocess_biologicalprocess,GO:0006458,-0.00017922968254424632,-0.0422867482620858,ACCEPT,protein folding,'de novo' protein folding,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0006457,biologicalprocess_biologicalprocess,GO:1903332,-0.000888955662958324,-0.0422867482620858,ACCEPT,protein folding,regulation of protein folding,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0006457,biologicalprocess_biologicalprocess,GO:0061077,-5.287844396661967e-05,-0.0422867482620858,ACCEPT,protein folding,chaperone-mediated protein folding,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0006457,biologicalprocess_biologicalprocess,GO:0006914,-5.868519292562269e-05,-0.0422867482620858,ACCEPT,protein folding,autophagy,[],False,False,False,False,
GO:0006457,biologicalprocess_biologicalprocess,GO:0034605,-6.546053919009864e-05,-0.0422867482620858,ACCEPT,protein folding,cellular response to heat,[],False,False,False,False,
GO:0006457,biologicalprocess_biologicalprocess,GO:1900034,-0.0002970516216009855,-0.0422867482620858,ACCEPT,protein folding,regulation of cellular response to heat,[],False,False,False,False,
GO:0006457,biologicalprocess_biologicalprocess,GO:1900036,-0.0011944682337343693,-0.0422867482620858,ACCEPT,protein folding,positive regulation of cellular response to heat,[],False,False,False,False,
GO:0006457,biologicalprocess_biologicalprocess,GO:1900035,-0.0005751877324655652,-0.0422867482620858,ACCEPT,protein folding,negative regulation of cellular response to heat,[],False,False,False,False,
GO:0006457,biologicalprocess_biologicalprocess,GO:0006515,-0.00011837311467388645,-0.0422867482620858,ACCEPT,protein folding,protein quality control for misfolded or incompletely synthesized proteins,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:1903332,-0.024250812828540802,-0.0422867482620858,ACCEPT,'de novo' protein folding,regulation of protein folding,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:0061077,-0.01030782051384449,-0.0422867482620858,ACCEPT,'de novo' protein folding,chaperone-mediated protein folding,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:0006914,-0.012672542594373226,-0.0422867482620858,ACCEPT,'de novo' protein folding,autophagy,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:0034605,-0.013784133829176426,-0.0422867482620858,ACCEPT,'de novo' protein folding,cellular response to heat,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:1900034,-0.026041561737656593,-0.0422867482620858,ACCEPT,'de novo' protein folding,regulation of cellular response to heat,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:1900036,-0.04176490008831024,-0.0422867482620858,ACCEPT,'de novo' protein folding,positive regulation of cellular response to heat,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:1900035,-0.028685517609119415,-0.0422867482620858,ACCEPT,'de novo' protein folding,negative regulation of cellular response to heat,[],False,False,False,False,
GO:0006458,biologicalprocess_biologicalprocess,GO:0006515,-0.015007595531642437,-0.0422867482620858,ACCEPT,'de novo' protein folding,protein quality control for misfolded or incompletely synthesized proteins,[],False,False,False,False,
