head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Mup3,gene_chemicalentity,5260155,-0.16288895905017853,-0.0285922419958417,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],cysteine zwitterion,[],False,False,False,False,,,
Mup3,gene_chemicalentity,5862,-0.0756862461566925,-0.0285922419958417,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,,,
Mup3,gene_chemicalentity,46878494,-0.12192410230636597,-0.0285922419958417,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],CoA-glutathione(5-),[],False,False,False,False,,,
Mup3,gene_chemicalentity,124886,-0.11155831068754196,-0.0285922419958417,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
Mup3,gene_chemicalentity,115260,-0.0919928103685379,-0.0285922419958417,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
Mup3,gene_biologicalprocess,GO:0044527,-0.1543685793876648,-0.0356325677219588,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
Mup3,gene_positivelyassociatedwith_biologicalprocess,GO:0044527,-0.4803368151187897,-0.0730086550790463,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5617, 'gene_promotes_biologicalprocess': -0.6345, 'gene_negativelyassociatedwith_biologicalprocess': -0.5523, 'gene_positivelyassociatedwith_biologicalprocess': -0.4803, 'gene_notassociatedwith_biologicalprocess': -0.5187}"
Mup3,gene_phenotype,WBPhenotype:0001090,-0.04063764587044716,-0.0347684314162952,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],thermotolerance reduced,[],False,False,False,False,,,
Mup3,gene_pathway,KEGG:map00920,-0.22413083910942078,-0.0346968297443117,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],Sulfur metabolism,[],False,False,False,False,,,
Mup3,gene_pathway,hsa00920,-0.03441982343792915,-0.0346968297443117,ACCEPT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],Sulfur metabolism,[],False,False,False,False,,,
Mup3,gene_pathway,R-HSA-1614635,-0.051977287977933884,-0.0346968297443117,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],Sulfur amino acid metabolism,[],False,False,False,False,,,
Mup3,gene_protein,P32389,-0.08163484185934067,-0.0280984394514378,REJECT,major urinary protein 3 [Source:MGI Symbol;Acc:MGI:97235],Transcriptional activator of sulfur metabolism MET4,[],False,False,False,False,,,
5260155,chemicalentity_chemicalentity,5862,-2.2124860286712646,-0.2425281074611494,REJECT,cysteine zwitterion,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,,,
5260155,chemicalentity_chemicalentity,46878494,-0.6252973675727844,-0.2425281074611494,REJECT,cysteine zwitterion,CoA-glutathione(5-),[],False,False,False,False,,,
5260155,chemicalentity_chemicalentity,124886,-2.3198611736297607,-0.2425281074611494,REJECT,cysteine zwitterion,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
5260155,chemicalentity_chemicalentity,115260,-1.5611531734466553,-0.2425281074611494,REJECT,cysteine zwitterion,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
5260155,chemicalentity_biologicalprocess,GO:0044527,-0.9552197456359863,-0.232143107153421,REJECT,cysteine zwitterion,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
5260155,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0044527,-0.8890259265899658,-0.5654679724376828,REJECT,cysteine zwitterion,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8962, 'chemicalentity_noeffect_biologicalprocess': -2.1762, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1075, 'chemicalentity_promotes_biologicalprocess': -1.856, 'chemicalentity_inhibits_biologicalprocess': -1.7091, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.889}"
5260155,chemicalentity_pathway,KEGG:map00920,-1.1879124641418457,-0.3200630854546729,REJECT,cysteine zwitterion,Sulfur metabolism,[],False,False,False,False,,,
5260155,chemicalentity_pathway,hsa00920,-1.1971244812011719,-0.3200630854546729,REJECT,cysteine zwitterion,Sulfur metabolism,[],False,False,False,False,,,
5260155,chemicalentity_pathway,R-HSA-1614635,-1.1241562366485596,-0.3200630854546729,REJECT,cysteine zwitterion,Sulfur amino acid metabolism,[],False,False,False,False,,,
5260155,chemicalentity_protein,P32389,-1.1359357833862305,-0.3552259656009227,REJECT,cysteine zwitterion,Transcriptional activator of sulfur metabolism MET4,[],False,False,False,False,,,
5862,chemicalentity_chemicalentity,46878494,-0.08447859436273575,-0.2425281074611494,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,CoA-glutathione(5-),[],False,False,False,False,,,
5862,chemicalentity_chemicalentity,124886,-0.028401315212249756,-0.2425281074611494,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
5862,chemicalentity_chemicalentity,115260,-0.024561095982789993,-0.2425281074611494,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
5862,chemicalentity_biologicalprocess,GO:0044527,-0.060538049787282944,-0.232143107153421,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
5862,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0044527,-0.35662829875946045,-0.596142909254255,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3566, 'chemicalentity_noeffect_biologicalprocess': -1.032, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6453, 'chemicalentity_promotes_biologicalprocess': -0.5054, 'chemicalentity_inhibits_biologicalprocess': -0.3612, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4738}"
5862,chemicalentity_pathway,KEGG:map00920,-0.06757045537233353,-0.3200630854546729,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,Sulfur metabolism,[],False,False,False,False,,,
5862,chemicalentity_pathway,hsa00920,-0.00479180458933115,-0.3200630854546729,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,Sulfur metabolism,[],False,False,False,False,,,
5862,chemicalentity_pathway,R-HSA-1614635,-0.003951955586671829,-0.3200630854546729,ACCEPT,(2R)-2-amino-3-sulfanylpropanoic acid,Sulfur amino acid metabolism,[],False,False,False,False,,,
