head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GLRX2,gene_molecularfunction,GO:0015038,-0.027262432500720024,-0.0286995250249342,ACCEPT,glutaredoxin 2,glutathione disulfide oxidoreductase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
GLRX2,gene_molecularfunction,GO:0097573,-0.010770061984658241,-0.0286995250249342,ACCEPT,glutaredoxin 2,glutathione oxidoreductase activity,[],False,False,False,False,,,
GLRX2,gene_molecularfunction,GO:0015036,-0.009671324864029884,-0.0286995250249342,ACCEPT,glutaredoxin 2,disulfide oxidoreductase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
GLRX2,gene_molecularfunction,GO:0141049,-0.037989843636751175,-0.0286995250249342,REJECT,glutaredoxin 2,protein-glutathione oxidoreductase (glutathione) activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
GLRX2,gene_protein,Q6NQ88,-0.03960821032524109,-0.0280984394514378,REJECT,glutaredoxin 2,Protein DAMAGED DNA-BINDING 2,[],False,False,False,False,,,
GLRX2,gene_gene,BLOC1S1,-0.016258878633379936,-0.071739344080056,ACCEPT,glutaredoxin 2,biogenesis of lysosomal organelles complex 1 subunit 1,[],False,False,False,False,,,
GLRX2,gene_protein,Q54VX7,-0.05276976898312569,-0.0280984394514378,REJECT,glutaredoxin 2,Biogenesis of lysosome-related organelles complex 1 subunit 1,[],False,False,False,False,,,
GLRX2,gene_chemicalentity,5359597,-0.05746214836835861,-0.0285922419958417,REJECT,glutaredoxin 2,superoxide,[],False,False,False,False,,,
GLRX2,gene_biologicalprocess,GO:0034440,-0.010616248473525047,-0.0356325677219588,ACCEPT,glutaredoxin 2,lipid oxidation,[],False,False,False,False,,,
GLRX2,gene_promotes_biologicalprocess,GO:0034440,-0.14977148175239563,-0.0617563253450388,REJECT,glutaredoxin 2,lipid oxidation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1943, 'gene_promotes_biologicalprocess': -0.1498, 'gene_negativelyassociatedwith_biologicalprocess': -0.2234, 'gene_positivelyassociatedwith_biologicalprocess': -0.165, 'gene_notassociatedwith_biologicalprocess': -0.1538}"
GLRX2,gene_biologicalprocess,GO:0040007,-0.012184783816337585,-0.0356325677219588,ACCEPT,glutaredoxin 2,growth,[],False,False,False,False,,,
GLRX2,gene_promotes_biologicalprocess,GO:0040007,-0.20862260460853577,-0.0617563253450388,REJECT,glutaredoxin 2,growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2205, 'gene_promotes_biologicalprocess': -0.2086, 'gene_negativelyassociatedwith_biologicalprocess': -0.3518, 'gene_positivelyassociatedwith_biologicalprocess': -0.2803, 'gene_notassociatedwith_biologicalprocess': -0.3998}"
GLRX2,gene_biologicalprocess,GO:0016049,-0.011925144121050835,-0.0356325677219588,ACCEPT,glutaredoxin 2,cell growth,[],False,False,False,False,,,
