head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
YPL023C,gene_protein,O74927,-0.15948542952537537,-0.0280984394514378,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,Methylenetetrahydrofolate reductase 2,[],False,False,False,False,
YPL023C,gene_protein,P46151,-0.08716930449008942,-0.0280984394514378,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,Methylenetetrahydrofolate reductase 1,[],False,False,False,False,
YPL023C,gene_protein,P53128,-0.09958401322364807,-0.0280984394514378,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,Methylenetetrahydrofolate reductase 2,[],False,False,False,False,
YPL023C,gene_protein,Q10258,-0.12191138416528702,-0.0280984394514378,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,Methylenetetrahydrofolate reductase 1,[],False,False,False,False,
YPL023C,gene_protein,O67422,-0.11581672728061676,-0.0280984394514378,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,"5,10-methylenetetrahydrofolate reductase",[],False,False,False,False,
YPL023C,gene_chemicalentity,5260155,-0.14459970593452454,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,cysteine zwitterion,[],False,False,False,False,
YPL023C,gene_chemicalentity,5862,-0.07312657684087753,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
YPL023C,gene_chemicalentity,46878494,-0.10409818589687347,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,CoA-glutathione(5-),[],False,False,False,False,
YPL023C,gene_chemicalentity,124886,-0.11176992952823639,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
YPL023C,gene_chemicalentity,40467895,-0.10523974895477295,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
YPL023C,gene_chemicalentity,115260,-0.0860370546579361,-0.0285922419958417,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
YPL023C,gene_phenotype,WBPhenotype:0001090,-0.0318768136203289,-0.0347684314162952,ACCEPT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,thermotolerance reduced,[],False,False,False,False,
YPL023C,gene_phenotype,WBPhenotype:0000295,-0.051832396537065506,-0.0347684314162952,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,thermotolerance increased,[],False,False,False,False,
YPL023C,gene_phenotype,WBPhenotype:0002138,-0.05389569699764252,-0.0347684314162952,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET12,acquired thermotolerance variant,[],False,False,False,False,
O74927,protein_protein,P46151,-0.6813279986381531,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,Methylenetetrahydrofolate reductase 1,['Protein_Protein'],False,True,True,False,Protein_Protein
O74927,protein_protein,P53128,-0.6261804103851318,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,Methylenetetrahydrofolate reductase 2,[],False,False,False,False,
O74927,protein_protein,Q10258,-0.8343663811683655,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,Methylenetetrahydrofolate reductase 1,[],False,False,False,False,
O74927,protein_protein,O67422,-0.6001160144805908,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,"5,10-methylenetetrahydrofolate reductase",[],False,False,False,False,
O74927,protein_chemicalentity,5260155,-0.7013943791389465,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,cysteine zwitterion,[],False,False,False,False,
O74927,protein_chemicalentity,5862,-1.0638916492462158,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
O74927,protein_chemicalentity,46878494,-0.7617186307907104,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,CoA-glutathione(5-),[],False,False,False,False,
O74927,protein_chemicalentity,124886,-0.9713698625564575,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
O74927,protein_chemicalentity,40467895,-0.9213734865188599,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
O74927,protein_chemicalentity,115260,-0.9343942403793335,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
O74927,protein_phenotype,WBPhenotype:0001090,-1.112653136253357,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,thermotolerance reduced,[],False,False,False,False,
O74927,protein_phenotype,WBPhenotype:0000295,-0.9258229732513428,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,thermotolerance increased,[],False,False,False,False,
O74927,protein_phenotype,WBPhenotype:0002138,-0.8770222663879395,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,acquired thermotolerance variant,[],False,False,False,False,
P46151,protein_protein,P53128,-0.6484819054603577,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 1,Methylenetetrahydrofolate reductase 2,['Protein_Protein'],False,True,True,False,Protein_Protein
P46151,protein_protein,Q10258,-0.9251203536987305,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 1,Methylenetetrahydrofolate reductase 1,[],False,False,False,False,
P46151,protein_protein,O67422,-0.6283538937568665,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 1,"5,10-methylenetetrahydrofolate reductase",[],False,False,False,False,
P46151,protein_chemicalentity,5260155,-0.8204566240310669,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,cysteine zwitterion,[],False,False,False,False,
P46151,protein_chemicalentity,5862,-1.221728801727295,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
P46151,protein_chemicalentity,46878494,-0.7453256249427795,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,CoA-glutathione(5-),[],False,False,False,False,
P46151,protein_chemicalentity,124886,-1.1136460304260254,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
P46151,protein_chemicalentity,40467895,-0.8238394856452942,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
P46151,protein_chemicalentity,115260,-0.910336434841156,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
P46151,protein_phenotype,WBPhenotype:0001090,-1.149211049079895,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,thermotolerance reduced,[],False,False,False,False,
P46151,protein_phenotype,WBPhenotype:0000295,-0.9168382883071899,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,thermotolerance increased,[],False,False,False,False,
P46151,protein_phenotype,WBPhenotype:0002138,-0.7612230777740479,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,acquired thermotolerance variant,[],False,False,False,False,
P53128,protein_protein,Q10258,-0.8918882012367249,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,Methylenetetrahydrofolate reductase 1,['Protein_Protein'],False,True,True,False,Protein_Protein
P53128,protein_protein,O67422,-0.6407544612884521,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 2,"5,10-methylenetetrahydrofolate reductase",[],False,False,False,False,
P53128,protein_chemicalentity,5260155,-1.0299758911132812,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,cysteine zwitterion,[],False,False,False,False,
P53128,protein_chemicalentity,5862,-1.293104648590088,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
P53128,protein_chemicalentity,46878494,-0.7562052011489868,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,CoA-glutathione(5-),[],False,False,False,False,
P53128,protein_chemicalentity,124886,-1.0912508964538574,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
P53128,protein_chemicalentity,40467895,-0.8865916728973389,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
P53128,protein_chemicalentity,115260,-0.9428331851959229,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 2,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
P53128,protein_phenotype,WBPhenotype:0001090,-1.2080563306808472,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,thermotolerance reduced,[],False,False,False,False,
P53128,protein_phenotype,WBPhenotype:0000295,-0.9741116762161255,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,thermotolerance increased,[],False,False,False,False,
P53128,protein_phenotype,WBPhenotype:0002138,-0.8921622037887573,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 2,acquired thermotolerance variant,[],False,False,False,False,
Q10258,protein_protein,O67422,-0.5943151116371155,-0.2036837140803804,REJECT,Methylenetetrahydrofolate reductase 1,"5,10-methylenetetrahydrofolate reductase",[],False,False,False,False,
Q10258,protein_chemicalentity,5260155,-0.7610960602760315,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,cysteine zwitterion,[],False,False,False,False,
Q10258,protein_chemicalentity,5862,-1.5416327714920044,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
Q10258,protein_chemicalentity,46878494,-0.6872056722640991,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,CoA-glutathione(5-),[],False,False,False,False,
Q10258,protein_chemicalentity,124886,-1.453823447227478,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
Q10258,protein_chemicalentity,40467895,-0.9541820287704468,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
Q10258,protein_chemicalentity,115260,-1.1886091232299805,-0.1571110372511136,REJECT,Methylenetetrahydrofolate reductase 1,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
Q10258,protein_phenotype,WBPhenotype:0001090,-0.9875349998474121,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,thermotolerance reduced,[],False,False,False,False,
Q10258,protein_phenotype,WBPhenotype:0000295,-0.764796257019043,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,thermotolerance increased,[],False,False,False,False,
Q10258,protein_phenotype,WBPhenotype:0002138,-0.730197548866272,-0.0497034494975703,REJECT,Methylenetetrahydrofolate reductase 1,acquired thermotolerance variant,[],False,False,False,False,
O67422,protein_chemicalentity,5260155,-0.8806935548782349,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",cysteine zwitterion,[],False,False,False,False,
O67422,protein_chemicalentity,5862,-1.4955742359161377,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,
O67422,protein_chemicalentity,46878494,-0.9000244736671448,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",CoA-glutathione(5-),[],False,False,False,False,
O67422,protein_chemicalentity,124886,-1.3033359050750732,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
O67422,protein_chemicalentity,40467895,-1.005735158920288,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,
O67422,protein_chemicalentity,115260,-1.1027355194091797,-0.1571110372511136,REJECT,"5,10-methylenetetrahydrofolate reductase",(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,
