head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
NARS2,gene_biologicalprocess,GO:0051881,-0.004964891821146011,-0.0356325677219588,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",regulation of mitochondrial membrane potential,[],False,False,False,False,,,
NARS2,gene_promotes_biologicalprocess,GO:0051881,-0.05820675194263458,-0.0617563253450388,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0628, 'gene_promotes_biologicalprocess': -0.0582, 'gene_negativelyassociatedwith_biologicalprocess': -0.1653, 'gene_positivelyassociatedwith_biologicalprocess': -0.0826, 'gene_notassociatedwith_biologicalprocess': -0.168}"
NARS2,gene_biologicalprocess,GO:0010918,-0.008052641525864601,-0.0356325677219588,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",positive regulation of mitochondrial membrane potential,[],False,False,False,False,,,
NARS2,gene_inhibits_biologicalprocess,GO:0010918,-0.11784190684556961,-0.0559618705714699,REJECT,"asparaginyl-tRNA synthetase 2, mitochondrial",positive regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1178, 'gene_promotes_biologicalprocess': -0.1586, 'gene_negativelyassociatedwith_biologicalprocess': -0.1792, 'gene_positivelyassociatedwith_biologicalprocess': -0.1571, 'gene_notassociatedwith_biologicalprocess': -0.206}"
NARS2,gene_biologicalprocess,GO:0010917,-0.01125912182033062,-0.0356325677219588,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",negative regulation of mitochondrial membrane potential,[],False,False,False,False,,,
NARS2,gene_promotes_biologicalprocess,GO:0010917,-0.07416342943906784,-0.0617563253450388,REJECT,"asparaginyl-tRNA synthetase 2, mitochondrial",negative regulation of mitochondrial membrane potential,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0784, 'gene_promotes_biologicalprocess': -0.0742, 'gene_negativelyassociatedwith_biologicalprocess': -0.1685, 'gene_positivelyassociatedwith_biologicalprocess': -0.1107, 'gene_notassociatedwith_biologicalprocess': -0.1973}"
NARS2,gene_biologicalprocess,GO:0045730,-0.01497716922312975,-0.0356325677219588,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",respiratory burst,[],False,False,False,False,,,
NARS2,gene_inhibits_biologicalprocess,GO:0045730,-0.1473243683576584,-0.0559618705714699,REJECT,"asparaginyl-tRNA synthetase 2, mitochondrial",respiratory burst,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1473, 'gene_promotes_biologicalprocess': -0.1739, 'gene_negativelyassociatedwith_biologicalprocess': -0.2795, 'gene_positivelyassociatedwith_biologicalprocess': -0.2314, 'gene_notassociatedwith_biologicalprocess': -0.1889}"
NARS2,gene_biologicalprocess,GO:0034605,-0.00241027120500803,-0.0356325677219588,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",cellular response to heat,[],False,False,False,False,,,
NARS2,gene_promotes_biologicalprocess,GO:0034605,-0.05400823429226875,-0.0617563253450388,ACCEPT,"asparaginyl-tRNA synthetase 2, mitochondrial",cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0553, 'gene_promotes_biologicalprocess': -0.054, 'gene_negativelyassociatedwith_biologicalprocess': -0.1636, 'gene_positivelyassociatedwith_biologicalprocess': -0.0897, 'gene_notassociatedwith_biologicalprocess': -0.2123}"
