head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
22848660,chemicalentity_biologicalprocess,GO:0010150,-1.0965373516082764,-0.232143107153421,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),leaf senescence,[],False,False,False,False,,,
22848660,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.879044234752655,-0.596142909254255,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.879, 'chemicalentity_noeffect_biologicalprocess': -2.6181, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1002, 'chemicalentity_promotes_biologicalprocess': -1.7186, 'chemicalentity_inhibits_biologicalprocess': -1.4498, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9479}"
22848660,chemicalentity_biologicalprocess,GO:0090398,-0.6073384881019592,-0.232143107153421,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),cellular senescence,[],False,False,False,False,,,
22848660,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.1258256733417511,-0.7050372264239742,ACCEPT,2'-deoxyadenosine 5'-monophosphate(2-),cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5, 'chemicalentity_noeffect_biologicalprocess': -1.1651, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5947, 'chemicalentity_promotes_biologicalprocess': -0.4075, 'chemicalentity_inhibits_biologicalprocess': -0.1258, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4573}"
22848660,chemicalentity_biologicalprocess,GO:0090399,-0.9382519721984863,-0.232143107153421,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),replicative senescence,[],False,False,False,False,,,
22848660,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090399,-0.6862859725952148,-0.596142909254255,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),replicative senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6863, 'chemicalentity_noeffect_biologicalprocess': -2.6406, 'chemicalentity_notassociatedwith_biologicalprocess': -1.091, 'chemicalentity_promotes_biologicalprocess': -1.8104, 'chemicalentity_inhibits_biologicalprocess': -1.1883, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.725}"
22848660,chemicalentity_biologicalprocess,GO:1990636,-0.9074370265007019,-0.232143107153421,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),reproductive senescence,[],False,False,False,False,,,
22848660,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990636,-0.8979871869087219,-0.596142909254255,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),reproductive senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.898, 'chemicalentity_noeffect_biologicalprocess': -2.1702, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0078, 'chemicalentity_promotes_biologicalprocess': -1.9968, 'chemicalentity_inhibits_biologicalprocess': -1.7927, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.012}"
22848660,chemicalentity_biologicalprocess,GO:0007049,-1.3492857217788696,-0.232143107153421,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),cell cycle,[],False,False,False,False,,,
22848660,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007049,-0.7024036645889282,-0.596142909254255,REJECT,2'-deoxyadenosine 5'-monophosphate(2-),cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7024, 'chemicalentity_noeffect_biologicalprocess': -2.5494, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0898, 'chemicalentity_promotes_biologicalprocess': -1.1459, 'chemicalentity_inhibits_biologicalprocess': -0.9477, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.986}"
