head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
2723872,chemicalentity_chemicalentity,99513,-0.14387772977352142,-0.2425281074611494,ACCEPT,fructose,5-dehydro-D-fructose,[],False,False,False,False,,,
2723872,chemicalentity_biologicalprocess,GO:0090398,-0.009102731943130493,-0.232143107153421,ACCEPT,fructose,cellular senescence,[],False,False,False,False,,,
2723872,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.004026502836495638,-0.7050372264239742,ACCEPT,fructose,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0575, 'chemicalentity_noeffect_biologicalprocess': -0.4399, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0796, 'chemicalentity_promotes_biologicalprocess': -0.0392, 'chemicalentity_inhibits_biologicalprocess': -0.004, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0726}"
2723872,chemicalentity_biologicalprocess,GO:1904603,-0.05057084932923317,-0.232143107153421,ACCEPT,fructose,regulation of advanced glycation end-product receptor activity,[],False,False,False,False,,,
2723872,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1904603,-0.3029310703277588,-0.596142909254255,ACCEPT,fructose,regulation of advanced glycation end-product receptor activity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3029, 'chemicalentity_noeffect_biologicalprocess': -1.4443, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4036, 'chemicalentity_promotes_biologicalprocess': -0.9206, 'chemicalentity_inhibits_biologicalprocess': -0.488, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3471}"
2723872,chemicalentity_biologicalprocess,GO:0006950,-0.016419174149632454,-0.232143107153421,ACCEPT,fructose,response to stress,[],False,False,False,False,,,
2723872,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006950,-0.18245701491832733,-0.596142909254255,ACCEPT,fructose,response to stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1825, 'chemicalentity_noeffect_biologicalprocess': -1.9381, 'chemicalentity_notassociatedwith_biologicalprocess': -0.457, 'chemicalentity_promotes_biologicalprocess': -0.3341, 'chemicalentity_inhibits_biologicalprocess': -0.1864, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2641}"
2723872,chemicalentity_biologicalprocess,GO:0006839,-0.007431209087371826,-0.232143107153421,ACCEPT,fructose,mitochondrial transport,[],False,False,False,False,,,
2723872,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006839,-0.08758942037820816,-0.596142909254255,ACCEPT,fructose,mitochondrial transport,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0876, 'chemicalentity_noeffect_biologicalprocess': -1.7864, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2435, 'chemicalentity_promotes_biologicalprocess': -0.3617, 'chemicalentity_inhibits_biologicalprocess': -0.1323, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1784}"
2723872,chemicalentity_biologicalprocess,GO:0032543,-0.02081107534468174,-0.232143107153421,ACCEPT,fructose,mitochondrial translation,[],False,False,False,False,,,
