head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
DB16101,chemicalentity_chemicalentity,86289522,-0.42598724365234375,-0.2425281074611494,REJECT,Baicalein,baicalein(1-),[],False,False,False,False,,,
DB16101,chemicalentity_chemicalentity,5281605,-1.154536485671997,-0.2425281074611494,REJECT,Baicalein,"5,6,7-trihydroxy-2-phenylchromen-4-one",[],False,False,False,False,,,
DB16101,chemicalentity_biologicalprocess,GO:0006119,-0.9793189764022827,-0.232143107153421,REJECT,Baicalein,oxidative phosphorylation,[],False,False,False,False,,,
DB16101,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006119,-0.7505174875259399,-0.596142909254255,REJECT,Baicalein,oxidative phosphorylation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7505, 'chemicalentity_noeffect_biologicalprocess': -2.0962, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0038, 'chemicalentity_promotes_biologicalprocess': -1.2637, 'chemicalentity_inhibits_biologicalprocess': -0.802, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1494}"
DB16101,chemicalentity_biologicalprocess,GO:0090398,-0.5304740071296692,-0.232143107153421,REJECT,Baicalein,cellular senescence,[],False,False,False,False,,,
DB16101,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.03560458496212959,-0.7050372264239742,ACCEPT,Baicalein,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.522, 'chemicalentity_noeffect_biologicalprocess': -0.8937, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5141, 'chemicalentity_promotes_biologicalprocess': -0.2246, 'chemicalentity_inhibits_biologicalprocess': -0.0356, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6142}"
DB16101,chemicalentity_biologicalprocess,GO:2000772,-1.0001866817474365,-0.232143107153421,REJECT,Baicalein,regulation of cellular senescence,[],False,False,False,False,,,
DB16101,chemicalentity_inhibits_biologicalprocess,GO:2000772,-0.6659531593322754,-0.7050372264239742,ACCEPT,Baicalein,regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7396, 'chemicalentity_noeffect_biologicalprocess': -2.143, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9446, 'chemicalentity_promotes_biologicalprocess': -1.0527, 'chemicalentity_inhibits_biologicalprocess': -0.666, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2071}"
DB16101,chemicalentity_biologicalprocess,GO:2000774,-0.9735952019691467,-0.232143107153421,REJECT,Baicalein,positive regulation of cellular senescence,[],False,False,False,False,,,
DB16101,chemicalentity_inhibits_biologicalprocess,GO:2000774,-0.69087815284729,-0.7050372264239742,ACCEPT,Baicalein,positive regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7569, 'chemicalentity_noeffect_biologicalprocess': -2.307, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9466, 'chemicalentity_promotes_biologicalprocess': -1.0621, 'chemicalentity_inhibits_biologicalprocess': -0.6909, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9677}"
DB16101,chemicalentity_biologicalprocess,GO:2000773,-0.9422120451927185,-0.232143107153421,REJECT,Baicalein,negative regulation of cellular senescence,[],False,False,False,False,,,
DB16101,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:2000773,-0.7184179425239563,-0.596142909254255,REJECT,Baicalein,negative regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7184, 'chemicalentity_noeffect_biologicalprocess': -1.7064, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1186, 'chemicalentity_promotes_biologicalprocess': -1.1603, 'chemicalentity_inhibits_biologicalprocess': -0.733, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0135}"
DB16101,chemicalentity_protein,Q16681,-0.1959684044122696,-0.3552259656009227,ACCEPT,Baicalein,Xanthine oxidase,[],False,False,False,False,,,
DB16101,chemicalentity_protein,P47990,-0.5909810662269592,-0.3552259656009227,REJECT,Baicalein,Xanthine oxidase,[],False,False,False,False,,,
DB16101,chemicalentity_protein,P22985,-0.5882962942123413,-0.3552259656009227,REJECT,Baicalein,Xanthine oxidase,[],False,False,False,False,,,
DB16101,chemicalentity_biologicalprocess,GO:0034440,-0.9805963039398193,-0.232143107153421,REJECT,Baicalein,lipid oxidation,[],False,False,False,False,,,
