head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PANX1,gene_biologicalprocess,GO:0019722,-0.0040755970403552055,-0.0356325677219588,ACCEPT,pannexin 1,calcium-mediated signaling,[],False,False,False,False,,,
PANX1,gene_inhibits_biologicalprocess,GO:0019722,-0.03464240953326225,-0.0559618705714699,ACCEPT,pannexin 1,calcium-mediated signaling,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0346, 'gene_promotes_biologicalprocess': -0.0357, 'gene_negativelyassociatedwith_biologicalprocess': -0.0933, 'gene_positivelyassociatedwith_biologicalprocess': -0.1016, 'gene_notassociatedwith_biologicalprocess': -0.1153}"
PANX1,gene_biologicalprocess,GO:0055074,-0.00862912181764841,-0.0356325677219588,ACCEPT,pannexin 1,calcium ion homeostasis,[],False,False,False,False,,,
PANX1,gene_promotes_biologicalprocess,GO:0055074,-0.10288555175065994,-0.0617563253450388,REJECT,pannexin 1,calcium ion homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.122, 'gene_promotes_biologicalprocess': -0.1029, 'gene_negativelyassociatedwith_biologicalprocess': -0.2554, 'gene_positivelyassociatedwith_biologicalprocess': -0.3026, 'gene_notassociatedwith_biologicalprocess': -0.1985}"
PANX1,gene_biologicalprocess,GO:0051560,-0.008214632980525494,-0.0356325677219588,ACCEPT,pannexin 1,mitochondrial calcium ion homeostasis,[],False,False,False,False,,,
PANX1,gene_promotes_biologicalprocess,GO:0051560,-0.12021303921937943,-0.0617563253450388,REJECT,pannexin 1,mitochondrial calcium ion homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1408, 'gene_promotes_biologicalprocess': -0.1202, 'gene_negativelyassociatedwith_biologicalprocess': -0.1923, 'gene_positivelyassociatedwith_biologicalprocess': -0.1996, 'gene_notassociatedwith_biologicalprocess': -0.1671}"
PANX1,gene_cellularcomponent,GO:0044233,-0.0035970364697277546,-0.0358198597771757,ACCEPT,pannexin 1,mitochondria-associated endoplasmic reticulum membrane contact site,[],False,False,False,False,,,
PANX1,gene_cellularcomponent,GO:0005783,-0.0017039261292666197,-0.0358198597771757,ACCEPT,pannexin 1,endoplasmic reticulum,['CellularComponent_Gene'],False,True,True,False,CellularComponent_Gene,,
PANX1,gene_biologicalprocess,GO:0046792,-0.08362605422735214,-0.0356325677219588,REJECT,pannexin 1,obsolete suppression by virus of host cell cycle arrest,[],False,False,False,False,,,
PANX1,gene_notassociatedwith_biologicalprocess,GO:0046792,-0.4798913896083832,-0.1941926147433079,REJECT,pannexin 1,obsolete suppression by virus of host cell cycle arrest,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5398, 'gene_promotes_biologicalprocess': -0.5486, 'gene_negativelyassociatedwith_biologicalprocess': -0.5359, 'gene_positivelyassociatedwith_biologicalprocess': -0.5445, 'gene_notassociatedwith_biologicalprocess': -0.4799}"
PANX1,gene_phenotype,renal fibrosis,-0.01474742777645588,-0.0347684314162952,ACCEPT,pannexin 1,renal fibrosis,[],False,False,False,False,,,
PANX1,gene_phenotype,HP:0030760,-0.010703557170927525,-0.0347684314162952,ACCEPT,pannexin 1,Renal fibrosis,[],False,False,False,False,,,
PANX1,gene_phenotype,MP:0003985,-0.024221669882535934,-0.0347684314162952,ACCEPT,pannexin 1,renal fibrosis,[],False,False,False,False,,,
PANX1,gene_phenotype,renal glomerulus fibrosis,-0.011274529621005058,-0.0347684314162952,ACCEPT,pannexin 1,renal glomerulus fibrosis,[],False,False,False,False,,,
PANX1,gene_disease,DOID:0050855,-0.008777809329330921,-0.0375339126131901,ACCEPT,pannexin 1,renal fibrosis,[],False,False,False,False,,,
PANX1,gene_biologicalprocess,GO:0036503,-0.006619493942707777,-0.0356325677219588,ACCEPT,pannexin 1,ERAD pathway,[],False,False,False,False,,,
