head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
GO:0008410,molecularfunction_molecularfunction,GO:0033608,-0.07694616913795471,-0.0413108806514266,REJECT,CoA-transferase activity,formyl-CoA transferase activity,['MolecularFunction_MolecularFunction'],False,True,True,False,MolecularFunction_MolecularFunction
GO:0008410,molecularfunction_molecularfunction,GO:0008775,-0.07904252409934998,-0.0413108806514266,REJECT,CoA-transferase activity,acetate CoA-transferase activity,['MolecularFunction_MolecularFunction'],False,True,True,False,MolecularFunction_MolecularFunction
GO:0008410,molecularfunction_molecularfunction,GO:0008814,-0.0427565760910511,-0.0413108806514266,REJECT,CoA-transferase activity,citrate CoA-transferase activity,['MolecularFunction_MolecularFunction'],False,True,True,False,MolecularFunction_MolecularFunction
GO:0008410,molecularfunction_biologicalprocess,GO:0070370,-0.03400595858693123,-0.0147993624499696,REJECT,CoA-transferase activity,cellular heat acclimation,[],False,False,False,False,
GO:0033608,molecularfunction_molecularfunction,GO:0008775,-0.22855761647224426,-0.0413108806514266,REJECT,formyl-CoA transferase activity,acetate CoA-transferase activity,[],False,False,False,False,
GO:0033608,molecularfunction_molecularfunction,GO:0008814,-0.15048810839653015,-0.0413108806514266,REJECT,formyl-CoA transferase activity,citrate CoA-transferase activity,[],False,False,False,False,
GO:0033608,molecularfunction_biologicalprocess,GO:0070370,-0.11795319616794586,-0.0147993624499696,REJECT,formyl-CoA transferase activity,cellular heat acclimation,[],False,False,False,False,
GO:0008775,molecularfunction_molecularfunction,GO:0008814,-0.17518997192382812,-0.0413108806514266,REJECT,acetate CoA-transferase activity,citrate CoA-transferase activity,[],False,False,False,False,
GO:0008775,molecularfunction_biologicalprocess,GO:0070370,-0.1499621719121933,-0.0147993624499696,REJECT,acetate CoA-transferase activity,cellular heat acclimation,[],False,False,False,False,
GO:0008814,molecularfunction_biologicalprocess,GO:0070370,-0.12596558034420013,-0.0147993624499696,REJECT,citrate CoA-transferase activity,cellular heat acclimation,[],False,False,False,False,
