head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
Q07068,protein_protein,Q6FR37,-0.6341235041618347,-0.2036837140803804,REJECT,"Tropomyosin, smooth muscle/fibroblast CTM1",Cytochrome c lysine N-methyltransferase 1,[],False,False,False,False,
Q07068,protein_protein,P38818,-0.9196447730064392,-0.2036837140803804,REJECT,"Tropomyosin, smooth muscle/fibroblast CTM1",Cytochrome c lysine N-methyltransferase 1,[],False,False,False,False,
Q07068,protein_biologicalprocess,GO:1990451,-0.6041480302810669,-0.5776643345681309,REJECT,"Tropomyosin, smooth muscle/fibroblast CTM1",cellular stress response to acidic pH,[],False,False,False,False,
Q07068,protein_biologicalprocess,GO:0033554,-0.6498117446899414,-0.5776643345681309,REJECT,"Tropomyosin, smooth muscle/fibroblast CTM1",cellular response to stress,[],False,False,False,False,
Q6FR37,protein_protein,P38818,-0.9390286207199097,-0.2036837140803804,REJECT,Cytochrome c lysine N-methyltransferase 1,Cytochrome c lysine N-methyltransferase 1,[],False,False,False,False,
Q6FR37,protein_biologicalprocess,GO:1990451,-0.5711471438407898,-0.5776643345681309,ACCEPT,Cytochrome c lysine N-methyltransferase 1,cellular stress response to acidic pH,[],False,False,False,False,
Q6FR37,protein_biologicalprocess,GO:0033554,-0.5619749426841736,-0.5776643345681309,ACCEPT,Cytochrome c lysine N-methyltransferase 1,cellular response to stress,[],False,False,False,False,
P38818,protein_biologicalprocess,GO:1990451,-0.5678861737251282,-0.5776643345681309,ACCEPT,Cytochrome c lysine N-methyltransferase 1,cellular stress response to acidic pH,[],False,False,False,False,
P38818,protein_biologicalprocess,GO:0033554,-0.5932866334915161,-0.5776643345681309,REJECT,Cytochrome c lysine N-methyltransferase 1,cellular response to stress,[],False,False,False,False,
GO:1990451,biologicalprocess_biologicalprocess,GO:0033554,-0.013958596624433994,-0.0422867482620858,ACCEPT,cellular stress response to acidic pH,cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
