head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q6K431,protein_protein,B7Z1F4,-3.4745116233825684,-0.2036837140803804,REJECT,Histone-lysine N-methyltransferase TRX1 {ECO:0000305},"Thioredoxin reductase 1, cytoplasmic {ECO:0000305}",[],False,False,False,False,,,
Q6K431,protein_biologicalprocess,GO:0009455,-0.9434497356414795,-0.5776643345681309,REJECT,Histone-lysine N-methyltransferase TRX1 {ECO:0000305},redox taxis,[],False,False,False,False,,,
Q6K431,protein_biologicalprocess,GO:0070370,-0.27824002504348755,-0.5776643345681309,ACCEPT,Histone-lysine N-methyltransferase TRX1 {ECO:0000305},cellular heat acclimation,[],False,False,False,False,,,
TRX1,gene_protein,Q6K431,-1.6826434135437012,-0.0280984394514378,REJECT,thioredoxin,Histone-lysine N-methyltransferase TRX1 {ECO:0000305},[],False,False,False,False,,,
TRX1,gene_protein,B7Z1F4,-2.5209012031555176,-0.0280984394514378,REJECT,thioredoxin,"Thioredoxin reductase 1, cytoplasmic {ECO:0000305}",[],False,False,False,False,,,
TRX1,gene_biologicalprocess,GO:0009455,-1.1558587551116943,-0.0356325677219588,REJECT,thioredoxin,redox taxis,[],False,False,False,False,,,
TRX1,gene_notassociatedwith_biologicalprocess,GO:0009455,-0.8128518462181091,-0.1941926147433079,REJECT,thioredoxin,redox taxis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.2762, 'gene_promotes_biologicalprocess': -1.2685, 'gene_negativelyassociatedwith_biologicalprocess': -0.9399, 'gene_positivelyassociatedwith_biologicalprocess': -0.8271, 'gene_notassociatedwith_biologicalprocess': -0.8129}"
TRX1,gene_biologicalprocess,GO:0070370,-2.185060739517212,-0.0356325677219588,REJECT,thioredoxin,cellular heat acclimation,[],False,False,False,False,,,
TRX1,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-1.113311767578125,-0.0730086550790463,REJECT,thioredoxin,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.8542, 'gene_promotes_biologicalprocess': -1.8043, 'gene_negativelyassociatedwith_biologicalprocess': -1.2976, 'gene_positivelyassociatedwith_biologicalprocess': -1.1133, 'gene_notassociatedwith_biologicalprocess': -1.1562}"
B7Z1F4,protein_biologicalprocess,GO:0009455,-0.1493949145078659,-0.5776643345681309,ACCEPT,"Thioredoxin reductase 1, cytoplasmic {ECO:0000305}",redox taxis,[],False,False,False,False,,,
B7Z1F4,protein_biologicalprocess,GO:0070370,-0.011848537251353264,-0.5776643345681309,ACCEPT,"Thioredoxin reductase 1, cytoplasmic {ECO:0000305}",cellular heat acclimation,[],False,False,False,False,,,
GO:0009455,biologicalprocess_biologicalprocess,GO:0070370,-0.9725385904312134,-0.0422867482620858,REJECT,redox taxis,cellular heat acclimation,[],False,False,False,False,,,
