head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ADH5,gene_gene,adh5,-0.018242698162794113,-0.071739344080056,ACCEPT,"alcohol dehydrogenase 5 (class III), chi polypeptide",alcohol dehydrogenase 5,[],False,False,False,False,,,
ADH5,gene_protein,B4M8Y0,-0.019077850505709648,-0.0280984394514378,ACCEPT,"alcohol dehydrogenase 5 (class III), chi polypeptide",Alcohol dehydrogenase,[],False,False,False,False,,,
ADH5,gene_protein,Q05114,-0.04277362301945686,-0.0280984394514378,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",Alcohol dehydrogenase,[],False,False,False,False,,,
ADH5,gene_gene,D2063.1,-0.18436090648174286,-0.071739344080056,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",alcohol dehydrogenase,[],False,False,False,False,,,
ADH5,gene_biologicalprocess,GO:0071502,-0.015680473297834396,-0.0356325677219588,ACCEPT,"alcohol dehydrogenase 5 (class III), chi polypeptide",cellular response to temperature stimulus,[],False,False,False,False,,,
ADH5,gene_promotes_biologicalprocess,GO:0071502,-0.1124914214015007,-0.0617563253450388,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1371, 'gene_promotes_biologicalprocess': -0.1125, 'gene_negativelyassociatedwith_biologicalprocess': -0.1679, 'gene_positivelyassociatedwith_biologicalprocess': -0.1543, 'gene_notassociatedwith_biologicalprocess': -0.2246}"
ADH5,gene_biologicalprocess,GO:0051776,-0.07320529967546463,-0.0356325677219588,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",detection of redox state,[],False,False,False,False,,,
ADH5,gene_negativelyassociatedwith_biologicalprocess,GO:0051776,-0.43046751618385315,-0.1070524565571329,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",detection of redox state,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.438, 'gene_promotes_biologicalprocess': -0.4393, 'gene_negativelyassociatedwith_biologicalprocess': -0.4305, 'gene_positivelyassociatedwith_biologicalprocess': -0.4404, 'gene_notassociatedwith_biologicalprocess': -0.4322}"
ADH5,gene_biologicalprocess,GO:0051775,-0.04273277521133423,-0.0356325677219588,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",response to redox state,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
ADH5,gene_promotes_biologicalprocess,GO:0051775,-0.2148660272359848,-0.0617563253450388,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",response to redox state,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.2651, 'gene_promotes_biologicalprocess': -0.2149, 'gene_negativelyassociatedwith_biologicalprocess': -0.2998, 'gene_positivelyassociatedwith_biologicalprocess': -0.2225, 'gene_notassociatedwith_biologicalprocess': -0.516}"
ADH5,gene_biologicalprocess,GO:0040007,-0.014422133564949036,-0.0356325677219588,ACCEPT,"alcohol dehydrogenase 5 (class III), chi polypeptide",growth,[],False,False,False,False,,,
ADH5,gene_inhibits_biologicalprocess,GO:0040007,-0.18460187315940857,-0.0559618705714699,REJECT,"alcohol dehydrogenase 5 (class III), chi polypeptide",growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1846, 'gene_promotes_biologicalprocess': -0.1909, 'gene_negativelyassociatedwith_biologicalprocess': -0.381, 'gene_positivelyassociatedwith_biologicalprocess': -0.3281, 'gene_notassociatedwith_biologicalprocess': -0.3652}"
adh5,gene_protein,B4M8Y0,-0.025778086856007576,-0.0280984394514378,ACCEPT,alcohol dehydrogenase 5,Alcohol dehydrogenase,[],False,False,False,False,,,
adh5,gene_protein,Q05114,-0.05889397859573364,-0.0280984394514378,REJECT,alcohol dehydrogenase 5,Alcohol dehydrogenase,[],False,False,False,False,,,
adh5,gene_gene,D2063.1,-0.2051202952861786,-0.071739344080056,REJECT,alcohol dehydrogenase 5,alcohol dehydrogenase,[],False,False,False,False,,,
adh5,gene_biologicalprocess,GO:0071502,-0.019187023863196373,-0.0356325677219588,ACCEPT,alcohol dehydrogenase 5,cellular response to temperature stimulus,[],False,False,False,False,,,
adh5,gene_promotes_biologicalprocess,GO:0071502,-0.11748462170362473,-0.0617563253450388,REJECT,alcohol dehydrogenase 5,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1328, 'gene_promotes_biologicalprocess': -0.1175, 'gene_negativelyassociatedwith_biologicalprocess': -0.1649, 'gene_positivelyassociatedwith_biologicalprocess': -0.1782, 'gene_notassociatedwith_biologicalprocess': -0.1992}"
adh5,gene_biologicalprocess,GO:0051776,-0.08323991298675537,-0.0356325677219588,REJECT,alcohol dehydrogenase 5,detection of redox state,[],False,False,False,False,,,
adh5,gene_notassociatedwith_biologicalprocess,GO:0051776,-0.39234206080436707,-0.1941926147433079,REJECT,alcohol dehydrogenase 5,detection of redox state,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4377, 'gene_promotes_biologicalprocess': -0.439, 'gene_negativelyassociatedwith_biologicalprocess': -0.3992, 'gene_positivelyassociatedwith_biologicalprocess': -0.4945, 'gene_notassociatedwith_biologicalprocess': -0.3923}"
