head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YPR159W,gene_protein,P32486,-0.12400505691766739,-0.0280984394514378,REJECT,beta-glucan synthesis-associated protein KRE6,Beta-glucan synthesis-associated protein KRE6,[],False,False,False,False,,,
YPR159W,gene_biologicalprocess,GO:0006078,-0.22770704329013824,-0.0356325677219588,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan biosynthetic process,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
YPR159W,gene_positivelyassociatedwith_biologicalprocess,GO:0006078,-0.614361584186554,-0.0730086550790463,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan biosynthetic process,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.8231, 'gene_promotes_biologicalprocess': -0.8258, 'gene_negativelyassociatedwith_biologicalprocess': -0.8855, 'gene_positivelyassociatedwith_biologicalprocess': -0.6144, 'gene_notassociatedwith_biologicalprocess': -0.7604}"
YPR159W,gene_biologicalprocess,GO:0006079,-0.27828603982925415,-0.0356325677219588,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan catabolic process,[],False,False,False,False,,,
YPR159W,gene_positivelyassociatedwith_biologicalprocess,GO:0006079,-0.6651447415351868,-0.0730086550790463,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan catabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.8914, 'gene_promotes_biologicalprocess': -0.8966, 'gene_negativelyassociatedwith_biologicalprocess': -0.7927, 'gene_positivelyassociatedwith_biologicalprocess': -0.6651, 'gene_notassociatedwith_biologicalprocess': -0.9268}"
YPR159W,gene_biologicalprocess,GO:0006077,-0.3204185664653778,-0.0356325677219588,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan metabolic process,[],False,False,False,False,,,
YPR159W,gene_positivelyassociatedwith_biologicalprocess,GO:0006077,-0.8692023158073425,-0.0730086550790463,REJECT,beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.195, 'gene_promotes_biologicalprocess': -1.3987, 'gene_negativelyassociatedwith_biologicalprocess': -0.9635, 'gene_positivelyassociatedwith_biologicalprocess': -0.8692, 'gene_notassociatedwith_biologicalprocess': -0.9206}"
YPR159W,gene_biologicalprocess,GO:0051274,-0.21639980375766754,-0.0356325677219588,REJECT,beta-glucan synthesis-associated protein KRE6,beta-glucan biosynthetic process,[],False,False,False,False,,,
YPR159W,gene_positivelyassociatedwith_biologicalprocess,GO:0051274,-0.45687487721443176,-0.0730086550790463,REJECT,beta-glucan synthesis-associated protein KRE6,beta-glucan biosynthetic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6543, 'gene_promotes_biologicalprocess': -0.7417, 'gene_negativelyassociatedwith_biologicalprocess': -0.6758, 'gene_positivelyassociatedwith_biologicalprocess': -0.4569, 'gene_notassociatedwith_biologicalprocess': -0.4699}"
P32486,protein_biologicalprocess,GO:0006078,-0.24207673966884613,-0.5776643345681309,ACCEPT,Beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan biosynthetic process,['Protein_BiologicalProcess'],False,True,True,False,Protein_BiologicalProcess,,
P32486,protein_biologicalprocess,GO:0006079,-0.43874016404151917,-0.5776643345681309,ACCEPT,Beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan catabolic process,[],False,False,False,False,,,
P32486,protein_biologicalprocess,GO:0006077,-0.48879295587539673,-0.5776643345681309,ACCEPT,Beta-glucan synthesis-associated protein KRE6,(1->6)-beta-D-glucan metabolic process,[],False,False,False,False,,,
P32486,protein_biologicalprocess,GO:0051274,-0.3981776535511017,-0.5776643345681309,ACCEPT,Beta-glucan synthesis-associated protein KRE6,beta-glucan biosynthetic process,[],False,False,False,False,,,
GO:0006078,biologicalprocess_biologicalprocess,GO:0006079,-0.18335284292697906,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan biosynthetic process,(1->6)-beta-D-glucan catabolic process,[],False,False,False,False,,,
GO:0006078,biologicalprocess_biologicalprocess,GO:0006077,-0.13442373275756836,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan biosynthetic process,(1->6)-beta-D-glucan metabolic process,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006078,biologicalprocess_biologicalprocess,GO:0051274,-0.22752045094966888,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan biosynthetic process,beta-glucan biosynthetic process,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006079,biologicalprocess_biologicalprocess,GO:0006077,-0.24345465004444122,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan catabolic process,(1->6)-beta-D-glucan metabolic process,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006079,biologicalprocess_biologicalprocess,GO:0051274,-0.35199177265167236,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan catabolic process,beta-glucan biosynthetic process,[],False,False,False,False,,,
GO:0006077,biologicalprocess_biologicalprocess,GO:0051274,-0.8935010433197021,-0.0422867482620858,REJECT,(1->6)-beta-D-glucan metabolic process,beta-glucan biosynthetic process,[],False,False,False,False,,,
