head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PNC1,gene_chemicalentity,14180,-3.3665761947631836,-0.0285922419958417,REJECT,nicotinamidase,nicotinamide mononucleotide,[],False,False,False,False,,,
PNC1,gene_chemicalentity,121992,-1.229461908340454,-0.0285922419958417,REJECT,nicotinamidase,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]pyridin-1-ium-3-carboxylic acid",[],False,False,False,False,,,
PNC1,gene_biologicalprocess,GO:0070370,-2.078052043914795,-0.0356325677219588,REJECT,nicotinamidase,cellular heat acclimation,[],False,False,False,False,,,
PNC1,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-0.9584122896194458,-0.0730086550790463,REJECT,nicotinamidase,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.5186, 'gene_promotes_biologicalprocess': -1.7448, 'gene_negativelyassociatedwith_biologicalprocess': -1.2623, 'gene_positivelyassociatedwith_biologicalprocess': -0.9584, 'gene_notassociatedwith_biologicalprocess': -1.4766}"
PNC1,gene_biologicalprocess,GO:0016310,-2.601465940475464,-0.0356325677219588,REJECT,nicotinamidase,phosphorylation,[],False,False,False,False,,,
PNC1,gene_inhibits_biologicalprocess,GO:0016310,-1.2954869270324707,-0.0559618705714699,REJECT,nicotinamidase,phosphorylation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.2955, 'gene_promotes_biologicalprocess': -1.5395, 'gene_negativelyassociatedwith_biologicalprocess': -1.7859, 'gene_positivelyassociatedwith_biologicalprocess': -1.3939, 'gene_notassociatedwith_biologicalprocess': -1.8739}"
PNC1,gene_biologicalprocess,GO:0031555,-1.3613245487213135,-0.0356325677219588,REJECT,nicotinamidase,transcriptional attenuation,[],False,False,False,False,,,
PNC1,gene_positivelyassociatedwith_biologicalprocess,GO:0031555,-0.9335875511169434,-0.0730086550790463,REJECT,nicotinamidase,transcriptional attenuation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.0492, 'gene_promotes_biologicalprocess': -1.2953, 'gene_negativelyassociatedwith_biologicalprocess': -1.1689, 'gene_positivelyassociatedwith_biologicalprocess': -0.9336, 'gene_notassociatedwith_biologicalprocess': -1.2332}"
PNC1,gene_phenotype,abnormal survival,-2.6707911491394043,-0.0347684314162952,REJECT,nicotinamidase,abnormal survival,[],False,False,False,False,,,
PNC1,gene_phenotype,MP:0010769,-2.0834503173828125,-0.0347684314162952,REJECT,nicotinamidase,abnormal survival,[],False,False,False,False,,,
PNC1,gene_protein,Q9HGN8,-1.1155714988708496,-0.0280984394514378,REJECT,nicotinamidase,Survival factor 2,[],False,False,False,False,,,
PNC1,gene_biologicalprocess,GO:0009266,-3.3740832805633545,-0.0356325677219588,REJECT,nicotinamidase,response to temperature stimulus,[],False,False,False,False,,,
PNC1,gene_inhibits_biologicalprocess,GO:0009266,-1.834324598312378,-0.0559618705714699,REJECT,nicotinamidase,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.8343, 'gene_promotes_biologicalprocess': -2.1223, 'gene_negativelyassociatedwith_biologicalprocess': -2.5865, 'gene_positivelyassociatedwith_biologicalprocess': -1.9998, 'gene_notassociatedwith_biologicalprocess': -2.4499}"
PNC1,gene_biologicalprocess,GO:0016048,-2.219892740249634,-0.0356325677219588,REJECT,nicotinamidase,detection of temperature stimulus,[],False,False,False,False,,,
PNC1,gene_positivelyassociatedwith_biologicalprocess,GO:0016048,-1.0426104068756104,-0.0730086550790463,REJECT,nicotinamidase,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.4944, 'gene_promotes_biologicalprocess': -1.6771, 'gene_negativelyassociatedwith_biologicalprocess': -1.5435, 'gene_positivelyassociatedwith_biologicalprocess': -1.0426, 'gene_notassociatedwith_biologicalprocess': -1.9048}"
14180,chemicalentity_chemicalentity,121992,-0.3156149089336395,-0.2425281074611494,REJECT,nicotinamide mononucleotide,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]pyridin-1-ium-3-carboxylic acid",[],False,False,False,False,,,
14180,chemicalentity_biologicalprocess,GO:0070370,-0.34162285923957825,-0.232143107153421,REJECT,nicotinamide mononucleotide,cellular heat acclimation,[],False,False,False,False,,,
14180,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.33842042088508606,-0.7050372264239742,ACCEPT,nicotinamide mononucleotide,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5023, 'chemicalentity_noeffect_biologicalprocess': -1.1994, 'chemicalentity_notassociatedwith_biologicalprocess': -0.694, 'chemicalentity_promotes_biologicalprocess': -0.5651, 'chemicalentity_inhibits_biologicalprocess': -0.3384, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8137}"
14180,chemicalentity_biologicalprocess,GO:0016310,-0.36928510665893555,-0.232143107153421,REJECT,nicotinamide mononucleotide,phosphorylation,[],False,False,False,False,,,
14180,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0016310,-0.22212335467338562,-0.596142909254255,ACCEPT,nicotinamide mononucleotide,phosphorylation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2221, 'chemicalentity_noeffect_biologicalprocess': -1.6728, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4287, 'chemicalentity_promotes_biologicalprocess': -0.3841, 'chemicalentity_inhibits_biologicalprocess': -0.2762, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5329}"
14180,chemicalentity_biologicalprocess,GO:0031555,-0.49922314286231995,-0.232143107153421,REJECT,nicotinamide mononucleotide,transcriptional attenuation,[],False,False,False,False,,,
14180,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0031555,-0.5939394235610962,-0.596142909254255,ACCEPT,nicotinamide mononucleotide,transcriptional attenuation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5939, 'chemicalentity_noeffect_biologicalprocess': -1.7216, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6473, 'chemicalentity_promotes_biologicalprocess': -1.4364, 'chemicalentity_inhibits_biologicalprocess': -1.0926, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6954}"
