head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q12676,protein_protein,Q9UTD0,-0.82008957862854,-0.2036837140803804,REJECT,Dihydrofolate synthetase,Probable dihydrofolate synthetase,['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q12676,protein_protein,F4JYE9,-0.9407858848571777,-0.2036837140803804,REJECT,Dihydrofolate synthetase,Dihydrofolate synthetase {ECO:0000303|PubMed:11752472},['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q12676,protein_biologicalprocess,GO:0046656,-0.4577639698982239,-0.5776643345681309,ACCEPT,Dihydrofolate synthetase,folic acid biosynthetic process,[],False,False,False,False,,,
Q12676,protein_phenotype,HP:0020122,-1.103707194328308,-0.0497034494975703,REJECT,Dihydrofolate synthetase,Bite cells,[],False,False,False,False,,,
Q12676,protein_phenotype,HP:0003651,-1.1789021492004395,-0.0497034494975703,REJECT,Dihydrofolate synthetase,Foam cells,[],False,False,False,False,,,
Q12676,protein_phenotype,HP:0034280,-0.9538804888725281,-0.0497034494975703,REJECT,Dihydrofolate synthetase,Target cells,[],False,False,False,False,,,
Q12676,protein_disease,C4281786,-0.4868820309638977,-0.1452060252739286,REJECT,Dihydrofolate synthetase,foam cells,[],False,False,False,False,,,
Q12676,protein_protein,A9C3R8,-0.570469856262207,-0.2036837140803804,REJECT,Dihydrofolate synthetase,Retinal Mueller cells isomerohydrolase,[],False,False,False,False,,,
Q12676,protein_biologicalprocess,GO:0008152,-0.36532407999038696,-0.5776643345681309,ACCEPT,Dihydrofolate synthetase,metabolic process,[],False,False,False,False,,,
Q9UTD0,protein_protein,F4JYE9,-0.8386425971984863,-0.2036837140803804,REJECT,Probable dihydrofolate synthetase,Dihydrofolate synthetase {ECO:0000303|PubMed:11752472},[],False,False,False,False,,,
Q9UTD0,protein_biologicalprocess,GO:0046656,-0.2457028031349182,-0.5776643345681309,ACCEPT,Probable dihydrofolate synthetase,folic acid biosynthetic process,[],False,False,False,False,,,
Q9UTD0,protein_phenotype,HP:0020122,-0.6974807977676392,-0.0497034494975703,REJECT,Probable dihydrofolate synthetase,Bite cells,[],False,False,False,False,,,
Q9UTD0,protein_phenotype,HP:0003651,-0.6953712701797485,-0.0497034494975703,REJECT,Probable dihydrofolate synthetase,Foam cells,[],False,False,False,False,,,
