head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
4788,chemicalentity_biologicalprocess,GO:0006954,-0.00898061878979206,-0.232143107153421,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",inflammatory response,[],False,False,False,False,,,
4788,chemicalentity_inhibits_biologicalprocess,GO:0006954,-0.04136267676949501,-0.7050372264239742,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0541, 'chemicalentity_noeffect_biologicalprocess': -1.1755, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1237, 'chemicalentity_promotes_biologicalprocess': -0.1137, 'chemicalentity_inhibits_biologicalprocess': -0.0414, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0782}"
4788,chemicalentity_pathway,R-HSA-2559582,-0.002518834313377738,-0.3200630854546729,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
4788,chemicalentity_protein,P54379,-0.4857620596885681,-0.3552259656009227,REJECT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
4788,chemicalentity_protein,E5RK50,-0.12461039423942566,-0.3552259656009227,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
4788,chemicalentity_pathway,R-HSA-6788467,-0.004625133238732815,-0.3200630854546729,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
4788,chemicalentity_gene,IL-6,-0.24211761355400085,-0.2458965898096785,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",interleukin 6,[],False,False,False,False,,,
4788,chemicalentity_protein,B2R4L8,-0.004433714784681797,-0.3552259656009227,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",IL-8(9-77),[],False,False,False,False,,,
4788,chemicalentity_protein,P10145,-0.004106157924979925,-0.3552259656009227,ACCEPT,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",IL-8(9-77),[],False,False,False,False,,,
GO:0006954,biologicalprocess_protein,P54379,-0.10200139135122299,-0.4342587681103441,ACCEPT,inflammatory response,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
GO:0006954,biologicalprocess_protein,E5RK50,-0.12930315732955933,-0.4342587681103441,ACCEPT,inflammatory response,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
GO:0006954,biologicalprocess_gene,IL-6,-0.24802260100841522,-0.085789182677173,REJECT,inflammatory response,interleukin 6,[],False,False,False,False,,,
IL-6,gene_notassociatedwith_biologicalprocess,GO:0006954,-0.9225507378578186,-0.1941926147433079,REJECT,interleukin 6,inflammatory response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3015, 'gene_promotes_biologicalprocess': -1.2016, 'gene_negativelyassociatedwith_biologicalprocess': -1.0953, 'gene_positivelyassociatedwith_biologicalprocess': -0.9706, 'gene_notassociatedwith_biologicalprocess': -0.9226}"
