head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q04458,protein_chemicalentity,5283544,-0.9477826356887817,-0.1571110372511136,REJECT,Fatty aldehyde dehydrogenase HFD1,ubiquinone-6,[],False,False,False,False,,,
Q04458,protein_pathway,KEGG:map00600,-0.5100472569465637,-0.0332625891724323,REJECT,Fatty aldehyde dehydrogenase HFD1,Sphingolipid metabolism,[],False,False,False,False,,,
Q04458,protein_pathway,R-HSA-428157,-0.33106040954589844,-0.0332625891724323,REJECT,Fatty aldehyde dehydrogenase HFD1,Sphingolipid metabolism,[],False,False,False,False,,,
Q04458,protein_phenotype,WBPhenotype:0002484,-0.7455294132232666,-0.0497034494975703,REJECT,Fatty aldehyde dehydrogenase HFD1,membrane fluidity variant,[],False,False,False,False,,,
Q04458,protein_phenotype,WBPhenotype:0002361,-0.6529235243797302,-0.0497034494975703,REJECT,Fatty aldehyde dehydrogenase HFD1,membrane fluidity increased,[],False,False,False,False,,,
Q04458,protein_phenotype,WBPhenotype:0000138,-0.6558734774589539,-0.0497034494975703,REJECT,Fatty aldehyde dehydrogenase HFD1,lipid composition variant,[],False,False,False,False,,,
Q04458,protein_biologicalprocess,GO:0070370,-0.19075636565685272,-0.5776643345681309,ACCEPT,Fatty aldehyde dehydrogenase HFD1,cellular heat acclimation,[],False,False,False,False,,,
5283544,chemicalentity_pathway,KEGG:map00600,-0.8854299783706665,-0.3200630854546729,REJECT,ubiquinone-6,Sphingolipid metabolism,[],False,False,False,False,,,
5283544,chemicalentity_pathway,R-HSA-428157,-0.6807458400726318,-0.3200630854546729,REJECT,ubiquinone-6,Sphingolipid metabolism,[],False,False,False,False,,,
5283544,chemicalentity_biologicalprocess,GO:0070370,-1.1998677253723145,-0.232143107153421,REJECT,ubiquinone-6,cellular heat acclimation,[],False,False,False,False,,,
5283544,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0070370,-0.7983769774436951,-0.596142909254255,REJECT,ubiquinone-6,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7984, 'chemicalentity_noeffect_biologicalprocess': -2.0621, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1592, 'chemicalentity_promotes_biologicalprocess': -1.3908, 'chemicalentity_inhibits_biologicalprocess': -0.9899, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3363}"
KEGG:map00600,pathway_pathway,R-HSA-428157,-4.563406467437744,-0.0291625673052831,REJECT,Sphingolipid metabolism,Sphingolipid metabolism,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_chemicalentity,5283544,-2.20139479637146,-0.1369889979525682,REJECT,membrane fluidity variant,ubiquinone-6,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0002361,-1.7013975381851196,-0.150242852206178,REJECT,membrane fluidity variant,membrane fluidity increased,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0000138,-4.203738689422607,-0.150242852206178,REJECT,membrane fluidity variant,lipid composition variant,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0070370,-0.9045189023017883,-0.607891854730636,REJECT,membrane fluidity variant,cellular heat acclimation,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_chemicalentity,5283544,-1.8845674991607666,-0.1369889979525682,REJECT,membrane fluidity increased,ubiquinone-6,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_phenotype,WBPhenotype:0000138,-3.0795271396636963,-0.150242852206178,REJECT,membrane fluidity increased,lipid composition variant,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_biologicalprocess,GO:0070370,-0.572074294090271,-0.607891854730636,ACCEPT,membrane fluidity increased,cellular heat acclimation,[],False,False,False,False,,,
WBPhenotype:0000138,phenotype_chemicalentity,5283544,-0.515214204788208,-0.1369889979525682,REJECT,lipid composition variant,ubiquinone-6,[],False,False,False,False,,,
WBPhenotype:0000138,phenotype_biologicalprocess,GO:0070370,-0.08021730184555054,-0.607891854730636,ACCEPT,lipid composition variant,cellular heat acclimation,[],False,False,False,False,,,
