head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
49852346,chemicalentity_chemicalentity,49852435,-0.8156135678291321,-0.2425281074611494,REJECT,dTDP-rhamnose,UDP-rhamnose(2-),[],False,False,False,False,,,
49852346,chemicalentity_chemicalentity,86290151,-2.0290122032165527,-0.2425281074611494,REJECT,dTDP-rhamnose,UDP-beta-L-rhamnose(2-),[],False,False,False,False,,,
49852346,chemicalentity_chemicalentity,25310,-2.785061836242676,-0.2425281074611494,REJECT,dTDP-rhamnose,L-rhamnopyranose,[],False,False,False,False,,,
49852346,chemicalentity_biologicalprocess,GO:0006954,-6.008307456970215,-0.232143107153421,REJECT,dTDP-rhamnose,inflammatory response,[],False,False,False,False,,,
49852346,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-2.684929132461548,-0.596142909254255,REJECT,dTDP-rhamnose,inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -2.6849, 'chemicalentity_noeffect_biologicalprocess': -4.1465, 'chemicalentity_notassociatedwith_biologicalprocess': -3.1838, 'chemicalentity_promotes_biologicalprocess': -3.922, 'chemicalentity_inhibits_biologicalprocess': -3.5911, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -3.3727}"
49852346,chemicalentity_pathway,R-HSA-2559582,-4.0174994468688965,-0.3200630854546729,REJECT,dTDP-rhamnose,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
49852346,chemicalentity_protein,P54379,-1.6365842819213867,-0.3552259656009227,REJECT,dTDP-rhamnose,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
49852346,chemicalentity_protein,E5RK50,-1.7896686792373657,-0.3552259656009227,REJECT,dTDP-rhamnose,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
49852346,chemicalentity_gene,IL-6,-1.1883177757263184,-0.2458965898096785,REJECT,dTDP-rhamnose,interleukin 6,[],False,False,False,False,,,
49852346,chemicalentity_protein,B2R4L8,-2.265015125274658,-0.3552259656009227,REJECT,dTDP-rhamnose,IL-8(9-77),[],False,False,False,False,,,
49852346,chemicalentity_protein,P10145,-2.2445130348205566,-0.3552259656009227,REJECT,dTDP-rhamnose,IL-8(9-77),[],False,False,False,False,,,
49852435,chemicalentity_chemicalentity,86290151,-1.508764386177063,-0.2425281074611494,REJECT,UDP-rhamnose(2-),UDP-beta-L-rhamnose(2-),[],False,False,False,False,,,
