head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
440113,chemicalentity_chemicalentity,5282106,-0.5119367241859436,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",[],False,False,False,False,
440113,chemicalentity_chemicalentity,22851969,-0.37182506918907166,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
440113,chemicalentity_chemicalentity,18598659,-0.3803291618824005,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,"4-[2-(deuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
440113,chemicalentity_chemicalentity,18598488,-0.34559229016304016,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,"4-[2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
440113,chemicalentity_chemicalentity,22857281,-0.35055822134017944,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,"4-[2,2-dideuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
440113,chemicalentity_chemicalentity,1153,-0.5295032858848572,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetaldehyde,tyrosine,[],False,False,False,False,
440113,chemicalentity_protein,PR:000000001,-1.093277931213379,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,protein,[],False,False,False,False,
440113,chemicalentity_protein,Q5STF9,-0.12226633727550507,-0.3552259656009227,ACCEPT,2-(4-hydroxyphenyl)acetaldehyde,Ribonuclease P protein subunit p21,[],False,False,False,False,
440113,chemicalentity_protein,P0C6D7,-0.8921462297439575,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,Aldehyde dehydrogenase,[],False,False,False,False,
440113,chemicalentity_protein,Q9RYG9,-0.7133998870849609,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,Aldehyde dehydrogenase,[],False,False,False,False,
440113,chemicalentity_protein,Q9ZA11,-0.863120973110199,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,Aldehyde dehydrogenase,[],False,False,False,False,
440113,chemicalentity_protein,P08157,-0.7880276441574097,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,Aldehyde dehydrogenase,[],False,False,False,False,
440113,chemicalentity_protein,Q0WSF1,-0.45502710342407227,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)acetaldehyde,Aldehyde dehydrogenase 22A1,[],False,False,False,False,
5282106,chemicalentity_chemicalentity,22851969,-0.23689036071300507,-0.2425281074611494,ACCEPT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide","4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
5282106,chemicalentity_chemicalentity,18598659,-0.2542106807231903,-0.2425281074611494,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide","4-[2-(deuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
5282106,chemicalentity_chemicalentity,18598488,-0.2741475999355316,-0.2425281074611494,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide","4-[2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
5282106,chemicalentity_chemicalentity,22857281,-0.2521982192993164,-0.2425281074611494,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide","4-[2,2-dideuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
5282106,chemicalentity_chemicalentity,1153,-0.2731940448284149,-0.2425281074611494,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",tyrosine,[],False,False,False,False,
5282106,chemicalentity_protein,PR:000000001,-1.0818758010864258,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",protein,[],False,False,False,False,
5282106,chemicalentity_protein,Q5STF9,-0.10854341089725494,-0.3552259656009227,ACCEPT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Ribonuclease P protein subunit p21,[],False,False,False,False,
5282106,chemicalentity_protein,P0C6D7,-0.8941786289215088,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Aldehyde dehydrogenase,[],False,False,False,False,
5282106,chemicalentity_protein,Q9RYG9,-0.7102698087692261,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Aldehyde dehydrogenase,[],False,False,False,False,
5282106,chemicalentity_protein,Q9ZA11,-0.8453622460365295,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Aldehyde dehydrogenase,[],False,False,False,False,
5282106,chemicalentity_protein,P08157,-0.7757600545883179,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Aldehyde dehydrogenase,[],False,False,False,False,
5282106,chemicalentity_protein,Q0WSF1,-0.4316449463367462,-0.3552259656009227,REJECT,"(Z)-N-[2-(3,4-dihydroxyphenyl)ethyl]octadec-9-enamide",Aldehyde dehydrogenase 22A1,[],False,False,False,False,
22851969,chemicalentity_chemicalentity,18598659,-0.5476758480072021,-0.2425281074611494,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol","4-[2-(deuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
22851969,chemicalentity_chemicalentity,18598488,-0.4147023856639862,-0.2425281074611494,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol","4-[2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
22851969,chemicalentity_chemicalentity,22857281,-0.46507760882377625,-0.2425281074611494,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol","4-[2,2-dideuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
22851969,chemicalentity_chemicalentity,1153,-0.9188066720962524,-0.2425281074611494,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",tyrosine,[],False,False,False,False,
22851969,chemicalentity_protein,PR:000000001,-1.1199344396591187,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",protein,[],False,False,False,False,
22851969,chemicalentity_protein,Q5STF9,-0.34989333152770996,-0.3552259656009227,ACCEPT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Ribonuclease P protein subunit p21,[],False,False,False,False,
22851969,chemicalentity_protein,P0C6D7,-0.8934139013290405,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Aldehyde dehydrogenase,[],False,False,False,False,
22851969,chemicalentity_protein,Q9RYG9,-0.790698230266571,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Aldehyde dehydrogenase,[],False,False,False,False,
22851969,chemicalentity_protein,Q9ZA11,-0.8994702100753784,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Aldehyde dehydrogenase,[],False,False,False,False,
22851969,chemicalentity_protein,P08157,-0.9329723119735718,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Aldehyde dehydrogenase,[],False,False,False,False,
22851969,chemicalentity_protein,Q0WSF1,-0.6446545720100403,-0.3552259656009227,REJECT,"4-[2-deuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",Aldehyde dehydrogenase 22A1,[],False,False,False,False,
18598659,chemicalentity_chemicalentity,18598488,-0.4945230484008789,-0.2425281074611494,REJECT,"4-[2-(deuterioamino)ethyl]benzene-1,2-diol","4-[2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
18598659,chemicalentity_chemicalentity,22857281,-0.5487207770347595,-0.2425281074611494,REJECT,"4-[2-(deuterioamino)ethyl]benzene-1,2-diol","4-[2,2-dideuterio-2-(dideuterioamino)ethyl]benzene-1,2-diol",[],False,False,False,False,
