head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P25377,protein_protein,P9WQC4,-0.5707966685295105,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,NADP-dependent alcohol dehydrogenase C,[],False,False,False,False,
P25377,protein_protein,P9WQC5,-0.6244688034057617,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,NADP-dependent alcohol dehydrogenase C,['Protein_Protein'],False,True,True,False,Protein_Protein
P25377,protein_protein,Q9I5I6,-0.5504523515701294,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,NAD-dependent L-serine dehydrogenase,[],False,False,False,False,
P25377,protein_protein,Q6CEE9,-0.5874096155166626,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Probable NADP-dependent mannitol dehydrogenase,[],False,False,False,False,
P25377,protein_protein,P08074,-0.5839181542396545,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P25377,protein_protein,Q29529,-0.7213530540466309,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P25377,protein_protein,Q3SZD7,-0.8382712006568909,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Carbonyl reductase [NADPH] 1,[],False,False,False,False,
P25377,protein_protein,Q8K354,-0.6086210012435913,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Carbonyl reductase [NADPH] 3,[],False,False,False,False,
P25377,protein_protein,Q68ER2,-0.4571816027164459,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase 7,Carbonyl reductase family member 4,[],False,False,False,False,
P25377,protein_biologicalprocess,GO:0009266,-0.16220322251319885,-0.5776643345681309,ACCEPT,NADP-dependent alcohol dehydrogenase 7,response to temperature stimulus,[],False,False,False,False,
P25377,protein_biologicalprocess,GO:0071502,-0.2533062994480133,-0.5776643345681309,ACCEPT,NADP-dependent alcohol dehydrogenase 7,cellular response to temperature stimulus,[],False,False,False,False,
P9WQC4,protein_protein,P9WQC5,-0.8089417219161987,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,NADP-dependent alcohol dehydrogenase C,[],False,False,False,False,
P9WQC4,protein_protein,Q9I5I6,-0.654729962348938,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,NAD-dependent L-serine dehydrogenase,[],False,False,False,False,
P9WQC4,protein_protein,Q6CEE9,-0.7681474685668945,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Probable NADP-dependent mannitol dehydrogenase,[],False,False,False,False,
P9WQC4,protein_protein,P08074,-0.7087738513946533,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P9WQC4,protein_protein,Q29529,-1.113692283630371,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P9WQC4,protein_protein,Q3SZD7,-1.2821401357650757,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 1,[],False,False,False,False,
P9WQC4,protein_protein,Q8K354,-0.7994701862335205,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 3,[],False,False,False,False,
P9WQC4,protein_protein,Q68ER2,-0.5473524928092957,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase family member 4,[],False,False,False,False,
P9WQC4,protein_biologicalprocess,GO:0009266,-0.8992859721183777,-0.5776643345681309,REJECT,NADP-dependent alcohol dehydrogenase C,response to temperature stimulus,[],False,False,False,False,
P9WQC4,protein_biologicalprocess,GO:0071502,-0.9410838484764099,-0.5776643345681309,REJECT,NADP-dependent alcohol dehydrogenase C,cellular response to temperature stimulus,[],False,False,False,False,
P9WQC5,protein_protein,Q9I5I6,-0.6424177885055542,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,NAD-dependent L-serine dehydrogenase,[],False,False,False,False,
P9WQC5,protein_protein,Q6CEE9,-0.7351275086402893,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Probable NADP-dependent mannitol dehydrogenase,[],False,False,False,False,
P9WQC5,protein_protein,P08074,-0.6864619851112366,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P9WQC5,protein_protein,Q29529,-1.0159255266189575,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 2,[],False,False,False,False,
P9WQC5,protein_protein,Q3SZD7,-1.1931636333465576,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 1,[],False,False,False,False,
P9WQC5,protein_protein,Q8K354,-0.7554442882537842,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase [NADPH] 3,[],False,False,False,False,
P9WQC5,protein_protein,Q68ER2,-0.5273199081420898,-0.2036837140803804,REJECT,NADP-dependent alcohol dehydrogenase C,Carbonyl reductase family member 4,[],False,False,False,False,
P9WQC5,protein_biologicalprocess,GO:0009266,-0.48249348998069763,-0.5776643345681309,ACCEPT,NADP-dependent alcohol dehydrogenase C,response to temperature stimulus,[],False,False,False,False,
P9WQC5,protein_biologicalprocess,GO:0071502,-0.5799866318702698,-0.5776643345681309,REJECT,NADP-dependent alcohol dehydrogenase C,cellular response to temperature stimulus,[],False,False,False,False,
