head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q9Y5U8,protein_protein,Q6FIF3,-0.08558168262243271,-0.2036837140803804,ACCEPT,Mitochondrial pyruvate carrier 1,Mitochondrial pyruvate carrier 2,['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q9Y5U8,protein_protein,P38718,-0.2655238211154938,-0.2036837140803804,REJECT,Mitochondrial pyruvate carrier 1,Mitochondrial pyruvate carrier 2,[],False,False,False,False,,,
Q9Y5U8,protein_protein,Q5R4Z3,-0.2250949889421463,-0.2036837140803804,REJECT,Mitochondrial pyruvate carrier 1,Mitochondrial pyruvate carrier 2,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,abnormal oxygen consumption,-0.09929506480693817,-0.0497034494975703,REJECT,Mitochondrial pyruvate carrier 1,abnormal oxygen consumption,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,decreased oxygen consumption,-0.09978126734495163,-0.0497034494975703,REJECT,Mitochondrial pyruvate carrier 1,decreased oxygen consumption,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,increased oxygen consumption,-0.06538161635398865,-0.0497034494975703,REJECT,Mitochondrial pyruvate carrier 1,increased oxygen consumption,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,WBPhenotype:0002141,-0.11282823234796524,-0.0497034494975703,REJECT,Mitochondrial pyruvate carrier 1,oxygen consumption variant,[],False,False,False,False,,,
Q9Y5U8,protein_chemicalentity,5957,-0.05772315338253975,-0.1571110372511136,ACCEPT,Mitochondrial pyruvate carrier 1,ATP,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,WBPhenotype:0001893,-0.16840548813343048,-0.0497034494975703,REJECT,Mitochondrial pyruvate carrier 1,mitochondrial membrane potential reduced,[],False,False,False,False,,,
Q9Y5U8,protein_phenotype,WBPhenotype:0002263,-0.04737730696797371,-0.0497034494975703,ACCEPT,Mitochondrial pyruvate carrier 1,mitochondrial membrane potential increased,[],False,False,False,False,,,
