head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
6022,chemicalentity_chemicalentity,20598633,-0.08960209041833878,-0.2425281074611494,ACCEPT,ADP,"1-[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]ethenyl phosphono hydrogen phosphate",[],False,False,False,False,,,
6022,chemicalentity_chemicalentity,447102,-0.0807635560631752,-0.2425281074611494,ACCEPT,ADP,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;vanadium;dihydrate",[],False,False,False,False,,,
6022,chemicalentity_biologicalprocess,GO:0010150,-0.025938160717487335,-0.232143107153421,ACCEPT,ADP,leaf senescence,[],False,False,False,False,,,
6022,chemicalentity_inhibits_biologicalprocess,GO:0010150,-0.0801967978477478,-0.7050372264239742,ACCEPT,ADP,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1118, 'chemicalentity_noeffect_biologicalprocess': -1.291, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1706, 'chemicalentity_promotes_biologicalprocess': -0.2923, 'chemicalentity_inhibits_biologicalprocess': -0.0802, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1579}"
6022,chemicalentity_biologicalprocess,GO:0090398,-0.017359422519803047,-0.232143107153421,ACCEPT,ADP,cellular senescence,[],False,False,False,False,,,
6022,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.0009999485919252038,-0.7050372264239742,ACCEPT,ADP,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0555, 'chemicalentity_noeffect_biologicalprocess': -0.2518, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0626, 'chemicalentity_promotes_biologicalprocess': -0.0157, 'chemicalentity_inhibits_biologicalprocess': -0.001, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0943}"
6022,chemicalentity_biologicalprocess,GO:0090399,-0.02539982460439205,-0.232143107153421,ACCEPT,ADP,replicative senescence,[],False,False,False,False,,,
6022,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090399,-0.07662256062030792,-0.596142909254255,ACCEPT,ADP,replicative senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0766, 'chemicalentity_noeffect_biologicalprocess': -1.5755, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1461, 'chemicalentity_promotes_biologicalprocess': -0.4033, 'chemicalentity_inhibits_biologicalprocess': -0.092, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1019}"
6022,chemicalentity_biologicalprocess,GO:1990636,-0.13598082959651947,-0.232143107153421,ACCEPT,ADP,reproductive senescence,[],False,False,False,False,,,
6022,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990636,-0.41268637776374817,-0.596142909254255,ACCEPT,ADP,reproductive senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4127, 'chemicalentity_noeffect_biologicalprocess': -1.408, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6669, 'chemicalentity_promotes_biologicalprocess': -1.0157, 'chemicalentity_inhibits_biologicalprocess': -0.7195, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5146}"
