head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
83831,chemicalentity_chemicalentity,6710714,-0.47081461548805237,-0.2425281074611494,REJECT,biotin amide,"(2,5-dioxopyrrolidin-1-yl) 5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate",[],False,False,False,False,,,
83831,chemicalentity_biologicalprocess,GO:0009455,-0.6506797671318054,-0.232143107153421,REJECT,biotin amide,redox taxis,[],False,False,False,False,,,
83831,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009455,-0.6387777328491211,-0.596142909254255,REJECT,biotin amide,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6388, 'chemicalentity_noeffect_biologicalprocess': -1.519, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7906, 'chemicalentity_promotes_biologicalprocess': -1.0292, 'chemicalentity_inhibits_biologicalprocess': -0.7822, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6901}"
83831,chemicalentity_pathway,R-HSA-163685,-0.512883722782135,-0.3200630854546729,REJECT,biotin amide,Integration of energy metabolism,[],False,False,False,False,,,
83831,chemicalentity_pathway,R-HSA-9636667,-0.4514255225658417,-0.3200630854546729,REJECT,biotin amide,Manipulation of host energy metabolism,[],False,False,False,False,,,
83831,chemicalentity_disease,C5681282,-0.8078094124794006,-0.5678040704453142,REJECT,biotin amide,Inborn disorder of energy metabolism,[],False,False,False,False,,,
83831,chemicalentity_gene,P16,-0.9483336210250854,-0.2458965898096785,REJECT,biotin amide,cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
83831,chemicalentity_gene,P21,-0.8652081489562988,-0.2458965898096785,REJECT,biotin amide,neuronal vesicle trafficking associated 1,[],False,False,False,False,,,
83831,chemicalentity_biologicalprocess,GO:0008152,-1.1901949644088745,-0.232143107153421,REJECT,biotin amide,metabolic process,[],False,False,False,False,,,
83831,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008152,-0.42814433574676514,-0.596142909254255,ACCEPT,biotin amide,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4281, 'chemicalentity_noeffect_biologicalprocess': -2.1818, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8655, 'chemicalentity_promotes_biologicalprocess': -0.8831, 'chemicalentity_inhibits_biologicalprocess': -0.7123, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.019}"
