head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
1738,chemicalentity_biologicalprocess,GO:0048102,-0.0651930719614029,-0.232143107153421,ACCEPT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,autophagic cell death,[],False,False,False,False,,,
1738,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0048102,-0.2946488857269287,-0.5654679724376828,ACCEPT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,autophagic cell death,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3022, 'chemicalentity_noeffect_biologicalprocess': -1.5853, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4387, 'chemicalentity_promotes_biologicalprocess': -0.5422, 'chemicalentity_inhibits_biologicalprocess': -0.3418, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2946}"
1738,chemicalentity_protein,P37198,-0.013520348817110062,-0.3552259656009227,ACCEPT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,Nuclear pore glycoprotein p62,[],False,False,False,False,,,
1738,chemicalentity_protein,D3VVE9,-0.9922271966934204,-0.3552259656009227,REJECT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
1738,chemicalentity_protein,Q5STF9,-0.05657317861914635,-0.3552259656009227,ACCEPT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
1738,chemicalentity_protein,P54379,-0.667871356010437,-0.3552259656009227,REJECT,2-(4-hydroxy-3-methoxyphenyl)acetic acid,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
GO:0048102,biologicalprocess_protein,P37198,-0.6001706719398499,-0.4342587681103441,REJECT,autophagic cell death,Nuclear pore glycoprotein p62,[],False,False,False,False,,,
GO:0048102,biologicalprocess_protein,D3VVE9,-0.3981487452983856,-0.4342587681103441,ACCEPT,autophagic cell death,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0048102,biologicalprocess_protein,Q5STF9,-0.6991933584213257,-0.4342587681103441,REJECT,autophagic cell death,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0048102,biologicalprocess_protein,P54379,-0.3671465516090393,-0.4342587681103441,ACCEPT,autophagic cell death,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
P37198,protein_protein,D3VVE9,-0.3914874494075775,-0.2036837140803804,REJECT,Nuclear pore glycoprotein p62,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
P37198,protein_protein,Q5STF9,-0.05930908024311066,-0.2036837140803804,ACCEPT,Nuclear pore glycoprotein p62,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
P37198,protein_protein,P54379,-0.21305526793003082,-0.2036837140803804,REJECT,Nuclear pore glycoprotein p62,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
P37198,protein_phenotype,ZP:0140680,-0.18142405152320862,-0.0497034494975703,REJECT,Nuclear pore glycoprotein p62,"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,P54379,-0.6866602897644043,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
D3VVE9,protein_phenotype,ZP:0140680,-0.7707992792129517,-0.0497034494975703,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,,,
Q5STF9,protein_protein,P54379,-0.28367477655410767,-0.2036837140803804,REJECT,Ribonuclease P protein subunit p21,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
Q5STF9,protein_phenotype,ZP:0140680,-0.29052841663360596,-0.0497034494975703,REJECT,Ribonuclease P protein subunit p21,"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,,,
P54379,protein_phenotype,ZP:0140680,-0.6252123713493347,-0.0497034494975703,REJECT,Sigma-G-dependent sporulation-specific SASP protein,"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,,,
ZP:0140680,phenotype_chemicalentity,1738,-3.0074057579040527,-0.1369889979525682,REJECT,"stress-induced premature senescence increased occurrence, abnormal",2-(4-hydroxy-3-methoxyphenyl)acetic acid,[],False,False,False,False,,,
ZP:0140680,phenotype_biologicalprocess,GO:0048102,-1.111267328262329,-0.607891854730636,REJECT,"stress-induced premature senescence increased occurrence, abnormal",autophagic cell death,[],False,False,False,False,,,
