head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
89472,chemicalentity_chemicalentity,9925515,-0.23222589492797852,-0.2425281074611494,ACCEPT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one","2-(4-hydroxyphenyl)-1-(2,4,5-trihydroxyphenyl)propan-1-one",[],False,False,False,False,,,
89472,chemicalentity_chemicalentity,42604751,-0.28180232644081116,-0.2425281074611494,REJECT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one","2-(4-hydroxyphenyl)-1-(2,3,4-trihydroxyphenyl)propan-1-one",[],False,False,False,False,,,
89472,chemicalentity_chemicalentity,71367568,-0.2305804342031479,-0.2425281074611494,ACCEPT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one","1-(2,4-dihydroxy-5-methoxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",[],False,False,False,False,,,
89472,chemicalentity_chemicalentity,20601635,-0.23176443576812744,-0.2425281074611494,ACCEPT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one","2-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",[],False,False,False,False,,,
89472,chemicalentity_biologicalprocess,GO:0090403,-0.23245404660701752,-0.232143107153421,REJECT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",oxidative stress-induced premature senescence,[],False,False,False,False,,,
89472,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-0.6440132856369019,-0.596142909254255,REJECT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.644, 'chemicalentity_noeffect_biologicalprocess': -1.6624, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8363, 'chemicalentity_promotes_biologicalprocess': -0.9698, 'chemicalentity_inhibits_biologicalprocess': -0.7823, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7788}"
89472,chemicalentity_protein,D3VVE9,-0.9488463401794434,-0.3552259656009227,REJECT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
89472,chemicalentity_protein,Q5STF9,-0.2257966250181198,-0.3552259656009227,ACCEPT,"1-(2,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
9925515,chemicalentity_chemicalentity,42604751,-0.9344422817230225,-0.2425281074611494,REJECT,"2-(4-hydroxyphenyl)-1-(2,4,5-trihydroxyphenyl)propan-1-one","2-(4-hydroxyphenyl)-1-(2,3,4-trihydroxyphenyl)propan-1-one",[],False,False,False,False,,,
9925515,chemicalentity_chemicalentity,71367568,-1.207181453704834,-0.2425281074611494,REJECT,"2-(4-hydroxyphenyl)-1-(2,4,5-trihydroxyphenyl)propan-1-one","1-(2,4-dihydroxy-5-methoxyphenyl)-2-(4-hydroxyphenyl)propan-1-one",[],False,False,False,False,,,
