head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
GO:0000785,cellularcomponent_chemicalentity,25078009,-0.19606994092464447,-0.1936719522778712,REJECT,chromatin,N-[1-[[1-[[1-[[1-[[3-(1-benzylimidazol-4-yl)-1-[[1-[[5-(diaminomethylideneamino)-1-[2-(ethylcarbamoyl)pyrrolidin-1-yl]-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide,[],False,False,False,False,
GO:0008134,molecularfunction_chemicalentity,25078009,-0.06932090222835541,-0.0232305970024153,REJECT,transcription factor binding,N-[1-[[1-[[1-[[1-[[3-(1-benzylimidazol-4-yl)-1-[[1-[[5-(diaminomethylideneamino)-1-[2-(ethylcarbamoyl)pyrrolidin-1-yl]-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide,[],False,False,False,False,
GO:0008134,molecularfunction_molecularfunction,GO:0043425,-0.0009134021238423884,-0.0413108806514266,ACCEPT,transcription factor binding,bHLH transcription factor binding,[],False,False,False,False,
GO:0008134,molecularfunction_molecularfunction,GO:0000989,-0.005843630991876125,-0.0413108806514266,ACCEPT,transcription factor binding,"obsolete transcription factor activity, transcription factor binding",[],False,False,False,False,
GO:0008134,molecularfunction_molecularfunction,GO:0034246,-0.00203799270093441,-0.0413108806514266,ACCEPT,transcription factor binding,mitochondrial transcription factor activity,[],False,False,False,False,
GO:0008134,molecularfunction_molecularfunction,GO:0140297,-0.006724293809384108,-0.0413108806514266,ACCEPT,transcription factor binding,DNA-binding transcription factor binding,['MolecularFunction_MolecularFunction'],False,True,True,False,MolecularFunction_MolecularFunction
GO:0043425,molecularfunction_chemicalentity,25078009,-0.11470820754766464,-0.0232305970024153,REJECT,bHLH transcription factor binding,N-[1-[[1-[[1-[[1-[[3-(1-benzylimidazol-4-yl)-1-[[1-[[5-(diaminomethylideneamino)-1-[2-(ethylcarbamoyl)pyrrolidin-1-yl]-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide,[],False,False,False,False,
GO:0043425,molecularfunction_molecularfunction,GO:0000989,-0.013449423015117645,-0.0413108806514266,ACCEPT,bHLH transcription factor binding,"obsolete transcription factor activity, transcription factor binding",[],False,False,False,False,
GO:0043425,molecularfunction_molecularfunction,GO:0034246,-0.005703730508685112,-0.0413108806514266,ACCEPT,bHLH transcription factor binding,mitochondrial transcription factor activity,[],False,False,False,False,
GO:0043425,molecularfunction_molecularfunction,GO:0140297,-0.01607007160782814,-0.0413108806514266,ACCEPT,bHLH transcription factor binding,DNA-binding transcription factor binding,['MolecularFunction_MolecularFunction'],False,True,True,False,MolecularFunction_MolecularFunction
