head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
15983949,chemicalentity_chemicalentity,46878494,-0.22629031538963318,-0.2425281074611494,ACCEPT,NADPH(4-),CoA-glutathione(5-),[],False,False,False,False,,,
15983949,chemicalentity_chemicalentity,124886,-1.1429795026779175,-0.2425281074611494,REJECT,NADPH(4-),(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
15983949,chemicalentity_chemicalentity,40467895,-0.45220863819122314,-0.2425281074611494,REJECT,NADPH(4-),(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,,,
15983949,chemicalentity_chemicalentity,115260,-0.545148491859436,-0.2425281074611494,REJECT,NADPH(4-),(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
15983949,chemicalentity_protein,Q96KI3,-0.09869623929262161,-0.3552259656009227,ACCEPT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_protein,O60744,-0.09843190014362335,-0.3552259656009227,ACCEPT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_protein,P10599,-0.11204545199871063,-0.3552259656009227,ACCEPT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_protein,Q53X69,-0.07977855205535889,-0.3552259656009227,ACCEPT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_protein,P08628,-0.9411017298698425,-0.3552259656009227,REJECT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_gene,TXN,-0.345458060503006,-0.2458965898096785,REJECT,NADPH(4-),thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_gene,TXN1,-0.8754801750183105,-0.2458965898096785,REJECT,NADPH(4-),thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_gene,Y44E3A.3,-0.4461361765861511,-0.2458965898096785,REJECT,NADPH(4-),Thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_gene,TRX1,-1.056395173072815,-0.2458965898096785,REJECT,NADPH(4-),thioredoxin,[],False,False,False,False,,,
15983949,chemicalentity_gene,TXN2,-0.2927636206150055,-0.2458965898096785,REJECT,NADPH(4-),thioredoxin 2,[],False,False,False,False,,,
