head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q9Y7T6,protein_protein,Q9UPQ8,-1.8296784162521362,-0.2036837140803804,REJECT,Dolichol kinase sec59,Dolichol kinase,[],False,False,False,False,,,
Q9Y7T6,protein_protein,Q58CR4,-0.6073174476623535,-0.2036837140803804,REJECT,Dolichol kinase sec59,Dolichol kinase,[],False,False,False,False,,,
Q9Y7T6,protein_protein,Q5SRE6,-1.7984130382537842,-0.2036837140803804,REJECT,Dolichol kinase sec59,Dolichol kinase,[],False,False,False,False,,,
Q9Y7T6,protein_protein,P20048,-0.6298396587371826,-0.2036837140803804,REJECT,Dolichol kinase sec59,Dolichol kinase,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0034514,-0.30864399671554565,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,mitochondrial unfolded protein response,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0030968,-0.1912698894739151,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,endoplasmic reticulum unfolded protein response,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0070085,-0.1619044840335846,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,glycosylation,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0006486,-0.12564173340797424,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,protein glycosylation,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0009266,-0.17492716014385223,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,response to temperature stimulus,[],False,False,False,False,,,
Q9Y7T6,protein_biologicalprocess,GO:0071502,-0.2668916583061218,-0.5776643345681309,ACCEPT,Dolichol kinase sec59,cellular response to temperature stimulus,[],False,False,False,False,,,
DOLK,gene_protein,Q9Y7T6,-0.03175384923815727,-0.0280984394514378,REJECT,dolichol kinase,Dolichol kinase sec59,[],False,False,False,False,,,
DOLK,gene_protein,Q9UPQ8,-0.02635776251554489,-0.0280984394514378,ACCEPT,dolichol kinase,Dolichol kinase,['Gene_Protein'],False,True,True,False,Gene_Protein,,
DOLK,gene_protein,Q58CR4,-0.03720527142286301,-0.0280984394514378,REJECT,dolichol kinase,Dolichol kinase,[],False,False,False,False,,,
DOLK,gene_protein,Q5SRE6,-0.02558794431388378,-0.0280984394514378,ACCEPT,dolichol kinase,Dolichol kinase,[],False,False,False,False,,,
DOLK,gene_protein,P20048,-0.03467445820569992,-0.0280984394514378,REJECT,dolichol kinase,Dolichol kinase,[],False,False,False,False,,,
DOLK,gene_biologicalprocess,GO:0034514,-0.029941275715827942,-0.0356325677219588,ACCEPT,dolichol kinase,mitochondrial unfolded protein response,[],False,False,False,False,,,
DOLK,gene_promotes_biologicalprocess,GO:0034514,-0.14352892339229584,-0.0617563253450388,REJECT,dolichol kinase,mitochondrial unfolded protein response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1843, 'gene_promotes_biologicalprocess': -0.1435, 'gene_negativelyassociatedwith_biologicalprocess': -0.2234, 'gene_positivelyassociatedwith_biologicalprocess': -0.1791, 'gene_notassociatedwith_biologicalprocess': -0.248}"
DOLK,gene_biologicalprocess,GO:0030968,-0.004247128497809172,-0.0356325677219588,ACCEPT,dolichol kinase,endoplasmic reticulum unfolded protein response,[],False,False,False,False,,,
DOLK,gene_promotes_biologicalprocess,GO:0030968,-0.08093725144863129,-0.0617563253450388,REJECT,dolichol kinase,endoplasmic reticulum unfolded protein response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1337, 'gene_promotes_biologicalprocess': -0.0809, 'gene_negativelyassociatedwith_biologicalprocess': -0.1852, 'gene_positivelyassociatedwith_biologicalprocess': -0.1262, 'gene_notassociatedwith_biologicalprocess': -0.1804}"
DOLK,gene_biologicalprocess,GO:0070085,-0.004663378000259399,-0.0356325677219588,ACCEPT,dolichol kinase,glycosylation,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
DOLK,gene_promotes_biologicalprocess,GO:0070085,-0.07981564104557037,-0.0617563253450388,REJECT,dolichol kinase,glycosylation,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.1065, 'gene_promotes_biologicalprocess': -0.0798, 'gene_negativelyassociatedwith_biologicalprocess': -0.1651, 'gene_positivelyassociatedwith_biologicalprocess': -0.1385, 'gene_notassociatedwith_biologicalprocess': -0.2384}"
DOLK,gene_biologicalprocess,GO:0006486,-0.0029385224916040897,-0.0356325677219588,ACCEPT,dolichol kinase,protein glycosylation,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
