head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
46878494,chemicalentity_chemicalentity,124886,-3.6392431259155273,-0.2425281074611494,REJECT,CoA-glutathione(5-),(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,40467895,-1.412178874015808,-0.2425281074611494,REJECT,CoA-glutathione(5-),(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,115260,-2.5656142234802246,-0.2425281074611494,REJECT,CoA-glutathione(5-),(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,53773619,-0.9304025173187256,-0.2425281074611494,REJECT,CoA-glutathione(5-),"13-amino-8-(sulfanylmethyl)-1,3-dioxa-2-thia-6,9-diazacyclotetradecane-4,7,10,14-tetrone",[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,5260155,-1.0189610719680786,-0.2425281074611494,REJECT,CoA-glutathione(5-),cysteine zwitterion,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,5360637,-1.0783053636550903,-0.2425281074611494,REJECT,CoA-glutathione(5-),,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,5862,-3.5390632152557373,-0.2425281074611494,REJECT,CoA-glutathione(5-),(2R)-2-amino-3-sulfanylpropanoic acid,[],False,False,False,False,,,
46878494,chemicalentity_chemicalentity,5362487,-2.862691640853882,-0.2425281074611494,REJECT,CoA-glutathione(5-),sulfur,[],False,False,False,False,,,
46878494,chemicalentity_biologicalprocess,GO:0009266,-3.1882917881011963,-0.232143107153421,REJECT,CoA-glutathione(5-),response to temperature stimulus,[],False,False,False,False,,,
46878494,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009266,-1.9459255933761597,-0.596142909254255,REJECT,CoA-glutathione(5-),response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.9459, 'chemicalentity_noeffect_biologicalprocess': -3.4739, 'chemicalentity_notassociatedwith_biologicalprocess': -2.2452, 'chemicalentity_promotes_biologicalprocess': -3.0556, 'chemicalentity_inhibits_biologicalprocess': -2.8955, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -2.2829}"
46878494,chemicalentity_biologicalprocess,GO:0016048,-2.5667531490325928,-0.232143107153421,REJECT,CoA-glutathione(5-),detection of temperature stimulus,[],False,False,False,False,,,
46878494,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0016048,-1.272125244140625,-0.596142909254255,REJECT,CoA-glutathione(5-),detection of temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.2721, 'chemicalentity_noeffect_biologicalprocess': -2.7866, 'chemicalentity_notassociatedwith_biologicalprocess': -1.5124, 'chemicalentity_promotes_biologicalprocess': -2.2943, 'chemicalentity_inhibits_biologicalprocess': -2.0854, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4909}"
46878494,chemicalentity_biologicalprocess,GO:0071502,-1.9166744947433472,-0.232143107153421,REJECT,CoA-glutathione(5-),cellular response to temperature stimulus,[],False,False,False,False,,,
46878494,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0071502,-1.0528531074523926,-0.596142909254255,REJECT,CoA-glutathione(5-),cellular response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0529, 'chemicalentity_noeffect_biologicalprocess': -3.0486, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2555, 'chemicalentity_promotes_biologicalprocess': -2.5457, 'chemicalentity_inhibits_biologicalprocess': -2.2377, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3811}"
46878494,chemicalentity_biologicalprocess,GO:0050951,-2.0526721477508545,-0.232143107153421,REJECT,CoA-glutathione(5-),sensory perception of temperature stimulus,[],False,False,False,False,,,
