head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PDSS1,gene_chemicalentity,5283544,-0.022110776975750923,-0.0285922419958417,ACCEPT,decaprenyl diphosphate synthase subunit 1,ubiquinone-6,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
PDSS1,gene_biologicalprocess,GO:0022900,-0.008366622030735016,-0.0356325677219588,ACCEPT,decaprenyl diphosphate synthase subunit 1,electron transport chain,[],False,False,False,False,,,
PDSS1,gene_promotes_biologicalprocess,GO:0022900,-0.13420847058296204,-0.0617563253450388,REJECT,decaprenyl diphosphate synthase subunit 1,electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2019, 'gene_promotes_biologicalprocess': -0.1342, 'gene_negativelyassociatedwith_biologicalprocess': -0.3522, 'gene_positivelyassociatedwith_biologicalprocess': -0.2437, 'gene_notassociatedwith_biologicalprocess': -0.3917}"
PDSS1,gene_pathway,R-HSA-3299685,-0.0044291140511631966,-0.0346968297443117,ACCEPT,decaprenyl diphosphate synthase subunit 1,Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
PDSS1,gene_gene,Rosq1,-0.30051687359809875,-0.071739344080056,REJECT,decaprenyl diphosphate synthase subunit 1,reactive oxygen species QTL 1,[],False,False,False,False,,,
PDSS1,gene_gene,Y94A7B.11,-0.046552740037441254,-0.071739344080056,ACCEPT,decaprenyl diphosphate synthase subunit 1,Reactive oxygen species modulator 1,[],False,False,False,False,,,
PDSS1,gene_gene,F15D4.3,-0.050042569637298584,-0.071739344080056,ACCEPT,decaprenyl diphosphate synthase subunit 1,Reactive oxygen species modulator 1,[],False,False,False,False,,,
PDSS1,gene_gene,ROMO1,-0.015710055828094482,-0.071739344080056,ACCEPT,decaprenyl diphosphate synthase subunit 1,reactive oxygen species modulator 1,[],False,False,False,False,,,
PDSS1,gene_gene,NRROS,-0.012955976650118828,-0.071739344080056,ACCEPT,decaprenyl diphosphate synthase subunit 1,negative regulator of reactive oxygen species,[],False,False,False,False,,,
PDSS1,gene_protein,P60602,-0.03266925364732742,-0.0280984394514378,REJECT,decaprenyl diphosphate synthase subunit 1,Reactive oxygen species modulator 1,[],False,False,False,False,,,
