head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
P38427,protein_biologicalprocess,GO:0015976,-0.1384337842464447,-0.5776643345681309,ACCEPT,Trehalose synthase complex regulatory subunit TSL1,carbon utilization,[],False,False,False,False,,,
P38427,protein_biologicalprocess,GO:0070370,-0.1298203468322754,-0.5776643345681309,ACCEPT,Trehalose synthase complex regulatory subunit TSL1,cellular heat acclimation,[],False,False,False,False,,,
P38427,protein_biologicalprocess,GO:0006112,-0.12780144810676575,-0.5776643345681309,ACCEPT,Trehalose synthase complex regulatory subunit TSL1,energy reserve metabolic process,[],False,False,False,False,,,
YMR261C,gene_protein,P38427,-0.09318923950195312,-0.0280984394514378,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,Trehalose synthase complex regulatory subunit TSL1,[],False,False,False,False,,,
YMR261C,gene_gene,YML100W,-0.2128550261259079,-0.071739344080056,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,trehalose 6-phosphate synthase/phosphatase complex subunit,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YMR261C,gene_biologicalprocess,GO:0015976,-0.18963848054409027,-0.0356325677219588,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,carbon utilization,[],False,False,False,False,,,
YMR261C,gene_positivelyassociatedwith_biologicalprocess,GO:0015976,-0.4319224953651428,-0.0730086550790463,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,carbon utilization,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5735, 'gene_promotes_biologicalprocess': -0.4974, 'gene_negativelyassociatedwith_biologicalprocess': -0.4689, 'gene_positivelyassociatedwith_biologicalprocess': -0.4319, 'gene_notassociatedwith_biologicalprocess': -0.6604}"
YMR261C,gene_biologicalprocess,GO:0070370,-0.10552650690078735,-0.0356325677219588,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,cellular heat acclimation,[],False,False,False,False,,,
YMR261C,gene_notassociatedwith_biologicalprocess,GO:0070370,-0.44221585988998413,-0.1941926147433079,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6228, 'gene_promotes_biologicalprocess': -0.5201, 'gene_negativelyassociatedwith_biologicalprocess': -0.557, 'gene_positivelyassociatedwith_biologicalprocess': -0.5207, 'gene_notassociatedwith_biologicalprocess': -0.4422}"
YMR261C,gene_biologicalprocess,GO:0006112,-0.11150340735912323,-0.0356325677219588,REJECT,trehalose 6-phosphate synthase/phosphatase complex subunit,energy reserve metabolic process,[],False,False,False,False,,,
