head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YIR037W,gene_protein,P40581,-0.1323336809873581,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},[],False,False,False,False,,,
YIR037W,gene_protein,Q98234,-0.04106926918029785,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase,[],False,False,False,False,,,
YIR037W,gene_protein,Q00277,-0.05575575307011604,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase,[],False,False,False,False,,,
YIR037W,gene_protein,Q9CFV1,-0.06324504315853119,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase,[],False,False,False,False,,,
YIR037W,gene_protein,O95337,-0.04396764189004898,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase 7,[],False,False,False,False,,,
YIR037W,gene_protein,P18283,-0.04201916605234146,-0.0280984394514378,REJECT,peroxiredoxin HYR1,Glutathione peroxidase 2,[],False,False,False,False,,,
YIR037W,gene_biologicalprocess,GO:0034440,-0.028115171939134598,-0.0356325677219588,ACCEPT,peroxiredoxin HYR1,lipid oxidation,[],False,False,False,False,,,
YIR037W,gene_notassociatedwith_biologicalprocess,GO:0034440,-0.24217307567596436,-0.1941926147433079,REJECT,peroxiredoxin HYR1,lipid oxidation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2669, 'gene_promotes_biologicalprocess': -0.2652, 'gene_negativelyassociatedwith_biologicalprocess': -0.4031, 'gene_positivelyassociatedwith_biologicalprocess': -0.3415, 'gene_notassociatedwith_biologicalprocess': -0.2422}"
YIR037W,gene_biologicalprocess,GO:0040007,-0.03602580726146698,-0.0356325677219588,REJECT,peroxiredoxin HYR1,growth,[],False,False,False,False,,,
YIR037W,gene_inhibits_biologicalprocess,GO:0040007,-0.33589550852775574,-0.0559618705714699,REJECT,peroxiredoxin HYR1,growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3359, 'gene_promotes_biologicalprocess': -0.3525, 'gene_negativelyassociatedwith_biologicalprocess': -0.6049, 'gene_positivelyassociatedwith_biologicalprocess': -0.5063, 'gene_notassociatedwith_biologicalprocess': -0.5396}"
YIR037W,gene_biologicalprocess,GO:0016049,-0.032996080815792084,-0.0356325677219588,ACCEPT,peroxiredoxin HYR1,cell growth,[],False,False,False,False,,,
YIR037W,gene_notassociatedwith_biologicalprocess,GO:0016049,-0.34726375341415405,-0.1941926147433079,REJECT,peroxiredoxin HYR1,cell growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3919, 'gene_promotes_biologicalprocess': -0.3807, 'gene_negativelyassociatedwith_biologicalprocess': -0.5563, 'gene_positivelyassociatedwith_biologicalprocess': -0.3889, 'gene_notassociatedwith_biologicalprocess': -0.3473}"
YIR037W,gene_biologicalprocess,GO:0034605,-0.009193109348416328,-0.0356325677219588,ACCEPT,peroxiredoxin HYR1,cellular response to heat,[],False,False,False,False,,,
YIR037W,gene_promotes_biologicalprocess,GO:0034605,-0.1620173454284668,-0.0617563253450388,REJECT,peroxiredoxin HYR1,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1738, 'gene_promotes_biologicalprocess': -0.162, 'gene_negativelyassociatedwith_biologicalprocess': -0.3033, 'gene_positivelyassociatedwith_biologicalprocess': -0.2377, 'gene_notassociatedwith_biologicalprocess': -0.2807}"
YIR037W,gene_biologicalprocess,GO:1900034,-0.020825358107686043,-0.0356325677219588,ACCEPT,peroxiredoxin HYR1,regulation of cellular response to heat,[],False,False,False,False,,,
YIR037W,gene_promotes_biologicalprocess,GO:1900034,-0.29431602358818054,-0.0617563253450388,REJECT,peroxiredoxin HYR1,regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3423, 'gene_promotes_biologicalprocess': -0.2943, 'gene_negativelyassociatedwith_biologicalprocess': -0.4422, 'gene_positivelyassociatedwith_biologicalprocess': -0.2993, 'gene_notassociatedwith_biologicalprocess': -0.326}"
YIR037W,gene_biologicalprocess,GO:1900036,-0.04506620392203331,-0.0356325677219588,REJECT,peroxiredoxin HYR1,positive regulation of cellular response to heat,[],False,False,False,False,,,
YIR037W,gene_inhibits_biologicalprocess,GO:1900036,-0.40409213304519653,-0.0559618705714699,REJECT,peroxiredoxin HYR1,positive regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4041, 'gene_promotes_biologicalprocess': -0.4062, 'gene_negativelyassociatedwith_biologicalprocess': -0.4289, 'gene_positivelyassociatedwith_biologicalprocess': -0.456, 'gene_notassociatedwith_biologicalprocess': -0.4573}"
YIR037W,gene_biologicalprocess,GO:1900035,-0.03311454877257347,-0.0356325677219588,ACCEPT,peroxiredoxin HYR1,negative regulation of cellular response to heat,[],False,False,False,False,,,
YIR037W,gene_inhibits_biologicalprocess,GO:1900035,-0.3083607852458954,-0.0559618705714699,REJECT,peroxiredoxin HYR1,negative regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3084, 'gene_promotes_biologicalprocess': -0.3238, 'gene_negativelyassociatedwith_biologicalprocess': -0.4298, 'gene_positivelyassociatedwith_biologicalprocess': -0.3606, 'gene_notassociatedwith_biologicalprocess': -0.4392}"
P40581,protein_protein,Q98234,-0.7485748529434204,-0.2036837140803804,REJECT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},Glutathione peroxidase,[],False,False,False,False,,,
P40581,protein_protein,Q00277,-0.6302614808082581,-0.2036837140803804,REJECT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},Glutathione peroxidase,[],False,False,False,False,,,
P40581,protein_protein,Q9CFV1,-0.5564593076705933,-0.2036837140803804,REJECT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},Glutathione peroxidase,[],False,False,False,False,,,
P40581,protein_protein,O95337,-2.0811150074005127,-0.2036837140803804,REJECT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},Glutathione peroxidase 7,[],False,False,False,False,,,
P40581,protein_protein,P18283,-2.112121105194092,-0.2036837140803804,REJECT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},Glutathione peroxidase 2,['Protein_Protein'],False,True,True,False,Protein_Protein,,
P40581,protein_biologicalprocess,GO:0034440,-0.36168864369392395,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},lipid oxidation,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:0040007,-0.21258056163787842,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},growth,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:0016049,-0.3094055950641632,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},cell growth,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:0034605,-0.358452707529068,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},cellular response to heat,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:1900034,-0.5621440410614014,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},regulation of cellular response to heat,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:1900036,-0.549062192440033,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},positive regulation of cellular response to heat,[],False,False,False,False,,,
P40581,protein_biologicalprocess,GO:1900035,-0.4770828187465668,-0.5776643345681309,ACCEPT,Glutathione peroxidase-like peroxiredoxin HYR1 {ECO:0000305},negative regulation of cellular response to heat,[],False,False,False,False,,,
Q98234,protein_protein,Q00277,-0.6423643827438354,-0.2036837140803804,REJECT,Glutathione peroxidase,Glutathione peroxidase,[],False,False,False,False,,,
Q98234,protein_protein,Q9CFV1,-0.5222939848899841,-0.2036837140803804,REJECT,Glutathione peroxidase,Glutathione peroxidase,[],False,False,False,False,,,
Q98234,protein_protein,O95337,-3.3225209712982178,-0.2036837140803804,REJECT,Glutathione peroxidase,Glutathione peroxidase 7,[],False,False,False,False,,,
Q98234,protein_protein,P18283,-3.3738296031951904,-0.2036837140803804,REJECT,Glutathione peroxidase,Glutathione peroxidase 2,[],False,False,False,False,,,
Q98234,protein_biologicalprocess,GO:0034440,-0.32505521178245544,-0.5776643345681309,ACCEPT,Glutathione peroxidase,lipid oxidation,[],False,False,False,False,,,
Q98234,protein_biologicalprocess,GO:0040007,-0.13877178728580475,-0.5776643345681309,ACCEPT,Glutathione peroxidase,growth,[],False,False,False,False,,,
Q98234,protein_biologicalprocess,GO:0016049,-0.24867583811283112,-0.5776643345681309,ACCEPT,Glutathione peroxidase,cell growth,[],False,False,False,False,,,
Q98234,protein_biologicalprocess,GO:0034605,-0.330905020236969,-0.5776643345681309,ACCEPT,Glutathione peroxidase,cellular response to heat,[],False,False,False,False,,,
Q98234,protein_biologicalprocess,GO:1900034,-0.615626335144043,-0.5776643345681309,REJECT,Glutathione peroxidase,regulation of cellular response to heat,[],False,False,False,False,,,
