head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
O80436,protein_biologicalprocess,GO:0055085,-0.4997415840625763,-0.5776643345681309,ACCEPT,Protein NRT1/ PTR FAMILY 5.5,transmembrane transport,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0045117,-0.35144487023353577,-0.5776643345681309,ACCEPT,Protein NRT1/ PTR FAMILY 5.5,azole transmembrane transport,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:1902341,-1.0495076179504395,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,xylitol transmembrane transport,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0055078,-0.6077930331230164,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,sodium ion homeostasis,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0055070,-0.38610389828681946,-0.5776643345681309,ACCEPT,Protein NRT1/ PTR FAMILY 5.5,copper ion homeostasis,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0055074,-0.638278067111969,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,calcium ion homeostasis,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0055063,-0.7681248784065247,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,sulfate ion homeostasis,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0055064,-0.586950957775116,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,chloride ion homeostasis,[],False,False,False,False,
O80436,protein_biologicalprocess,GO:0042391,-0.8022294044494629,-0.5776643345681309,REJECT,Protein NRT1/ PTR FAMILY 5.5,regulation of membrane potential,[],False,False,False,False,
O80436,protein_phenotype,delayed hair regrowth,-1.4939422607421875,-0.0497034494975703,REJECT,Protein NRT1/ PTR FAMILY 5.5,delayed hair regrowth,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0045117,-0.00012958473234903067,-0.0422867482620858,ACCEPT,transmembrane transport,azole transmembrane transport,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0055085,biologicalprocess_biologicalprocess,GO:1902341,-0.0027550773229449987,-0.0422867482620858,ACCEPT,transmembrane transport,xylitol transmembrane transport,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0055078,-8.464883285341784e-05,-0.0422867482620858,ACCEPT,transmembrane transport,sodium ion homeostasis,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0055070,-0.00031901171314530075,-0.0422867482620858,ACCEPT,transmembrane transport,copper ion homeostasis,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0055074,-5.310326741891913e-05,-0.0422867482620858,ACCEPT,transmembrane transport,calcium ion homeostasis,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0055063,-0.0038596063386648893,-0.0422867482620858,ACCEPT,transmembrane transport,sulfate ion homeostasis,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0055064,-0.000294654571916908,-0.0422867482620858,ACCEPT,transmembrane transport,chloride ion homeostasis,[],False,False,False,False,
GO:0055085,biologicalprocess_biologicalprocess,GO:0042391,-5.169306677998975e-05,-0.0422867482620858,ACCEPT,transmembrane transport,regulation of membrane potential,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:1902341,-0.08284720033407211,-0.0422867482620858,REJECT,azole transmembrane transport,xylitol transmembrane transport,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0055078,-0.023786205798387527,-0.0422867482620858,ACCEPT,azole transmembrane transport,sodium ion homeostasis,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0055070,-0.03679467365145683,-0.0422867482620858,ACCEPT,azole transmembrane transport,copper ion homeostasis,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0055074,-0.015088677406311035,-0.0422867482620858,ACCEPT,azole transmembrane transport,calcium ion homeostasis,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0055063,-0.07176221907138824,-0.0422867482620858,REJECT,azole transmembrane transport,sulfate ion homeostasis,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0055064,-0.031012794002890587,-0.0422867482620858,ACCEPT,azole transmembrane transport,chloride ion homeostasis,[],False,False,False,False,
GO:0045117,biologicalprocess_biologicalprocess,GO:0042391,-0.024754244834184647,-0.0422867482620858,ACCEPT,azole transmembrane transport,regulation of membrane potential,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0055078,-0.16337735950946808,-0.0422867482620858,REJECT,xylitol transmembrane transport,sodium ion homeostasis,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0055070,-0.1856355220079422,-0.0422867482620858,REJECT,xylitol transmembrane transport,copper ion homeostasis,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0055074,-0.11982369422912598,-0.0422867482620858,REJECT,xylitol transmembrane transport,calcium ion homeostasis,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0055063,-0.2270747572183609,-0.0422867482620858,REJECT,xylitol transmembrane transport,sulfate ion homeostasis,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0055064,-0.1569666564464569,-0.0422867482620858,REJECT,xylitol transmembrane transport,chloride ion homeostasis,[],False,False,False,False,
GO:1902341,biologicalprocess_biologicalprocess,GO:0042391,-0.18391405045986176,-0.0422867482620858,REJECT,xylitol transmembrane transport,regulation of membrane potential,[],False,False,False,False,
GO:0055078,biologicalprocess_biologicalprocess,GO:0055070,-0.00581161817535758,-0.0422867482620858,ACCEPT,sodium ion homeostasis,copper ion homeostasis,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0055078,biologicalprocess_biologicalprocess,GO:0055074,-0.0016706353053450584,-0.0422867482620858,ACCEPT,sodium ion homeostasis,calcium ion homeostasis,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0055078,biologicalprocess_biologicalprocess,GO:0055063,-0.02185824327170849,-0.0422867482620858,ACCEPT,sodium ion homeostasis,sulfate ion homeostasis,[],False,False,False,False,
GO:0055078,biologicalprocess_biologicalprocess,GO:0055064,-0.004839122295379639,-0.0422867482620858,ACCEPT,sodium ion homeostasis,chloride ion homeostasis,[],False,False,False,False,
GO:0055078,biologicalprocess_biologicalprocess,GO:0042391,-0.002472221152856946,-0.0422867482620858,ACCEPT,sodium ion homeostasis,regulation of membrane potential,[],False,False,False,False,
GO:0055070,biologicalprocess_biologicalprocess,GO:0055074,-0.008594485931098461,-0.0422867482620858,ACCEPT,copper ion homeostasis,calcium ion homeostasis,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0055070,biologicalprocess_biologicalprocess,GO:0055063,-0.05453813448548317,-0.0422867482620858,REJECT,copper ion homeostasis,sulfate ion homeostasis,[],False,False,False,False,
